,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAPINOTA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHIMORE,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
COLCAPIRHUA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
COLPA BELGICA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,4
CULPINA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
EL ALTO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,1,3
ENTRE RIOS CBBA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
GENERAL SAAVEDRA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACARETA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,4
LA PAZ,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,1,3,1,2,0,0,1,0,0,0,0,0,0,0,3,6,9
MAGDALENA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
MAIRANA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MAPIRI,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
MECAPACA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MINEROS,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTERO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,4
OMEREQUE,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
PUERTO GONZALO MORENO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PUERTO VILLARROEL,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
PUNATA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,3,4
QUILLACOLLO,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
RIBERALTA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
ROBORE,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SACABA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5
SAN JAVIER(BNI),inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN JULIAN,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN LUCAS,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,1,5,7,5,2,2,2,0,1,3,1,0,0,1,0,0,14,16,30
SHINAOTA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SIPE SIPE,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SUCRE,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TOMINA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,1,3,6,2,3,2,1,0,0,0,2,0,0,0,0,0,0,7,13,20
UNCIA,inmunoprevenibles,hepatitis viral a*,2021-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAPINOTA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CARAPARI,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,1,5,2,1,0,2,1,0,0,0,0,0,0,0,4,8,12
COLCAPIRHUA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLPA BELGICA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2
CONCEPCION,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CUEVO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ENTRE RIOS CBBA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
HUANUNI,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,2,4,6
MAIRANA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MAPIRI,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTEAGUDO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MONTERO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ORURO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3
POTOSI,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PUNATA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QUILLACOLLO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,4
RIBERALTA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
SACABA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
SAN IGNACIO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN JAVIER(BNI),inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN JULIAN,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,3,1,5,2,1,0,1,1,1,3,0,1,0,0,1,1,12,9,21
SANTA ROSA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SHINAOTA,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
SIPE SIPE,inmunoprevenibles,hepatitis viral a*,2021-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
