municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
BERMEJO,tuberculosis y lepra,fracaso terapeutico,2007-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SUCRE,tuberculosis y lepra,fracaso terapeutico,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,fracaso terapeutico,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
"CAIZA ""D""",tuberculosis y lepra,fracaso terapeutico,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LA PAZ,tuberculosis y lepra,fracaso terapeutico,2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,fracaso terapeutico,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TUPIZA,tuberculosis y lepra,fracaso terapeutico,2007-02-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CARANAVI,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
GUANAY,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,0,0,1,0,1,0,1
SUCRE,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,0,1,0,0,0,1,1
VIACHA,tuberculosis y lepra,fracaso terapeutico,2007-03-01,0,0,0,0,0,0,0,0,0,1,0,1,1
CARANAVI,tuberculosis y lepra,fracaso terapeutico,2007-04-01,0,0,0,0,0,0,2,0,0,0,2,0,2
LA PAZ,tuberculosis y lepra,fracaso terapeutico,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
LLALLAGUA,tuberculosis y lepra,fracaso terapeutico,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TRINIDAD,tuberculosis y lepra,fracaso terapeutico,2007-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CARANAVI,tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CULPINA,tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,2,0,0,0,2,0,2
EL PUENTE(TJA),tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,0,0,1,0,1,0,1
LA PAZ,tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,1,1,0,0,1,1,2
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-05-01,0,0,0,0,0,0,2,0,0,0,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,0,0,2,0,2,0,2
BERMEJO,tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CORIPATA,tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,0,0,0,1,0,1,1
PALOS BLANCOS,tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,0,0,1,0,1,0,1
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,fracaso terapeutico,2007-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,fracaso terapeutico,2007-07-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CARANAVI,tuberculosis y lepra,fracaso terapeutico,2007-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA ANA,tuberculosis y lepra,fracaso terapeutico,2007-07-01,0,0,0,0,0,4,1,5,0,0,1,9,10
LURIBAY,tuberculosis y lepra,fracaso terapeutico,2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
MAPIRI,tuberculosis y lepra,fracaso terapeutico,2007-08-01,0,0,0,0,0,0,1,0,1,0,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,fracaso terapeutico,2007-08-01,0,0,0,0,0,0,0,1,0,0,0,1,1
TIPUANI,tuberculosis y lepra,fracaso terapeutico,2007-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
"CAIZA ""D""",tuberculosis y lepra,fracaso terapeutico,2007-09-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,tuberculosis y lepra,fracaso terapeutico,2007-09-01,0,0,0,0,0,0,0,1,0,0,0,1,1
