,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AIQUILE,inmunoprevenibles,parotiditis,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
AZURDUY,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
BERMEJO,inmunoprevenibles,parotiditis,2010-01-01,0,0,1,0,2,0,0,0,0,1,0,0,3,1,4
BETANZOS,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CARACOLLO,inmunoprevenibles,parotiditis,2010-01-01,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
CARAPARI,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
COBIJA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,inmunoprevenibles,parotiditis,2010-01-01,0,0,4,1,3,2,2,4,2,1,0,0,11,8,19
COLCAPIRHUA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
COPACABANA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CULPINA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,parotiditis,2010-01-01,0,0,4,0,1,0,0,3,0,0,0,0,5,3,8
ENTRE RIOS TRJ,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
IXIAMAS,inmunoprevenibles,parotiditis,2010-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LA ASUNTA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
LA GUARDIA,inmunoprevenibles,parotiditis,2010-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,parotiditis,2010-01-01,0,0,3,0,2,1,0,1,5,1,0,0,10,3,13
LURIBAY,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MECAPACA,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2
MONTEAGUDO,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MONTERO,inmunoprevenibles,parotiditis,2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ORURO,inmunoprevenibles,parotiditis,2010-01-01,0,0,2,2,8,5,1,4,1,0,0,0,12,11,23
