,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
COCHABAMBA,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,4,3,0,0,4,3,7
EL ALTO,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2
LA PAZ,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,3,1,0,0,3,1,4
MONTERO,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2
SAN BORJA,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,1,0,0,0,11,0,12,0,12
SUCRE,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
TARIJA,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
TRINIDAD,infec. de transmision sexual,sida *,2008-01-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
VILLA RIVERO,infec. de transmision sexual,sida *,2008-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
ACHACACHI,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ENTRE RIOS,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3
LA PAZ,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,0,0,4,1,0,0,4,1,5
SANTA CRUZ DE LA SIERRA,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
SUCRE,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,0,2,1,2,0,0,1,4,5
TIRAQUE (CBBA),infec. de transmision sexual,sida *,2008-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHACACHI,infec. de transmision sexual,sida *,2008-03-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,infec. de transmision sexual,sida *,2008-03-01,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4
LA PAZ,infec. de transmision sexual,sida *,2008-03-01,0,0,0,0,0,0,0,0,6,1,0,0,6,1,7
ORURO,infec. de transmision sexual,sida *,2008-03-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
