,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AIQUILE,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
ARAMPAMPA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BERMEJO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CARMEN RIVERO TORREZ,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,1,0,0,1,2,0,0,1,3,4
CHACARILLA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,0,9,0,0,0,10,10
CHARAGUA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,2,0,1,0,3,3
CHIMORE,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
COCHABAMBA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,2,1,3,14,15,1,0,16,20,36
COLLANA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
EL ALTO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,4,15,53,1,4,16,61,77
EL TORNO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
GUAYARAMERIN,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
LA PAZ,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,2,1,11,22,58,2,1,25,72,97
LLALLAGUA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LORETO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2
MONTEAGUDO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
MONTERO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2
ORURO,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,4,8,2,0,6,8,14
PATACAMAYA,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,1,1,4,0,0,1,5,6
PUERTO PEREZ,infec. de transmision sexual,ulcera genital,2008-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
