municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,0,1,0,1
APOLO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
ARAMPAMPA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,0,1,0,1
ATOCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
AZURDUY,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,0,1,0,1
BELEN DE ANDAMARCA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,1,1,1,2
BERMEJO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
BETANZOS,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,1,1,1,2
BUENA VISTA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,1,1,1,2
CAMARGO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
CAMIRI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,3,4,0,0,3,4,7
CHAQUI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,0,1,0,1,1
CHARAGUA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
CHARAÑA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,3,0,0,0,3,0,3
COBIJA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,3,0,0,0,3,0,3
COCHABAMBA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,53,27,0,1,53,28,81
COLCAPIRHUA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,0,0,1,0,1
COLOMI,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,0,4,3,5,3,8
COLQUENCHA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,0,1,0,1,1
COROICO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,1,1,0,1,1,2,3
COTAGAITA,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,5,7,2,2,7,9,16
EUREKA (SANTOS MERCADO),mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,1,0,1,0,1
GUAYARAMERIN,mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,3,1,0,0,3,1,4
HUACAYA (VILLA DE HUACAYA),mortalidad institucional,otras muertes en personas mayores de 5 anos,2005-01-01,0,0,0,1,0,1,1
