municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
BETANZOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
CAMARGO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,1,0,0,0,1,1
CAMIRI,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,1,1,0,0,1,1,2
COBIJA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,1,2,0,0,1,2,3
CULPINA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,1,1,1,2
CURAHUARA DE CARANGAS,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,3,0,0,0,3,3
EL ALTO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,5,1,1,0,6,1,7
HUACARETA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
ICLA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
INCAHUASI,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,23,13,0,2,23,15,38
MACHARETI,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,0,1,0,1,1
MONTEAGUDO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,3,0,1,0,4,0,4
ORURO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,12,4,0,1,12,5,17
PADILLA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,1,0,0,0,1,0,1
PAILON,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
PALOS BLANCOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,0,2,0,2,2
PAZÑA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
POROMA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,1,0,0,0,1,0,1
SAN IGNACIO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,0,1,0,1,1
SAN LUCAS,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,1,1,0,0,1,1,2
SICA SICA (VILLA AROMA),mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,1,0,1,0,1
SUCRE,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,8,5,0,2,8,7,15
TARABUCO,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,0,0,2,0,2,2
TARIJA,mortalidad institucional,muerte menor de 5 anos por otras causas,2005-01-01,0,2,0,0,0,2,2
