municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
BUENA VISTA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
CAMARGO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
CAMIRI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,1,0,0,1,1,2
CHARAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
COBIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,0,0,0,3,0,3
COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,6,2,0,0,6,2,8
CURAHUARA DE CARANGAS,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,5,1,1,0,6,1,7
GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,2,0,0,0,2,2
ICLA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,13,6,0,1,13,7,20
LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
MACHARETI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
MAGDALENA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
MONTEAGUDO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,0,1,0,4,0,4
ORURO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,6,3,0,0,6,3,9
PADILLA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
PAMPA GRANDE,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
POROMA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,6,7,0,0,6,7,13
PUERTO SUAREZ,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
PUNA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
PUNATA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,1,1,1,2
RIBERALTA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
SACABA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
SACACA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
SAN LUCAS,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,12,7,0,0,12,7,19
SICA SICA (VILLA AROMA),mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,1,0,1,0,1
SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,2,1,0,1,2,2,4
TARABUCO,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
TARIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,1,0,0,3,1,4
TRINIDAD,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,3,0,0,0,3,0,3
TUPIZA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,1,0,0,0,1,1
UYUNI,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,0,0,0,1,0,1,1
VILLA MONTES,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,1,0,0,0,1,0,1
YACUIBA,mortalidad institucional,muerte rn menor de 7 dias,2005-01-01,2,4,0,0,2,4,6
AIQUILE,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,2,0,0,0,2,0,2
ASCENCION DE GUARAYOS,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,1,0,1,0,1
ATOCHA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,1,0,2,0,2
CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,2,1,0,1,2,3
CHARAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,2,0,0,0,2,0,2
COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,8,4,0,0,8,4,12
COLQUIRI,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,0,1,0,1,1
COROICO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,3,1,0,0,3,1,4
ENTRE RIOS,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,15,9,0,0,15,9,24
MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,4,0,0,0,4,0,4
ORURO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,5,4,0,0,5,4,9
PADILLA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
PAILON,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,1,0,1,0,1
PATACAMAYA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,7,1,0,0,7,1,8
PRESTO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,2,0,2,0,2
PUERTO ACOSTA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,1,1,1,1,2
QUILLACOLLO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,1,0,0,0,1,1
RIBERALTA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
SACABA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,1,0,0,0,1,1
SAN LUCAS,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,7,6,0,0,7,6,13
SIPE SIPE,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
TUPIZA,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
UYUNI,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,0,2,0,2,2
VILLA MONTES,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,1,0,0,0,1,0,1
YAPACANI,mortalidad institucional,muerte rn menor de 7 dias,2005-02-01,0,0,0,1,0,1,1
AIQUILE,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
ATOCHA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,1,0,2,0,2
CHALLAPATA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
COBIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,2,2,0,0,2,2,4
COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,5,4,0,0,5,4,9
COPACABANA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,1,0,1,0,1
COROICO,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
CULPINA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,2,1,0,0,2,1,3
EL VILLAR,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,1,1,1,1,2
GUAYARAMERIN,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
ICLA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,2,0,2,0,2
LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,19,11,0,0,19,11,30
LLALLAGUA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,1,0,0,0,1,1
LURIBAY,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,1,0,1,0,1
MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,2,0,2,0,2
ORURO,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,3,3,0,0,3,3,6
POROMA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,4,6,0,0,4,6,10
PUNATA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
REYES,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
ROBORE,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
SAN IGNACIO,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
SAN MATIAS,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,1,0,0,0,1,1
SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,2,2,0,0,2,2,4
TARIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,2,1,0,0,2,1,3
TARVITA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
TRINIDAD,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,3,0,0,0,3,0,3
TUPIZA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
UNCIA,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,0,0,1,0,1,1
VILLA MONTES,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,0,1,0,0,0,1,1
VILLA TUNARI,mortalidad institucional,muerte rn menor de 7 dias,2005-03-01,1,1,0,0,1,1,2
AIQUILE,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,1,1,0,0,1,1,2
ARANI,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,0,1,0,1,1
BETANZOS,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
CARANAVI,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,3,0,3,0,3
COBIJA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,3,0,0,0,3,0,3
COCHABAMBA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,4,1,0,0,4,1,5
COLLANA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
COLOMI,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,1,0,0,0,1,0,1
COMARAPA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,2,1,0,0,2,1,3
EL ALTO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
ICLA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,11,9,1,2,12,11,23
MAGDALENA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,1,0,0,0,1,1
MIZQUE,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
MOCOMOCO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,1,0,1,0,1
MONTEAGUDO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,1,0,2,0,3,0,3
MOROCHATA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,4,3,0,0,4,3,7
PALOS BLANCOS,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,0,1,0,1,1
PELECHUCO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,0,1,0,1,1
POTOSI,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,3,3,0,1,3,4,7
PUERTO VILLARROEL,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,1,0,0,0,1,1
SACACA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,0,0,2,0,2,2
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,2,0,0,0,2,0,2
SAN LUCAS,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,1,0,0,0,1,1
SANTA ANA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,0,6,0,0,0,6,6
SUCRE,mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,1,0,0,0,1,0,1
TIRAQUE (CBBA),mortalidad institucional,muerte rn menor de 7 dias,2005-04-01,2,0,0,0,2,0,2
