municipality,group,variable,month,Dentro-H,Dentro-M,Fuera-H,Fuera-M,TOTAL-H,TOTAL-M,TOTAL
AIQUILE,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
ATOCHA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
CAMARGO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,1,0,0,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,3,4,0,0,3,4,7
CULPINA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,1,1,1,2
CURAHUARA DE CARANGAS,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,2,0,0,0,2,2
EL ALTO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,4,1,1,0,5,1,6
ICLA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
INCAHUASI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2005-01-01,22,10,0,2,22,12,34
LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,1,0,1,1
MACHARETI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,1,0,1,1
MAGDALENA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
MONTEAGUDO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,1,0,0,0,1,1
MONTERO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,2,0,2,0,2
ORURO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,8,3,0,0,8,3,11
PADILLA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
PALOS BLANCOS,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,1,0,1,1
POROMA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,4,6,0,0,4,6,10
PUERTO VILLARROEL,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
PUNATA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,2,1,0,0,2,1,3
RAVELO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
SACABA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
SAN JUAN DE YAPACANI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,1,0,1,1
SAN LUCAS,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,4,5,0,0,4,5,9
SICA SICA (VILLA AROMA),mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,0,1,0,1
SUCRE,mortalidad institucional,muerte menor de 1 ano,2005-01-01,8,4,0,2,8,6,14
TARABUCO,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,2,0,2,2
TOMINA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,2,0,2,2
TOTORA(CBBA),mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
TRINIDAD,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
VILLA TUNARI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
VILLAZON,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,2,0,0,0,2,2
YAMPARAEZ,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,1,1,1,1,2
YAPACANI,mortalidad institucional,muerte menor de 1 ano,2005-01-01,1,0,0,0,1,0,1
YOTALA,mortalidad institucional,muerte menor de 1 ano,2005-01-01,0,0,0,1,0,1,1
ALCALA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
CARANAVI,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,2,1,0,1,2,3
CHAYANTA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,1,2,0,0,1,2,3
COLQUECHACA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
EL ALTO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,5,1,0,0,5,1,6
INCAHUASI,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,2,0,2,2
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2005-02-01,22,12,0,0,22,12,34
LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,2,0,2,2
MONTEAGUDO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
MONTERO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,2,0,2,0,2
ORURO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,6,4,0,0,6,4,10
PADILLA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,1,1,0,0,1,1,2
PALOS BLANCOS,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
PATACAMAYA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,1,0,0,0,1,0,1
POTOSI,mortalidad institucional,muerte menor de 1 ano,2005-02-01,5,1,2,0,7,1,8
PRESTO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,2,0,2,0,2
PUERTO ACOSTA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,1,1,1,1,2
PUNA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
PUNATA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,1,0,0,0,1,1
SAN BORJA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,2,0,0,0,2,2
SAN LUCAS,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,1,0,0,0,1,1
SAN MIGUEL DE VELASCO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,6,7,0,0,6,7,13
SUCRE,mortalidad institucional,muerte menor de 1 ano,2005-02-01,5,0,0,0,5,0,5
TARABUCO,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,2,2,2,2,4
TARIJA,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,1,0,1,0,2,2
TIRAQUE (CBBA),mortalidad institucional,muerte menor de 1 ano,2005-02-01,2,0,0,0,2,0,2
UYUNI,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,1,0,1,0,1
VILLA MONTES,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,1,0,0,0,1,1
VILLAZON,mortalidad institucional,muerte menor de 1 ano,2005-02-01,1,0,0,0,1,0,1
YAMPARAEZ,mortalidad institucional,muerte menor de 1 ano,2005-02-01,0,0,0,1,0,1,1
ALCALA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
BETANZOS,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
CAMATAQUI (C. VILLA ABECIA),mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,0,0,1,0,1
CARANAVI,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,2,0,3,0,3
CHALLAPATA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
COBIJA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,0,0,1,0,1
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,6,5,0,0,6,5,11
COTAGAITA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
CULPINA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,0,0,1,0,1
EL ALTO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,4,1,0,0,4,1,5
EL VILLAR,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,1,1,1,2
GUAYARAMERIN,mortalidad institucional,muerte menor de 1 ano,2005-03-01,2,0,0,0,2,0,2
HUACAYA (VILLA DE HUACAYA),mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
ICLA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,3,0,3,0,3
INCAHUASI,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2005-03-01,28,18,1,0,29,18,47
LLALLAGUA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
LURIBAY,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
MOCOMOCO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
MONTERO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
ORURO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,4,3,0,0,4,3,7
POROMA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
POTOSI,mortalidad institucional,muerte menor de 1 ano,2005-03-01,5,6,0,0,5,6,11
PRESTO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
PUNA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
SACABA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,1,0,2,0,2
SACACA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
SAN IGNACIO DE VELASCO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,3,7,0,0,3,7,10
SUCRE,mortalidad institucional,muerte menor de 1 ano,2005-03-01,4,2,0,0,4,2,6
TARABUCO,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
TARIJA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,3,2,0,0,3,2,5
TARVITA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,0,1,1,1,2
TRINIDAD,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,0,0,1,0,1
TUPIZA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
UYUNI,mortalidad institucional,muerte menor de 1 ano,2005-03-01,1,0,1,0,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
YOTALA,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,0,1,0,1,1
ZUDAÑEZ,mortalidad institucional,muerte menor de 1 ano,2005-03-01,0,0,1,0,1,0,1
ANDAMARCA,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,0,1,0,1,1
BETANZOS,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,1,1,1,1,2
CARANAVI,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,3,0,3,0,3
COCHABAMBA,mortalidad institucional,muerte menor de 1 ano,2005-04-01,6,2,0,0,6,2,8
COMARAPA,mortalidad institucional,muerte menor de 1 ano,2005-04-01,1,1,0,0,1,1,2
CORQUE,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,1,0,1,0,1
GUAYARAMERIN,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,1,0,0,0,1,1
ICLA,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,2,0,2,0,2
LA PAZ,mortalidad institucional,muerte menor de 1 ano,2005-04-01,14,15,2,2,16,17,33
MOCOMOCO,mortalidad institucional,muerte menor de 1 ano,2005-04-01,0,0,1,0,1,0,1
