municipality,group,variable,month,TOTAL
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2020-01-01,3.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-01-01,16.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2020-02-01,94.0
VILLAZON,eventos - notificacion inmediata parte ii,otros de excepcion,2020-02-01,13.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2020-03-01,90.0
MECAPACA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-03-01,2.0
ALCALA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-04-01,3.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2020-04-01,3.0
SAN LUCAS,eventos - notificacion inmediata parte ii,otros de excepcion,2020-06-01,2.0
ENTRE RIOS TRJ,eventos - notificacion inmediata parte ii,otros de excepcion,2020-07-01,3.0
HUAYLLAMARCA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-07-01,1.0
COTAGAITA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-08-01,4.0
LAS CARRERAS,eventos - notificacion inmediata parte ii,otros de excepcion,2020-08-01,1.0
VILLA TUNARI,eventos - notificacion inmediata parte ii,otros de excepcion,2020-08-01,1.0
MACHARETI,eventos - notificacion inmediata parte ii,otros de excepcion,2020-09-01,594.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-09-01,32.0
HUAYLLAMARCA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-10-01,1.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-10-01,32.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte ii,otros de excepcion,2020-10-01,1.0
ZUDAÑEZ,eventos - notificacion inmediata parte ii,otros de excepcion,2020-10-01,4.0
BELEN DE ANDAMARCA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-11-01,1.0
CARACOLLO,eventos - notificacion inmediata parte ii,otros de excepcion,2020-11-01,1.0
CULPINA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-11-01,1161.0
TOMINA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-11-01,60.0
POROMA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-12-01,3.0
SAN BORJA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-12-01,3.0
TINGUIPAYA,eventos - notificacion inmediata parte ii,otros de excepcion,2020-12-01,6.0
TORO TORO,eventos - notificacion inmediata parte ii,otros de excepcion,2020-12-01,1.0
