municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
COCHABAMBA,infec de transmision sexual,sida,2005-01-01,0,0,0,0.0,0,0,6,,0,0.0,6,,
LA PAZ,infec de transmision sexual,sida,2005-01-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-01-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-02-01,0,0,0,0.0,0,0,0,0.0,1,,1,,
SAN IGNACIO DE VELASCO,infec de transmision sexual,sida,2005-02-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-02-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
TARIJA,infec de transmision sexual,sida,2005-02-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COBIJA,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
CUATRO CAÑADAS,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
LA PAZ,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
ORURO,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,3,,0,0.0,3,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
YACUIBA,infec de transmision sexual,sida,2005-03-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-04-01,0,0,1,0.0,0,0,6,0.0,1,0.0,8,,
LA PAZ,infec de transmision sexual,sida,2005-04-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
ORURO,infec de transmision sexual,sida,2005-04-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SAN IGNACIO DE VELASCO,infec de transmision sexual,sida,2005-04-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SUCRE,infec de transmision sexual,sida,2005-04-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
TARIJA,infec de transmision sexual,sida,2005-04-01,0,0,1,,0,0,0,0.0,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-05-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
LA PAZ,infec de transmision sexual,sida,2005-05-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,3,,0,0.0,3,,
LA PAZ,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
MONTERO,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
ORURO,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SANTA ANA,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
YACUIBA,infec de transmision sexual,sida,2005-06-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
LA PAZ,infec de transmision sexual,sida,2005-07-01,0,0,0,0.0,0,0,4,,0,0.0,4,,
PUNATA,infec de transmision sexual,sida,2005-07-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-07-01,0,0,0,0.0,1,0,2,0.0,0,0.0,3,,
YACUIBA,infec de transmision sexual,sida,2005-07-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-08-01,0,0,1,0.0,0,0,5,0.0,0,0.0,6,,
MONTERO,infec de transmision sexual,sida,2005-08-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
ORURO,infec de transmision sexual,sida,2005-08-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
PUERTO QUIJARRO,infec de transmision sexual,sida,2005-08-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-09-01,0,0,0,0.0,0,0,4,,0,0.0,4,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-09-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
TARIJA,infec de transmision sexual,sida,2005-09-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
YACUIBA,infec de transmision sexual,sida,2005-09-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
CARMEN RIVERO TORREZ,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-10-01,0,0,1,0.0,0,0,4,0.0,1,0.0,6,,
LA PAZ,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,3,,0,0.0,3,,
MONTERO,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
ORURO,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SUCRE,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
YACUIBA,infec de transmision sexual,sida,2005-10-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
COCHABAMBA,infec de transmision sexual,sida,2005-11-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SANTA CRUZ DE LA SIERRA,infec de transmision sexual,sida,2005-11-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
SUCRE,infec de transmision sexual,sida,2005-11-01,0,0,0,0.0,0,0,2,,0,0.0,2,,
COCHABAMBA,infec de transmision sexual,sida,2005-12-01,0,0,0,0.0,0,0,4,,0,0.0,4,,
LA PAZ,infec de transmision sexual,sida,2005-12-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
ORURO,infec de transmision sexual,sida,2005-12-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
SUCRE,infec de transmision sexual,sida,2005-12-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
TARIJA,infec de transmision sexual,sida,2005-12-01,0,0,0,0.0,0,0,1,,0,0.0,1,,
