,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,ira sin neumonia,2011-01-01,10,9,20,16,0,1,5,1,11,15,3,3,49,45,94
ACHACACHI,otras infecciones,ira sin neumonia,2011-01-01,49,24,54,40,4,3,8,12,18,45,27,28,160,152,312
ACHOCALLA,otras infecciones,ira sin neumonia,2011-01-01,18,16,14,16,2,5,5,12,8,23,4,6,51,78,129
AIQUILE,otras infecciones,ira sin neumonia,2011-01-01,45,56,95,70,8,6,5,10,11,23,3,2,167,167,334
ALALAY,otras infecciones,ira sin neumonia,2011-01-01,6,4,5,7,0,0,1,3,2,9,3,0,17,23,40
ALCALA,otras infecciones,ira sin neumonia,2011-01-01,4,7,30,36,7,4,6,12,6,20,4,9,57,88,145
ALTO BENI,otras infecciones,ira sin neumonia,2011-01-01,26,20,46,56,8,15,8,15,50,36,4,7,142,149,291
ANCORAIMES,otras infecciones,ira sin neumonia,2011-01-01,9,9,23,13,0,5,2,6,10,20,17,20,61,73,134
ANDAMARCA,otras infecciones,ira sin neumonia,2011-01-01,7,12,19,16,0,3,6,8,12,16,5,4,49,59,108
ANTEQUERA,otras infecciones,ira sin neumonia,2011-01-01,6,10,12,18,10,10,6,4,19,11,7,4,60,57,117
ANZALDO,otras infecciones,ira sin neumonia,2011-01-01,5,5,10,5,0,3,1,1,1,8,6,7,23,29,52
APOLO,otras infecciones,ira sin neumonia,2011-01-01,33,24,42,42,5,4,4,10,19,18,10,5,113,103,216
ARAMPAMPA,otras infecciones,ira sin neumonia,2011-01-01,9,9,21,19,0,3,2,4,6,13,2,3,40,51,91
ARANI,otras infecciones,ira sin neumonia,2011-01-01,11,19,19,15,3,1,0,1,2,1,2,0,37,37,74
ARBIETO,otras infecciones,ira sin neumonia,2011-01-01,10,8,21,17,1,1,1,1,0,10,3,4,36,41,77
ARQUE,otras infecciones,ira sin neumonia,2011-01-01,17,15,39,35,2,3,5,2,13,16,2,3,78,74,152
ASCENCION DE GUARAYOS,otras infecciones,ira sin neumonia,2011-01-01,69,50,98,97,4,10,4,5,4,3,1,4,180,169,349
ATOCHA,otras infecciones,ira sin neumonia,2011-01-01,55,60,89,96,23,31,44,48,152,152,15,17,378,404,782
AUCAPATA,otras infecciones,ira sin neumonia,2011-01-01,4,1,9,6,4,2,0,3,7,8,0,2,24,22,46
AYATA,otras infecciones,ira sin neumonia,2011-01-01,16,12,30,29,2,1,3,4,15,12,5,6,71,64,135
AYO AYO,otras infecciones,ira sin neumonia,2011-01-01,12,6,34,10,1,0,3,6,5,12,11,10,66,44,110
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,ira sin neumonia,2011-01-01,82,64,136,105,7,6,15,19,45,75,12,15,297,284,581
AZURDUY,otras infecciones,ira sin neumonia,2011-01-01,25,18,67,69,1,3,6,9,22,56,9,6,130,161,291
