municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,50,50
ACHOCALLA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
AIQUILE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,4,4
ALTO BENI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
ANDAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
ANTEQUERA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
APOLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,5,5
ARAMPAMPA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
ARBIETO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,4,4
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,168,168
ATOCHA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,20,20
AYO AYO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
BATALLAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,6,6
BERMEJO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,13,13
BETANZOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,3,3
BOLPEBRA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
BOYUIBE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
BUENA VISTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
CABEZAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
CAJUATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,4,4
CALACOTO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
CALAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
CAMARGO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,16,16
CAMIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,22,22
CAPINOTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,7,7
CARACOLLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,10,10
CARANAVI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,34,34
CARMEN RIVERO TORREZ,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,10,10
CHALLAPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,10,10
CHARAGUA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,5,5
CHAYANTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,1,1
CHIMORE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,27,27
CHUMA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,2,2
CLIZA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,14,14
COBIJA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,25,25
COCAPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,3,3
COCHABAMBA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,339,339
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,30,30
COLOMI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,22,22
COLPA BELGICA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,3,3
COLQUENCHA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,5,5
COLQUIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,10,10
COMARAPA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,7,7
CONCEPCION,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,56,56
COPACABANA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,5,5
CORO CORO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2011-01-01,6,6
