municipality,group,variable,month,Cantidad,TOTAL
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,3,3
ATOCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
CAJUATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,3,3
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,5,5
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,20,20
COLOMI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
COROICO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,2,2
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,44,44
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,36,36
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
LORETO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,5,5
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,15,15
OKINAWA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,2,2
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,7,7
POOPO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,22,22
PUERTO QUIJARRO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,2,2
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,3,3
ROBORE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,2,2
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
SAN CARLOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,5,5
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,5,5
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,65,65
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,6,6
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,6,6
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,2,2
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,8,8
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
YAPACANI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,7,7
BERMEJO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
CAMIRI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,2,2
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
CLIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
COBIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,10,10
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,33,33
COMARAPA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,2,2
CORO CORO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,43,43
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,3,3
GUANAY,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,2,2
GUTIERREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
LA GUARDIA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,3,3
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,27,27
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,1,1
MECAPACA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,2,2
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,3,3
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,3,3
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,6,6
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,19,19
PORTACHUELO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2011-02-01,3,3
