,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,sobrepeso (s),2009-01-01,1,4,4,5,3,5,0,0,8,14,22
ACHACACHI,estado nutricional,sobrepeso (s),2009-01-01,20,16,11,4,15,8,0,0,46,28,74
ACHOCALLA,estado nutricional,sobrepeso (s),2009-01-01,6,5,4,3,0,4,0,0,10,12,22
AIQUILE,estado nutricional,sobrepeso (s),2009-01-01,12,20,17,20,34,23,35,0,98,63,161
ALALAY,estado nutricional,sobrepeso (s),2009-01-01,6,3,3,0,6,3,0,0,15,6,21
ALCALA,estado nutricional,sobrepeso (s),2009-01-01,7,3,2,4,6,11,0,0,15,18,33
ANCORAIMES,estado nutricional,sobrepeso (s),2009-01-01,8,11,1,7,8,7,0,0,17,25,42
ANDAMARCA,estado nutricional,sobrepeso (s),2009-01-01,0,2,1,2,1,1,2,0,4,5,9
ANTEQUERA,estado nutricional,sobrepeso (s),2009-01-01,0,0,0,0,0,1,1,0,1,1,2
ANZALDO,estado nutricional,sobrepeso (s),2009-01-01,0,0,0,0,1,1,0,0,1,1,2
APOLO,estado nutricional,sobrepeso (s),2009-01-01,2,2,0,0,3,1,0,0,5,3,8
ARAMPAMPA,estado nutricional,sobrepeso (s),2009-01-01,5,1,3,2,3,10,0,0,11,13,24
ARANI,estado nutricional,sobrepeso (s),2009-01-01,4,3,0,1,0,2,0,0,4,6,10
ARBIETO,estado nutricional,sobrepeso (s),2009-01-01,1,0,2,0,3,0,0,0,6,0,6
ARQUE,estado nutricional,sobrepeso (s),2009-01-01,14,7,7,5,4,8,7,0,32,20,52
ASCENCION DE GUARAYOS,estado nutricional,sobrepeso (s),2009-01-01,3,0,0,0,0,0,0,0,3,0,3
ATOCHA,estado nutricional,sobrepeso (s),2009-01-01,7,0,0,1,1,0,7,0,15,1,16
AUCAPATA,estado nutricional,sobrepeso (s),2009-01-01,0,1,0,0,0,0,1,0,1,1,2
AYATA,estado nutricional,sobrepeso (s),2009-01-01,1,0,0,0,0,1,0,0,1,1,2
AYO AYO,estado nutricional,sobrepeso (s),2009-01-01,4,1,1,2,6,3,0,0,11,6,17
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,sobrepeso (s),2009-01-01,12,11,4,4,8,3,1,0,25,18,43
AZURDUY,estado nutricional,sobrepeso (s),2009-01-01,7,2,0,0,3,1,0,0,10,3,13
BATALLAS,estado nutricional,sobrepeso (s),2009-01-01,2,0,1,0,6,1,13,0,22,1,23
BAURES,estado nutricional,sobrepeso (s),2009-01-01,1,0,1,0,2,1,0,0,4,1,5
BELLA FLOR,estado nutricional,sobrepeso (s),2009-01-01,1,1,5,2,3,4,0,0,9,7,16
BERMEJO,estado nutricional,sobrepeso (s),2009-01-01,8,6,2,5,5,5,20,0,35,16,51
BETANZOS,estado nutricional,sobrepeso (s),2009-01-01,19,10,10,14,15,15,26,0,70,39,109
BOLIVAR,estado nutricional,sobrepeso (s),2009-01-01,2,1,1,3,5,4,0,0,8,8,16
BOLPEBRA,estado nutricional,sobrepeso (s),2009-01-01,2,1,1,1,0,0,0,0,3,2,5
BOYUIBE,estado nutricional,sobrepeso (s),2009-01-01,3,0,1,5,1,1,0,0,5,6,11
BUENA VISTA,estado nutricional,sobrepeso (s),2009-01-01,13,6,5,2,5,0,0,0,23,8,31
CABEZAS,estado nutricional,sobrepeso (s),2009-01-01,7,7,6,2,3,10,0,0,16,19,35
CAIROMA,estado nutricional,sobrepeso (s),2009-01-01,3,1,1,1,2,2,15,0,21,4,25
"CAIZA ""D""",estado nutricional,sobrepeso (s),2009-01-01,5,6,7,3,5,3,1,0,18,12,30
CAJUATA,estado nutricional,sobrepeso (s),2009-01-01,2,0,2,0,7,2,6,0,17,2,19
CALACOTO,estado nutricional,sobrepeso (s),2009-01-01,0,1,4,3,3,2,0,0,7,6,13
CALAMARCA,estado nutricional,sobrepeso (s),2009-01-01,0,1,1,1,1,0,0,0,2,2,4
CAMARGO,estado nutricional,sobrepeso (s),2009-01-01,9,10,9,5,9,10,6,0,33,25,58
CAMATAQUI (C. VILLA ABECIA),estado nutricional,sobrepeso (s),2009-01-01,3,3,4,3,2,2,0,0,9,8,17
CAMIRI,estado nutricional,sobrepeso (s),2009-01-01,22,23,6,3,13,7,9,0,50,33,83
CAPINOTA,estado nutricional,sobrepeso (s),2009-01-01,6,2,5,7,3,1,0,0,14,10,24
CAQUIAVIRI,estado nutricional,sobrepeso (s),2009-01-01,1,2,0,0,1,3,0,0,2,5,7
