,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,nutricion normal (n),2009-01-01,29,32,27,21,39,46,0,0,95,99,194
ACHACACHI,estado nutricional,nutricion normal (n),2009-01-01,197,233,123,109,180,186,2,0,502,528,1030
ACHOCALLA,estado nutricional,nutricion normal (n),2009-01-01,17,13,9,13,21,18,0,0,47,44,91
AIQUILE,estado nutricional,nutricion normal (n),2009-01-01,125,85,80,67,93,81,168,0,466,233,699
ALALAY,estado nutricional,nutricion normal (n),2009-01-01,14,9,3,3,7,12,2,0,26,24,50
ALCALA,estado nutricional,nutricion normal (n),2009-01-01,14,18,21,16,61,67,0,0,96,101,197
ANCORAIMES,estado nutricional,nutricion normal (n),2009-01-01,43,47,23,29,77,81,0,0,143,157,300
ANDAMARCA,estado nutricional,nutricion normal (n),2009-01-01,0,4,0,0,0,0,7,0,7,4,11
ANTEQUERA,estado nutricional,nutricion normal (n),2009-01-01,24,18,14,11,15,21,12,0,65,50,115
ANZALDO,estado nutricional,nutricion normal (n),2009-01-01,7,11,9,9,3,3,3,0,22,23,45
APOLO,estado nutricional,nutricion normal (n),2009-01-01,17,18,8,5,10,9,0,0,35,32,67
ARAMPAMPA,estado nutricional,nutricion normal (n),2009-01-01,19,18,17,18,21,35,0,0,57,71,128
ARANI,estado nutricional,nutricion normal (n),2009-01-01,79,52,39,35,68,61,0,0,186,148,334
ARBIETO,estado nutricional,nutricion normal (n),2009-01-01,44,51,33,45,69,67,0,0,146,163,309
ARQUE,estado nutricional,nutricion normal (n),2009-01-01,39,44,47,23,33,38,40,0,159,105,264
ASCENCION DE GUARAYOS,estado nutricional,nutricion normal (n),2009-01-01,31,32,7,6,5,5,0,0,43,43,86
ATOCHA,estado nutricional,nutricion normal (n),2009-01-01,53,31,33,28,50,53,69,0,205,112,317
AUCAPATA,estado nutricional,nutricion normal (n),2009-01-01,8,1,4,1,6,2,0,0,18,4,22
AYATA,estado nutricional,nutricion normal (n),2009-01-01,10,11,6,8,7,12,4,0,27,31,58
AYO AYO,estado nutricional,nutricion normal (n),2009-01-01,7,9,5,8,5,8,0,0,17,25,42
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2009-01-01,94,79,100,85,60,80,8,0,262,244,506
AZURDUY,estado nutricional,nutricion normal (n),2009-01-01,61,50,58,57,133,111,0,0,252,218,470
BATALLAS,estado nutricional,nutricion normal (n),2009-01-01,35,28,14,9,17,13,4,0,70,50,120
BAURES,estado nutricional,nutricion normal (n),2009-01-01,26,29,13,12,21,34,0,0,60,75,135
BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2009-01-01,0,0,1,0,0,0,1,0,2,0,2
BELEN DE URMIRI,estado nutricional,nutricion normal (n),2009-01-01,8,8,5,3,7,7,0,0,20,18,38
BELLA FLOR,estado nutricional,nutricion normal (n),2009-01-01,5,3,6,4,13,7,0,0,24,14,38
BERMEJO,estado nutricional,nutricion normal (n),2009-01-01,47,58,36,38,49,49,16,0,148,145,293
BETANZOS,estado nutricional,nutricion normal (n),2009-01-01,165,178,197,140,192,184,57,0,611,502,1113
BOLIVAR,estado nutricional,nutricion normal (n),2009-01-01,20,11,31,16,23,22,0,0,74,49,123
BOLPEBRA,estado nutricional,nutricion normal (n),2009-01-01,1,2,2,2,0,2,2,0,5,6,11
BOYUIBE,estado nutricional,nutricion normal (n),2009-01-01,20,21,22,11,52,36,0,0,94,68,162
BUENA VISTA,estado nutricional,nutricion normal (n),2009-01-01,53,58,48,47,90,89,3,0,194,194,388
CABEZAS,estado nutricional,nutricion normal (n),2009-01-01,53,40,42,32,57,47,0,0,152,119,271
CAIROMA,estado nutricional,nutricion normal (n),2009-01-01,14,12,7,4,2,8,9,0,32,24,56
"CAIZA ""D""",estado nutricional,nutricion normal (n),2009-01-01,32,28,28,22,32,32,9,0,101,82,183
CAJUATA,estado nutricional,nutricion normal (n),2009-01-01,9,10,3,1,7,4,25,0,44,15,59
CALACOTO,estado nutricional,nutricion normal (n),2009-01-01,5,4,6,8,10,7,5,0,26,19,45
CALAMARCA,estado nutricional,nutricion normal (n),2009-01-01,10,6,0,3,4,5,0,0,14,14,28
CAMARGO,estado nutricional,nutricion normal (n),2009-01-01,101,107,86,92,166,204,6,0,359,403,762
CAMATAQUI (C. VILLA ABECIA),estado nutricional,nutricion normal (n),2009-01-01,22,20,14,18,41,33,2,0,79,71,150
CAMIRI,estado nutricional,nutricion normal (n),2009-01-01,125,129,58,67,142,131,15,0,340,327,667
