,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
AIQUILE,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,22,0,22,0,22
ARQUE,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,20,0,20,0,20
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
BATALLAS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
BERMEJO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CAIROMA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CAJUATA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,6,0,6,0,6
CALAMARCA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CAMARGO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,3,0,3,0,3
CAMIRI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CAQUIAVIRI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
CARACOLLO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,3,0,3,0,3
CARANAVI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CATACORA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
CHOQUE COTA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CLIZA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
COBIJA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,7,0,7,0,7
COCHABAMBA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,14,0,14,0,14
COLOMI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
COLQUECHACA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,3,0,3,0,3
COLQUIRI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
CORO CORO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,3,0,3,0,3
CUATRO CAÑADAS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
CURAHUARA DE CARANGAS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
EL ALTO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,105,0,105,0,105
EL PUENTE(STC),estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
ENTRE RIOS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
EUCALIPTUS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
GUANAY,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
GUAQUI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
HUACARETA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
INQUISIVI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
LA ASUNTA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,6,0,6,0,6
LA GUARDIA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
LA PAZ,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,52,0,52,0,52
LAJA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,3,0,3,0,3
MACHARETI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
MIZQUE,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,5,0,5,0,5
OCURI,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
ORURO,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,60,0,60,0,60
PALOS BLANCOS,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
PASORAPA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,2,0,2,0,2
PAZÑA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
POCOATA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,11,0,11,0,11
POROMA,estado nutricional,desnutrida,2009-01-01,0,0,0,0,0,0,1,0,1,0,1
