,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion moderada (m),2009-01-01,0,1,0,1,3,4,0,0,3,6,9
ACHACACHI,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,1,0,3,3,0,0,5,3,8
AIQUILE,estado nutricional,desnutricion moderada (m),2009-01-01,0,3,1,0,0,5,0,0,1,8,9
ANCORAIMES,estado nutricional,desnutricion moderada (m),2009-01-01,0,1,2,0,3,0,0,0,5,1,6
ANTEQUERA,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,1,0,0,1,0,0,1,1,2
ANZALDO,estado nutricional,desnutricion moderada (m),2009-01-01,0,2,1,1,0,0,0,0,1,3,4
APOLO,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,3,1,4,0,0,1,7,8
ARAMPAMPA,estado nutricional,desnutricion moderada (m),2009-01-01,2,0,1,0,1,0,0,0,4,0,4
ARANI,estado nutricional,desnutricion moderada (m),2009-01-01,0,1,1,0,0,1,0,0,1,2,3
ARBIETO,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,0,0,1,0,0,0,1,1
ARQUE,estado nutricional,desnutricion moderada (m),2009-01-01,2,0,1,0,0,0,0,0,3,0,3
ATOCHA,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,1,0,3,3,0,0,4,3,7
AUCAPATA,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,1,0,0,0,0,0,1,1
AYATA,estado nutricional,desnutricion moderada (m),2009-01-01,5,2,1,1,0,1,0,0,6,4,10
AYO AYO,estado nutricional,desnutricion moderada (m),2009-01-01,2,1,1,1,0,0,0,0,3,2,5
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion moderada (m),2009-01-01,0,0,4,0,1,0,0,0,5,0,5
AZURDUY,estado nutricional,desnutricion moderada (m),2009-01-01,2,0,5,10,11,11,0,0,18,21,39
BAURES,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,2,0,0,0,0,0,2,2
BERMEJO,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,1,1,0,0,0,0,2,1,3
BETANZOS,estado nutricional,desnutricion moderada (m),2009-01-01,3,1,1,1,1,1,0,0,5,3,8
BOLIVAR,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,1,0,2,1,0,0,4,1,5
BOLPEBRA,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,0,1,1,0,0,1,1,2
BOYUIBE,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,1,0,1,1,0,0,2,1,3
BUENA VISTA,estado nutricional,desnutricion moderada (m),2009-01-01,0,1,0,0,0,0,0,0,0,1,1
CABEZAS,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,2,1,1,0,0,0,4,1,5
CAIROMA,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,0,1,0,0,0,0,1,1,2
"CAIZA ""D""",estado nutricional,desnutricion moderada (m),2009-01-01,0,0,0,1,1,0,0,0,1,1,2
CAJUATA,estado nutricional,desnutricion moderada (m),2009-01-01,0,1,0,0,0,0,0,0,0,1,1
CALAMARCA,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,1,2,1,0,0,0,2,2,4
CAMARGO,estado nutricional,desnutricion moderada (m),2009-01-01,2,1,0,3,3,2,0,0,5,6,11
CAMIRI,estado nutricional,desnutricion moderada (m),2009-01-01,5,5,5,1,13,2,0,0,23,8,31
CAPINOTA,estado nutricional,desnutricion moderada (m),2009-01-01,3,2,4,14,4,3,0,0,11,19,30
CAQUIAVIRI,estado nutricional,desnutricion moderada (m),2009-01-01,3,1,2,0,0,1,0,0,5,2,7
CARACOLLO,estado nutricional,desnutricion moderada (m),2009-01-01,1,0,0,1,0,0,0,0,1,1,2
CARANAVI,estado nutricional,desnutricion moderada (m),2009-01-01,7,2,3,5,1,3,0,0,11,10,21
CARAPARI,estado nutricional,desnutricion moderada (m),2009-01-01,2,0,0,0,1,0,0,0,3,0,3
CARIPUYO,estado nutricional,desnutricion moderada (m),2009-01-01,2,2,1,1,5,1,0,0,8,4,12
CARMEN RIVERO TORREZ,estado nutricional,desnutricion moderada (m),2009-01-01,0,0,3,4,2,1,0,0,5,5,10
CHALLAPATA,estado nutricional,desnutricion moderada (m),2009-01-01,2,0,1,2,0,0,0,0,3,2,5
CHARAGUA,estado nutricional,desnutricion moderada (m),2009-01-01,5,3,0,6,3,2,0,0,8,11,19
CHAYANTA,estado nutricional,desnutricion moderada (m),2009-01-01,5,2,7,5,4,3,0,0,16,10,26
