,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion leve (l),2009-01-01,13,6,13,5,19,22,0,0,45,33,78
ACHACACHI,estado nutricional,desnutricion leve (l),2009-01-01,8,19,16,17,15,19,0,0,39,55,94
ACHOCALLA,estado nutricional,desnutricion leve (l),2009-01-01,0,0,0,2,0,3,0,0,0,5,5
AIQUILE,estado nutricional,desnutricion leve (l),2009-01-01,4,3,6,10,5,1,0,0,15,14,29
ALALAY,estado nutricional,desnutricion leve (l),2009-01-01,2,2,2,2,3,1,0,0,7,5,12
ALCALA,estado nutricional,desnutricion leve (l),2009-01-01,1,0,3,1,6,5,0,0,10,6,16
ANCORAIMES,estado nutricional,desnutricion leve (l),2009-01-01,10,5,13,6,13,13,0,0,36,24,60
ANDAMARCA,estado nutricional,desnutricion leve (l),2009-01-01,1,0,1,1,1,1,0,0,3,2,5
ANTEQUERA,estado nutricional,desnutricion leve (l),2009-01-01,1,0,1,0,0,1,0,0,2,1,3
ANZALDO,estado nutricional,desnutricion leve (l),2009-01-01,6,10,21,14,7,17,0,0,34,41,75
APOLO,estado nutricional,desnutricion leve (l),2009-01-01,2,4,7,11,10,8,0,0,19,23,42
ARAMPAMPA,estado nutricional,desnutricion leve (l),2009-01-01,2,2,1,7,2,6,0,0,5,15,20
ARANI,estado nutricional,desnutricion leve (l),2009-01-01,2,4,7,2,5,5,0,0,14,11,25
ARBIETO,estado nutricional,desnutricion leve (l),2009-01-01,3,6,7,7,18,18,0,0,28,31,59
ARQUE,estado nutricional,desnutricion leve (l),2009-01-01,5,11,8,10,13,5,0,0,26,26,52
ASCENCION DE GUARAYOS,estado nutricional,desnutricion leve (l),2009-01-01,3,3,0,4,1,1,0,0,4,8,12
ATOCHA,estado nutricional,desnutricion leve (l),2009-01-01,2,4,4,8,6,10,0,0,12,22,34
AUCAPATA,estado nutricional,desnutricion leve (l),2009-01-01,0,0,2,0,1,3,0,0,3,3,6
AYATA,estado nutricional,desnutricion leve (l),2009-01-01,1,2,0,2,1,4,0,0,2,8,10
AYO AYO,estado nutricional,desnutricion leve (l),2009-01-01,1,7,3,1,1,3,0,0,5,11,16
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion leve (l),2009-01-01,8,6,11,9,8,8,0,0,27,23,50
AZURDUY,estado nutricional,desnutricion leve (l),2009-01-01,11,5,10,17,34,52,0,0,55,74,129
BATALLAS,estado nutricional,desnutricion leve (l),2009-01-01,1,1,0,0,0,1,0,0,1,2,3
BAURES,estado nutricional,desnutricion leve (l),2009-01-01,1,1,0,2,1,0,0,0,2,3,5
BELEN DE ANDAMARCA,estado nutricional,desnutricion leve (l),2009-01-01,1,0,0,0,0,1,0,0,1,1,2
BELEN DE URMIRI,estado nutricional,desnutricion leve (l),2009-01-01,3,1,1,4,4,6,0,0,8,11,19
BELLA FLOR,estado nutricional,desnutricion leve (l),2009-01-01,0,0,0,0,1,1,0,0,1,1,2
BERMEJO,estado nutricional,desnutricion leve (l),2009-01-01,3,0,4,6,4,4,0,0,11,10,21
BETANZOS,estado nutricional,desnutricion leve (l),2009-01-01,12,9,19,18,13,10,0,0,44,37,81
BOLIVAR,estado nutricional,desnutricion leve (l),2009-01-01,6,6,13,11,4,2,0,0,23,19,42
BOYUIBE,estado nutricional,desnutricion leve (l),2009-01-01,1,3,2,1,4,1,0,0,7,5,12
BUENA VISTA,estado nutricional,desnutricion leve (l),2009-01-01,1,2,3,1,7,5,0,0,11,8,19
CABEZAS,estado nutricional,desnutricion leve (l),2009-01-01,2,5,6,6,16,6,0,0,24,17,41
CAIROMA,estado nutricional,desnutricion leve (l),2009-01-01,3,2,2,1,1,1,0,0,6,4,10
"CAIZA ""D""",estado nutricional,desnutricion leve (l),2009-01-01,4,4,0,1,2,2,0,0,6,7,13
CAJUATA,estado nutricional,desnutricion leve (l),2009-01-01,5,1,4,1,1,1,0,0,10,3,13
CALACOTO,estado nutricional,desnutricion leve (l),2009-01-01,0,0,1,0,1,0,0,0,2,0,2
CALAMARCA,estado nutricional,desnutricion leve (l),2009-01-01,0,0,4,5,3,5,0,0,7,10,17
CAMARGO,estado nutricional,desnutricion leve (l),2009-01-01,5,4,9,8,12,11,0,0,26,23,49
CAMATAQUI (C. VILLA ABECIA),estado nutricional,desnutricion leve (l),2009-01-01,1,1,1,2,3,2,0,0,5,5,10
CAMIRI,estado nutricional,desnutricion leve (l),2009-01-01,13,13,16,13,39,38,0,0,68,64,132
