,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,desnutricion moderada (m),2014-01-01,0,2,1,0,1,0,0,0,2,2,4
ALALAY,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,1,1,0,1,0,0,1,2,3
ALTO BENI,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
ANZALDO,estado nutricional,desnutricion moderada (m),2014-01-01,0,1,1,0,0,0,0,0,1,1,2
APOLO,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,0,1,1,0,0,1,1,2
ARBIETO,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,2,0,1,0,0,0,3,3
ASCENCION DE GUARAYOS,estado nutricional,desnutricion moderada (m),2014-01-01,8,15,8,7,12,4,0,0,28,26,54
ATOCHA,estado nutricional,desnutricion moderada (m),2014-01-01,2,1,6,1,2,4,0,0,10,6,16
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion moderada (m),2014-01-01,0,1,0,0,1,0,0,0,1,1,2
BAURES,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,1,0,1,0,0,0,2,2
BOLIVAR,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,1,0,0,0,0,0,1,0,1
BOYUIBE,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
CAIROMA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,0,0,1,0,0,0,1,1
"CAIZA ""D""",estado nutricional,desnutricion moderada (m),2014-01-01,0,0,1,1,0,0,0,0,1,1,2
CAJUATA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,1,0,0,1,0,0,1,1,2
CAPINOTA,estado nutricional,desnutricion moderada (m),2014-01-01,2,0,0,0,1,0,0,0,3,0,3
CAQUIAVIRI,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,0,0,1,0,0,0,1,1
CARACOLLO,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,1,0,0,0,0,0,2,0,2
CARANAVI,estado nutricional,desnutricion moderada (m),2014-01-01,2,0,2,0,3,0,0,0,7,0,7
CHALLAPATA,estado nutricional,desnutricion moderada (m),2014-01-01,2,1,3,1,1,0,0,0,6,2,8
CHAQUI,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
CHARAGUA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,1,2,0,0,0,0,2,2,4
CHAYANTA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,1,0,0,0,0,0,1,1
CHIMORE,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,1,0,0,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,desnutricion moderada (m),2014-01-01,0,0,3,0,4,4,0,0,7,4,11
CHUMA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
CLIZA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,1,0,0,0,2,0,2
COBIJA,estado nutricional,desnutricion moderada (m),2014-01-01,2,0,5,3,0,1,0,0,7,4,11
COCAPATA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,1,0,0,1,1,2
COCHABAMBA,estado nutricional,desnutricion moderada (m),2014-01-01,27,21,16,31,9,4,0,0,52,56,108
COLCAPIRHUA,estado nutricional,desnutricion moderada (m),2014-01-01,0,1,2,2,1,0,0,0,3,3,6
COLOMI,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,1,0,0,0,0,0,1,1
COLQUECHACA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,1,1,0,0,0,0,2,1,3
COLQUENCHA,estado nutricional,desnutricion moderada (m),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
CONCEPCION,estado nutricional,desnutricion moderada (m),2014-01-01,7,8,3,2,1,3,0,0,11,13,24
CORIPATA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,1,0,0,0,0,0,1,1
COTAGAITA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,0,1,0,0,0,1,0,1
COTOCA,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,0,0,2,0,0,0,2,0,2
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,desnutricion moderada (m),2014-01-01,0,1,0,0,0,0,0,0,0,1,1
CUEVO,estado nutricional,desnutricion moderada (m),2014-01-01,0,0,2,0,0,1,0,0,2,1,3
