,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,obesidad (o),2014-01-01,2,4,1,2,2,1,0,0,5,7,12
ACHOCALLA,estado nutricional,obesidad (o),2014-01-01,1,0,0,1,0,0,0,0,1,1,2
AIQUILE,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,0,0,3,0,3,1,4
ALALAY,estado nutricional,obesidad (o),2014-01-01,1,0,0,0,1,0,0,0,2,0,2
ALTO BENI,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ANCORAIMES,estado nutricional,obesidad (o),2014-01-01,2,0,0,2,0,0,3,0,5,2,7
ANTEQUERA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,6,0,6,0,6
ANZALDO,estado nutricional,obesidad (o),2014-01-01,1,0,0,0,0,0,0,0,1,0,1
APOLO,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,4,0,4,0,4
ARAMPAMPA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ARANI,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ARBIETO,estado nutricional,obesidad (o),2014-01-01,0,0,0,2,0,0,1,0,1,2,3
ARQUE,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,1,2,2,0,3,3,6
ASCENCION DE GUARAYOS,estado nutricional,obesidad (o),2014-01-01,7,4,1,0,2,2,47,0,57,6,63
ATOCHA,estado nutricional,obesidad (o),2014-01-01,2,0,0,0,0,0,2,0,4,0,4
AUCAPATA,estado nutricional,obesidad (o),2014-01-01,0,0,1,0,1,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,obesidad (o),2014-01-01,1,1,0,0,0,0,0,0,1,1,2
AZURDUY,estado nutricional,obesidad (o),2014-01-01,3,3,1,1,2,3,0,0,6,7,13
BATALLAS,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,6,0,6,0,6
BELLA FLOR,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,0,0,2,0,2,1,3
BETANZOS,estado nutricional,obesidad (o),2014-01-01,2,0,0,0,0,0,1,0,3,0,3
BOLIVAR,estado nutricional,obesidad (o),2014-01-01,1,1,0,0,0,0,1,0,2,1,3
BOLPEBRA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CABEZAS,estado nutricional,obesidad (o),2014-01-01,1,1,1,0,1,0,11,0,14,1,15
CAIROMA,estado nutricional,obesidad (o),2014-01-01,2,0,0,0,0,1,1,0,3,1,4
CAJUATA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,6,0,6,0,6
CALACOTO,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,0,0,1,0,1,1,2
CALAMARCA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,6,0,6,0,6
CAMARGO,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,2,2,18,0,20,2,22
CAMIRI,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,0,0,10,0,10,1,11
CAPINOTA,estado nutricional,obesidad (o),2014-01-01,1,1,1,0,1,0,8,0,11,1,12
CAQUIAVIRI,estado nutricional,obesidad (o),2014-01-01,1,0,0,0,2,0,1,0,4,0,4
CARACOLLO,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,5,0,5,0,5
CARANAVI,estado nutricional,obesidad (o),2014-01-01,14,8,1,1,8,6,3,0,26,15,41
CARAPARI,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,1,0,2,0,3,0,3
CARMEN RIVERO TORREZ,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,1,0,0,0,1,0,1
CHALLAPATA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,0,0,5,0,5,0,5
CHAQUI,estado nutricional,obesidad (o),2014-01-01,0,0,0,1,0,0,0,0,0,1,1
CHARAGUA,estado nutricional,obesidad (o),2014-01-01,0,0,0,0,3,0,8,0,11,0,11
CHIMORE,estado nutricional,obesidad (o),2014-01-01,1,1,0,1,0,1,3,0,4,3,7
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,obesidad (o),2014-01-01,0,1,0,1,0,0,5,0,5,2,7
CHUMA,estado nutricional,obesidad (o),2014-01-01,0,1,0,0,0,0,3,0,3,1,4
CLIZA,estado nutricional,obesidad (o),2014-01-01,3,1,0,2,3,0,0,0,6,3,9
