,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion leve (l),2014-01-01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ACHACACHI,estado nutricional,desnutricion leve (l),2014-01-01,6.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,2.0,10.0
ACHOCALLA,estado nutricional,desnutricion leve (l),2014-01-01,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AIQUILE,estado nutricional,desnutricion leve (l),2014-01-01,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
ALALAY,estado nutricional,desnutricion leve (l),2014-01-01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
ALTO BENI,estado nutricional,desnutricion leve (l),2014-01-01,3.0,2.0,2.0,4.0,2.0,1.0,0.0,0.0,7.0,7.0,14.0
ANDAMARCA,estado nutricional,desnutricion leve (l),2014-01-01,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0
ANTEQUERA,estado nutricional,desnutricion leve (l),2014-01-01,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
ANZALDO,estado nutricional,desnutricion leve (l),2014-01-01,6.0,5.0,5.0,5.0,6.0,5.0,0.0,0.0,17.0,15.0,32.0
APOLO,estado nutricional,desnutricion leve (l),2014-01-01,0.0,0.0,3.0,2.0,5.0,4.0,0.0,0.0,8.0,6.0,14.0
ARANI,estado nutricional,desnutricion leve (l),2014-01-01,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,6.0,9.0
ARBIETO,estado nutricional,desnutricion leve (l),2014-01-01,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,7.0,3.0,10.0
ARQUE,estado nutricional,desnutricion leve (l),2014-01-01,5.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,14.0,6.0,20.0
ASCENCION DE GUARAYOS,estado nutricional,desnutricion leve (l),2014-01-01,3.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,14.0
ATOCHA,estado nutricional,desnutricion leve (l),2014-01-01,6.0,2.0,11.0,7.0,6.0,11.0,0.0,0.0,23.0,20.0,43.0
AYATA,estado nutricional,desnutricion leve (l),2014-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AYO AYO,estado nutricional,desnutricion leve (l),2014-01-01,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion leve (l),2014-01-01,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0
AZURDUY,estado nutricional,desnutricion leve (l),2014-01-01,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,4.0,6.0
BAURES,estado nutricional,desnutricion leve (l),2014-01-01,1.0,1.0,3.0,1.0,5.0,2.0,0.0,0.0,9.0,4.0,13.0
BELEN DE URMIRI,estado nutricional,desnutricion leve (l),2014-01-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
BETANZOS,estado nutricional,desnutricion leve (l),2014-01-01,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0
BOLIVAR,estado nutricional,desnutricion leve (l),2014-01-01,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,5.0,3.0,8.0
BOYUIBE,estado nutricional,desnutricion leve (l),2014-01-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CAIROMA,estado nutricional,desnutricion leve (l),2014-01-01,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,6.0
CAJUATA,estado nutricional,desnutricion leve (l),2014-01-01,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,5.0
CALAMARCA,estado nutricional,desnutricion leve (l),2014-01-01,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
CAMARGO,estado nutricional,desnutricion leve (l),2014-01-01,1.0,3.0,5.0,3.0,4.0,3.0,0.0,0.0,10.0,9.0,19.0
CAMIRI,estado nutricional,desnutricion leve (l),2014-01-01,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,6.0
