,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,nutricion normal (n),2014-01-01,16,16,11,9,2,4,8,0,37,29,66
ACHOCALLA,estado nutricional,nutricion normal (n),2014-01-01,0,1,1,0,2,0,28,0,31,1,32
AIQUILE,estado nutricional,nutricion normal (n),2014-01-01,37,36,27,26,30,24,30,0,124,86,210
ALALAY,estado nutricional,nutricion normal (n),2014-01-01,5,4,2,1,1,3,4,0,12,8,20
ALTO BENI,estado nutricional,nutricion normal (n),2014-01-01,29,35,43,39,59,56,18,0,149,130,279
ANCORAIMES,estado nutricional,nutricion normal (n),2014-01-01,14,6,4,2,1,1,21,0,40,9,49
ANDAMARCA,estado nutricional,nutricion normal (n),2014-01-01,12,6,3,7,13,21,9,0,37,34,71
ANTEQUERA,estado nutricional,nutricion normal (n),2014-01-01,0,0,0,0,0,0,10,0,10,0,10
ANZALDO,estado nutricional,nutricion normal (n),2014-01-01,23,29,19,21,16,24,0,0,58,74,132
APOLO,estado nutricional,nutricion normal (n),2014-01-01,6,2,9,7,5,9,24,0,44,18,62
ARAMPAMPA,estado nutricional,nutricion normal (n),2014-01-01,0,0,0,0,0,0,13,0,13,0,13
ARANI,estado nutricional,nutricion normal (n),2014-01-01,32,20,22,19,32,10,21,0,107,49,156
ARBIETO,estado nutricional,nutricion normal (n),2014-01-01,164,148,130,131,138,171,83,0,515,450,965
ARQUE,estado nutricional,nutricion normal (n),2014-01-01,99,96,108,105,93,102,47,0,347,303,650
ASCENCION DE GUARAYOS,estado nutricional,nutricion normal (n),2014-01-01,101,92,59,67,63,58,148,0,371,217,588
ATOCHA,estado nutricional,nutricion normal (n),2014-01-01,96,91,75,53,71,83,34,0,276,227,503
AUCAPATA,estado nutricional,nutricion normal (n),2014-01-01,3,5,0,0,3,0,7,0,13,5,18
AYATA,estado nutricional,nutricion normal (n),2014-01-01,0,1,3,2,1,3,9,0,13,6,19
AYO AYO,estado nutricional,nutricion normal (n),2014-01-01,2,4,1,0,1,1,9,0,13,5,18
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2014-01-01,21,21,20,26,15,11,18,0,74,58,132
AZURDUY,estado nutricional,nutricion normal (n),2014-01-01,5,4,5,4,2,2,5,0,17,10,27
BATALLAS,estado nutricional,nutricion normal (n),2014-01-01,13,9,7,11,8,12,8,0,36,32,68
BAURES,estado nutricional,nutricion normal (n),2014-01-01,56,42,27,32,54,39,0,0,137,113,250
BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2014-01-01,1,0,0,1,0,0,1,0,2,1,3
BELEN DE URMIRI,estado nutricional,nutricion normal (n),2014-01-01,8,8,11,16,11,9,4,0,34,33,67
BETANZOS,estado nutricional,nutricion normal (n),2014-01-01,7,2,4,1,6,3,33,0,50,6,56
BOLIVAR,estado nutricional,nutricion normal (n),2014-01-01,5,8,7,5,2,0,4,0,18,13,31
BOLPEBRA,estado nutricional,nutricion normal (n),2014-01-01,0,0,0,0,0,0,3,0,3,0,3
BOYUIBE,estado nutricional,nutricion normal (n),2014-01-01,14,20,13,13,15,18,0,0,42,51,93
BUENA VISTA,estado nutricional,nutricion normal (n),2014-01-01,47,53,36,57,100,73,0,0,183,183,366
CABEZAS,estado nutricional,nutricion normal (n),2014-01-01,86,123,64,65,71,65,31,0,252,253,505
CAIROMA,estado nutricional,nutricion normal (n),2014-01-01,5,9,2,2,0,0,13,0,20,11,31
"CAIZA ""D""",estado nutricional,nutricion normal (n),2014-01-01,2,2,3,2,4,1,6,0,15,5,20
CAJUATA,estado nutricional,nutricion normal (n),2014-01-01,3,4,5,6,1,4,20,0,29,14,43
CALACOTO,estado nutricional,nutricion normal (n),2014-01-01,2,1,1,4,0,1,1,0,4,6,10
CALAMARCA,estado nutricional,nutricion normal (n),2014-01-01,12,10,6,5,2,4,18,0,38,19,57
CAMARGO,estado nutricional,nutricion normal (n),2014-01-01,3,4,6,0,4,4,52,0,65,8,73
CAMATAQUI (C. VILLA ABECIA),estado nutricional,nutricion normal (n),2014-01-01,1,1,0,2,2,2,0,0,3,5,8
CAMIRI,estado nutricional,nutricion normal (n),2014-01-01,42,49,37,24,26,28,47,0,152,101,253
CAPINOTA,estado nutricional,nutricion normal (n),2014-01-01,39,54,20,13,9,8,155,0,223,75,298
CAQUIAVIRI,estado nutricional,nutricion normal (n),2014-01-01,7,4,2,3,0,2,12,0,21,9,30
CARACOLLO,estado nutricional,nutricion normal (n),2014-01-01,8,15,1,2,3,3,38,0,50,20,70
