,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ACHACACHI,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
AIQUILE,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ALALAY,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,0,0,0,0,0
ALTO BENI,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
ANCORAIMES,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,3,0,3,0,3
APOLO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
ARAMPAMPA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
ARQUE,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,4,0,4,0,4
ASCENCION DE GUARAYOS,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
ATOCHA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,2,0,2,0,2
AYO AYO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
BATALLAS,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,4,0,4,0,4
BOLIVAR,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CABEZAS,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,6,0,6,0,6
CAIROMA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
"CAIZA ""D""",estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CAJUATA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
CALACOTO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CAMARGO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,7,0,7,0,7
CAMIRI,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,4,0,4,0,4
CAPINOTA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,6,0,6,0,6
CARACOLLO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
CARANAVI,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CARAPARI,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CARIPUYO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,2,0,2,0,2
CARMEN RIVERO TORREZ,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,5,0,5,0,5
CHALLAPATA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CHIMORE,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,8,0,8,0,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
CHUMA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,4,0,4,0,4
COBIJA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,9,0,9,0,9
COCAPATA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,3,0,3,0,3
COCHABAMBA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,45,0,45,0,45
COLCAPIRHUA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,3,0,3,0,3
COLPA BELGICA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
COLQUENCHA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,2,0,2,0,2
CONCEPCION,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,3,0,3,0,3
COROICO,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,2,0,2,0,2
COTOCA,estado nutricional,embarazada desnutrida,2014-01-01,0,0,0,0,0,0,1,0,1,0,1
