municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,22,0.0,62,0.0,1,0.0,6,0.0,3,0,94,,
ACHACACHI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,33,0.0,64,0.0,9,0.0,14,0.0,7,0,127,,
ACHOCALLA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,9,0.0,22,0.0,2,0.0,1,0.0,0,0,34,,
AIQUILE,otras infecciones,enfermedad  diarreica aguda,2005-01-01,32,0.0,80,0.0,17,0.0,16,0.0,4,0,149,,
ALALAY,otras infecciones,enfermedad  diarreica aguda,2005-01-01,5,0.0,20,0.0,1,0.0,2,0.0,0,0,28,,
ALCALA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,7,0.0,18,0.0,1,0.0,5,0.0,4,0,35,,
ANCORAIMES,otras infecciones,enfermedad  diarreica aguda,2005-01-01,14,0.0,56,0.0,5,0.0,6,0.0,2,0,83,,
ANDAMARCA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,3,0.0,15,0.0,0,0.0,3,0.0,7,0,28,,
ANTEQUERA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,5,0.0,7,0.0,0,0.0,5,0.0,1,0,18,,
ANZALDO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,12,0.0,24,0.0,2,0.0,3,0.0,2,0,43,,
APOLO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,20,0.0,108,0.0,3,0.0,8,0.0,6,0,145,,
ARAMPAMPA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,12,0.0,76,0.0,0,0.0,10,0.0,1,0,99,,
ARANI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,4,0.0,12,0.0,1,0.0,3,0.0,1,0,21,,
ARBIETO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,14,0.0,25,0.0,0,0.0,14,0.0,4,0,57,,
ARQUE,otras infecciones,enfermedad  diarreica aguda,2005-01-01,20,0.0,53,0.0,1,0.0,6,0.0,3,0,83,,
ASCENCION DE GUARAYOS,otras infecciones,enfermedad  diarreica aguda,2005-01-01,47,0.0,75,0.0,7,0.0,33,0.0,4,0,166,,
ATOCHA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,32,0.0,119,0.0,44,0.0,74,0.0,13,0,282,,
AUCAPATA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,8,0.0,24,0.0,1,0.0,6,0.0,3,0,42,,
AYATA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,14,0.0,30,0.0,3,0.0,6,0.0,1,0,54,,
AYO AYO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,4,0.0,16,0.0,1,0.0,2,0.0,0,0,23,,
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,enfermedad  diarreica aguda,2005-01-01,80,0.0,105,0.0,5,0.0,17,0.0,10,0,217,,
AZURDUY,otras infecciones,enfermedad  diarreica aguda,2005-01-01,67,0.0,93,0.0,9,0.0,17,0.0,7,0,193,,
BATALLAS,otras infecciones,enfermedad  diarreica aguda,2005-01-01,11,0.0,19,0.0,2,0.0,11,0.0,5,0,48,,
BAURES,otras infecciones,enfermedad  diarreica aguda,2005-01-01,8,0.0,17,0.0,4,0.0,4,0.0,1,0,34,,
BELEN DE ANDAMARCA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,1,0.0,4,0.0,0,0.0,1,0.0,1,0,7,,
BELEN DE URMIRI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,6,0.0,13,0.0,0,0.0,4,0.0,3,0,26,,
BELLA FLOR,otras infecciones,enfermedad  diarreica aguda,2005-01-01,10,0.0,17,0.0,4,0.0,9,0.0,2,0,42,,
BERMEJO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,57,0.0,94,0.0,27,0.0,40,0.0,28,0,246,,
BETANZOS,otras infecciones,enfermedad  diarreica aguda,2005-01-01,77,0.0,307,0.0,19,0.0,77,0.0,31,0,511,,
BOLIVAR,otras infecciones,enfermedad  diarreica aguda,2005-01-01,10,0.0,42,0.0,0,0.0,3,0.0,2,0,57,,
BOLPEBRA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,0,0.0,19,0.0,5,0.0,2,0.0,1,0,27,,
BOYUIBE,otras infecciones,enfermedad  diarreica aguda,2005-01-01,14,0.0,33,0.0,5,0.0,7,0.0,3,0,62,,
BUENA VISTA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,39,0.0,73,0.0,8,0.0,13,0.0,5,0,138,,
CABEZAS,otras infecciones,enfermedad  diarreica aguda,2005-01-01,41,0.0,112,0.0,14,0.0,33,0.0,7,0,207,,
CAIROMA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,20,0.0,39,0.0,6,0.0,17,0.0,5,0,87,,
"CAIZA ""D""",otras infecciones,enfermedad  diarreica aguda,2005-01-01,22,0.0,46,0.0,9,0.0,35,0.0,13,0,125,,
CAJUATA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,11,0.0,43,0.0,4,0.0,15,0.0,2,0,75,,
CALACOTO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,2,0.0,3,0.0,5,0.0,5,0.0,3,0,18,,
CALAMARCA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,11,0.0,33,0.0,2,0.0,5,0.0,1,0,52,,
CAMARGO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,49,0.0,110,0.0,24,0.0,66,0.0,22,0,271,,
CAMATAQUI (C. VILLA ABECIA),otras infecciones,enfermedad  diarreica aguda,2005-01-01,17,0.0,28,0.0,1,0.0,9,0.0,7,0,62,,
CAMIRI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,115,0.0,183,0.0,40,0.0,66,0.0,50,0,454,,
CAPINOTA,otras infecciones,enfermedad  diarreica aguda,2005-01-01,55,0.0,104,0.0,11,0.0,17,0.0,6,0,193,,
CAQUIAVIRI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,7,0.0,10,0.0,1,0.0,11,0.0,7,0,36,,
CARACOLLO,otras infecciones,enfermedad  diarreica aguda,2005-01-01,40,0.0,60,0.0,5,0.0,14,0.0,10,0,129,,
CARANAVI,otras infecciones,enfermedad  diarreica aguda,2005-01-01,64,0.0,152,0.0,12,0.0,39,0.0,4,0,271,,
