municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
ASCENCION DE GUARAYOS,sospecha diagnostica,rabia canina,2010-01-01,0,0,1,0,0,0,1
EL ALTO,sospecha diagnostica,rabia canina,2010-01-01,1,0,0,0,0,0,1
LA PAZ,sospecha diagnostica,rabia canina,2010-01-01,0,1,1,0,0,0,2
POTOSI,sospecha diagnostica,rabia canina,2010-01-01,0,2,1,0,0,0,3
PUERTO GONZALO MORENO,sospecha diagnostica,rabia canina,2010-01-01,0,0,0,0,0,1,1
SAN LORENZO(TJA),sospecha diagnostica,rabia canina,2010-01-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia canina,2010-01-01,0,0,1,0,3,0,4
TARIJA,sospecha diagnostica,rabia canina,2010-01-01,1,0,0,0,0,0,1
COLCAPIRHUA,sospecha diagnostica,rabia canina,2010-02-01,0,0,0,1,0,0,1
LLALLAGUA,sospecha diagnostica,rabia canina,2010-02-01,0,1,0,0,0,0,1
POTOSI,sospecha diagnostica,rabia canina,2010-02-01,0,4,2,0,0,0,6
QUILLACOLLO,sospecha diagnostica,rabia canina,2010-02-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia canina,2010-02-01,0,0,0,3,3,1,7
VILLA TUNARI,sospecha diagnostica,rabia canina,2010-02-01,0,1,0,0,0,0,1
BOLIVAR,sospecha diagnostica,rabia canina,2010-03-01,0,0,0,0,0,1,1
COLCAPIRHUA,sospecha diagnostica,rabia canina,2010-03-01,0,1,1,3,0,1,6
EL ALTO,sospecha diagnostica,rabia canina,2010-03-01,1,0,0,0,0,0,1
EL TORNO,sospecha diagnostica,rabia canina,2010-03-01,0,1,0,0,0,0,1
POTOSI,sospecha diagnostica,rabia canina,2010-03-01,0,4,0,0,0,0,4
SAN LORENZO(TJA),sospecha diagnostica,rabia canina,2010-03-01,0,1,0,0,0,0,1
SAN MATIAS,sospecha diagnostica,rabia canina,2010-03-01,0,0,0,0,1,0,1
SANTA ANA,sospecha diagnostica,rabia canina,2010-03-01,0,1,0,2,0,0,3
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia canina,2010-03-01,0,0,1,2,0,0,3
SUCRE,sospecha diagnostica,rabia canina,2010-03-01,1,0,0,0,0,0,1
TOCO,sospecha diagnostica,rabia canina,2010-03-01,0,0,0,0,0,1,1
VILLA TUNARI,sospecha diagnostica,rabia canina,2010-03-01,0,0,0,1,2,0,3
COLCAPIRHUA,sospecha diagnostica,rabia canina,2010-04-01,0,0,0,1,0,0,1
EL ALTO,sospecha diagnostica,rabia canina,2010-04-01,1,0,0,0,0,0,1
EL TORNO,sospecha diagnostica,rabia canina,2010-04-01,1,1,0,0,0,0,2
POTOSI,sospecha diagnostica,rabia canina,2010-04-01,0,1,0,0,0,0,1
RAVELO,sospecha diagnostica,rabia canina,2010-04-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia canina,2010-04-01,0,0,0,0,1,1,2
SUCRE,sospecha diagnostica,rabia canina,2010-04-01,2,0,0,0,0,0,2
TARIJA,sospecha diagnostica,rabia canina,2010-04-01,1,0,0,0,0,0,1
TOTORA(CBBA),sospecha diagnostica,rabia canina,2010-04-01,0,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,rabia canina,2010-05-01,1,0,0,0,0,0,1
OCURI,sospecha diagnostica,rabia canina,2010-05-01,0,1,0,0,0,0,1
ORURO,sospecha diagnostica,rabia canina,2010-05-01,0,0,3,1,1,0,5
POTOSI,sospecha diagnostica,rabia canina,2010-05-01,0,2,0,0,0,0,2
ARBIETO,sospecha diagnostica,rabia canina,2010-06-01,1,0,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,rabia canina,2010-06-01,2,0,0,0,0,0,2
EL ALTO,sospecha diagnostica,rabia canina,2010-06-01,1,0,0,0,0,0,1
POTOSI,sospecha diagnostica,rabia canina,2010-06-01,0,2,1,1,0,0,4
SUCRE,sospecha diagnostica,rabia canina,2010-06-01,3,0,0,0,0,0,3
TARIJA,sospecha diagnostica,rabia canina,2010-06-01,1,0,0,0,0,0,1
POTOSI,sospecha diagnostica,rabia canina,2010-07-01,2,0,1,0,0,0,3
SAN MATIAS,sospecha diagnostica,rabia canina,2010-07-01,0,1,0,0,1,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,rabia canina,2010-07-01,0,1,0,1,1,0,3
SUCRE,sospecha diagnostica,rabia canina,2010-07-01,2,0,0,0,0,0,2
TARIJA,sospecha diagnostica,rabia canina,2010-07-01,1,0,0,0,0,0,1
VILLA TUNARI,sospecha diagnostica,rabia canina,2010-07-01,0,0,0,0,1,0,1
CLIZA,sospecha diagnostica,rabia canina,2010-08-01,1,0,0,0,0,0,1
EL ALTO,sospecha diagnostica,rabia canina,2010-08-01,2,0,0,0,0,0,2
ORURO,sospecha diagnostica,rabia canina,2010-08-01,0,0,0,0,0,1,1
POTOSI,sospecha diagnostica,rabia canina,2010-08-01,0,1,0,0,0,0,1
PUERTO VILLARROEL,sospecha diagnostica,rabia canina,2010-08-01,0,1,0,0,0,0,1
SUCRE,sospecha diagnostica,rabia canina,2010-08-01,1,0,0,0,0,0,1
TARIJA,sospecha diagnostica,rabia canina,2010-08-01,1,0,0,0,0,0,1
AYO AYO,sospecha diagnostica,rabia canina,2010-09-01,0,0,0,1,0,0,1
COCHABAMBA,sospecha diagnostica,rabia canina,2010-09-01,3,2,0,0,0,0,5
EL ALTO,sospecha diagnostica,rabia canina,2010-09-01,1,0,0,0,0,0,1
EL TORNO,sospecha diagnostica,rabia canina,2010-09-01,0,1,0,0,0,0,1
