municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
IXIAMAS,eventos - notificacion inmediata parte ii,inundacion,2015-01-01,1.0,35.0,0.0,36.0
ORURO,eventos - notificacion inmediata parte ii,inundacion,2015-01-01,30.0,20.0,0.0,50.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2015-01-01,1.0,3.0,0.0,4.0
COBIJA,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,1.0,1609.0,0.0,1610.0
REYES,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,1.0,236.0,0.0,237.0
RIBERALTA,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,2.0,19.0,0.0,21.0
SAN BORJA,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,6.0,1210.0,0.0,1216.0
SANTA ANA,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,2.0,45.0,0.0,47.0
SANTA ROSA,eventos - notificacion inmediata parte ii,inundacion,2015-02-01,1.0,93.0,0.0,94.0
LORETO,eventos - notificacion inmediata parte ii,inundacion,2015-03-01,2.0,14.0,0.0,16.0
SAN BORJA,eventos - notificacion inmediata parte ii,inundacion,2015-03-01,2.0,756.0,0.0,758.0
SAN JUAN DE YAPACANI,eventos - notificacion inmediata parte ii,inundacion,2015-06-01,1.0,64.0,0.0,65.0
SAN PEDRO,eventos - notificacion inmediata parte ii,inundacion,2015-07-01,3.0,208.0,0.0,211.0
YAPACANI,eventos - notificacion inmediata parte ii,inundacion,2015-07-01,55.0,190.0,0.0,245.0
ICLA,eventos - notificacion inmediata parte ii,inundacion,2015-11-01,5.0,19.0,0.0,24.0
SUCRE,eventos - notificacion inmediata parte ii,inundacion,2015-12-01,1.0,0.0,0.0,1.0
