municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
MAPIRI,eventos - notificacion inmediata parte i,incendio,2015-01-01,1.0,1.0,0.0,2.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2015-02-01,1.0,0.0,0.0,1.0
INGAVI (HUMAITA),eventos - notificacion inmediata parte i,incendio,2015-04-01,1.0,6.0,0.0,7.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2015-08-01,2.0,0.0,0.0,2.0
SAN PABLO DE LIPEZ,eventos - notificacion inmediata parte i,incendio,2015-08-01,1.0,2.0,1.0,4.0
URIONDO (A. CONCEPCION),eventos - notificacion inmediata parte i,incendio,2015-08-01,2.0,0.0,0.0,2.0
REYES,eventos - notificacion inmediata parte i,incendio,2015-09-01,1.0,7.0,0.0,8.0
SAN IGNACIO DE VELASCO,eventos - notificacion inmediata parte i,incendio,2015-09-01,1.0,0.0,0.0,1.0
REYES,eventos - notificacion inmediata parte i,incendio,2015-10-01,2.0,2.0,0.0,4.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,incendio,2015-11-01,1.0,7.0,2.0,10.0
