municipality,group,variable,month,a. Nro. Eventos,b. Nro. Personas afectadas,c. Nro. Personas fallecidas,TOTAL
AZURDUY,eventos - notificacion inmediata parte i,riada,2015-01-01,1.0,32.0,0.0,33.0
CABEZAS,eventos - notificacion inmediata parte i,riada,2015-01-01,1.0,120.0,0.0,121.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2015-01-01,2.0,400.0,0.0,402.0
MOJINETE,eventos - notificacion inmediata parte i,riada,2015-01-01,1.0,0.0,0.0,1.0
BOLPEBRA,eventos - notificacion inmediata parte i,riada,2015-02-01,1.0,8.0,0.0,9.0
GUTIERREZ,eventos - notificacion inmediata parte i,riada,2015-02-01,1.0,3.0,0.0,4.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2015-02-01,1.0,200.0,0.0,201.0
CABEZAS,eventos - notificacion inmediata parte i,riada,2015-03-01,1.0,4.0,0.0,5.0
CHARAGUA,eventos - notificacion inmediata parte i,riada,2015-03-01,1.0,3.0,1.0,5.0
ICLA,eventos - notificacion inmediata parte i,riada,2015-03-01,1.0,40.0,0.0,41.0
BERMEJO,eventos - notificacion inmediata parte i,riada,2015-04-01,1.0,0.0,0.0,1.0
CABEZAS,eventos - notificacion inmediata parte i,riada,2015-04-01,4.0,40.0,0.0,44.0
LAGUNILLAS,eventos - notificacion inmediata parte i,riada,2015-04-01,2.0,700.0,0.0,702.0
VILLA VACA GUZMAN (MUYUPAMPA),eventos - notificacion inmediata parte i,riada,2015-04-01,2.0,122.0,0.0,124.0
PUERTO VILLARROEL,eventos - notificacion inmediata parte i,riada,2015-05-01,2.0,35.0,0.0,37.0
PORONGO,eventos - notificacion inmediata parte i,riada,2015-06-01,3.0,5.0,0.0,8.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2015-11-01,1.0,0.0,0.0,1.0
ICLA,eventos - notificacion inmediata parte i,riada,2015-11-01,3.0,166.0,0.0,169.0
TARVITA,eventos - notificacion inmediata parte i,riada,2015-11-01,4.0,190.0,0.0,194.0
TOMINA,eventos - notificacion inmediata parte i,riada,2015-11-01,2.0,17.0,0.0,19.0
ZUDAÑEZ,eventos - notificacion inmediata parte i,riada,2015-11-01,1.0,6.0,0.0,7.0
EL PUENTE(TJA),eventos - notificacion inmediata parte i,riada,2015-12-01,2.0,400.0,0.0,402.0
ICLA,eventos - notificacion inmediata parte i,riada,2015-12-01,1.0,21.0,0.0,22.0
