,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
APOLO,mortalidad materna,muerte materna notificada,2023-01-01,0,1,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-01-01,1,0,1
MONTERO,mortalidad materna,muerte materna notificada,2023-01-01,1,0,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna notificada,2023-01-01,1,0,1
SAN PEDRO DE BUENA VISTA,mortalidad materna,muerte materna notificada,2023-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-01-01,4,0,4
EL ALTO,mortalidad materna,muerte materna notificada,2023-02-01,0,1,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
MOROCHATA,mortalidad materna,muerte materna notificada,2023-02-01,0,1,1
OCURI,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
POTOSI,mortalidad materna,muerte materna notificada,2023-02-01,0,1,1
RIBERALTA,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna notificada,2023-02-01,0,1,1
SAN JAVIER(STC),mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
SUCRE,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
TARIJA,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
TRINIDAD,mortalidad materna,muerte materna notificada,2023-02-01,1,0,1
VILLA NUEVA (LOMA ALTA),mortalidad materna,muerte materna notificada,2023-02-01,0,1,1
COBIJA,mortalidad materna,muerte materna notificada,2023-03-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-03-01,0,1,1
EL ALTO,mortalidad materna,muerte materna notificada,2023-03-01,2,0,2
MAGDALENA,mortalidad materna,muerte materna notificada,2023-03-01,1,0,1
POTOSI,mortalidad materna,muerte materna notificada,2023-03-01,1,0,1
RAQAYPAMPA(ETA),mortalidad materna,muerte materna notificada,2023-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-03-01,2,0,2
SUCRE,mortalidad materna,muerte materna notificada,2023-03-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-04-01,0,1,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
POTOSI,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
SACABA,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
SUCRE,mortalidad materna,muerte materna notificada,2023-04-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-05-01,0,1,1
CORIPATA,mortalidad materna,muerte materna notificada,2023-05-01,0,1,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-05-01,0,1,1
PORTACHUELO,mortalidad materna,muerte materna notificada,2023-05-01,1,0,1
RIBERALTA,mortalidad materna,muerte materna notificada,2023-05-01,1,0,1
SANTA ANA,mortalidad materna,muerte materna notificada,2023-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-05-01,2,0,2
POROMA,mortalidad materna,muerte materna notificada,2023-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-06-01,2,0,2
SUCRE,mortalidad materna,muerte materna notificada,2023-06-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-07-01,1,0,1
ORURO,mortalidad materna,muerte materna notificada,2023-07-01,1,0,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna notificada,2023-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-07-01,1,0,1
AZURDUY,mortalidad materna,muerte materna notificada,2023-08-01,0,1,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-08-01,2,0,2
COMARAPA,mortalidad materna,muerte materna notificada,2023-08-01,1,0,1
EL ALTO,mortalidad materna,muerte materna notificada,2023-08-01,1,0,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-08-01,2,0,2
POTOSI,mortalidad materna,muerte materna notificada,2023-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-08-01,1,0,1
SORACACHI,mortalidad materna,muerte materna notificada,2023-08-01,0,1,1
TRINIDAD,mortalidad materna,muerte materna notificada,2023-08-01,1,0,1
CHARAGUA,mortalidad materna,muerte materna notificada,2023-09-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-09-01,1,0,1
EL ALTO,mortalidad materna,muerte materna notificada,2023-09-01,1,0,1
MOROCHATA,mortalidad materna,muerte materna notificada,2023-09-01,0,1,1
POTOSI,mortalidad materna,muerte materna notificada,2023-09-01,2,0,2
TAPACARI,mortalidad materna,muerte materna notificada,2023-09-01,0,1,1
EL ALTO,mortalidad materna,muerte materna notificada,2023-10-01,1,0,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-10-01,1,0,1
POTOSI,mortalidad materna,muerte materna notificada,2023-10-01,4,0,4
COLCAPIRHUA,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
LA PAZ,mortalidad materna,muerte materna notificada,2023-11-01,2,0,2
ORURO,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
POTOSI,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
SAN BUENA VENTURA,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
VIACHA,mortalidad materna,muerte materna notificada,2023-11-01,1,0,1
COCHABAMBA,mortalidad materna,muerte materna notificada,2023-12-01,2,0,2
LA PAZ,mortalidad materna,muerte materna notificada,2023-12-01,0,1,1
MAPIRI,mortalidad materna,muerte materna notificada,2023-12-01,0,1,1
POTOSI,mortalidad materna,muerte materna notificada,2023-12-01,1,0,1
PUERTO PEREZ,mortalidad materna,muerte materna notificada,2023-12-01,0,2,2
PUNATA,mortalidad materna,muerte materna notificada,2023-12-01,1,0,1
QUILLACOLLO,mortalidad materna,muerte materna notificada,2023-12-01,1,1,2
RIBERALTA,mortalidad materna,muerte materna notificada,2023-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna notificada,2023-12-01,1,0,1
TARIJA,mortalidad materna,muerte materna notificada,2023-12-01,1,0,1
