municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
CAMIRI,sospecha diagnostica,dengue hemorragico,2013-01-01,0,1,0,0,0,0,1
SAN JUAN DE YAPACANI,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,1,0,1
SAN RAMON BENI,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-01-01,0,2,0,3,3,0,8
SANTA ROSA,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,0,1,1
SHINAOTA,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,1,0,1
TRINIDAD,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,1,4,13,1,19
VILLA TUNARI,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,0,0,0
YAPACANI,sospecha diagnostica,dengue hemorragico,2013-01-01,0,0,0,0,0,1,1
MAGDALENA,sospecha diagnostica,dengue hemorragico,2013-02-01,0,0,0,0,3,0,3
SAN IGNACIO,sospecha diagnostica,dengue hemorragico,2013-02-01,0,0,0,1,0,0,1
SAN JULIAN,sospecha diagnostica,dengue hemorragico,2013-02-01,0,0,0,0,2,0,2
SAN RAMON BENI,sospecha diagnostica,dengue hemorragico,2013-02-01,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-02-01,1,0,0,5,7,0,13
TRINIDAD,sospecha diagnostica,dengue hemorragico,2013-02-01,1,0,1,3,13,0,18
LA PAZ,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,0,0,1,0,1
MAGDALENA,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,0,0,1,0,1
SAN RAMON BENI,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,0,1,1,1,3
SAN RAMON SCZ,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-03-01,1,1,0,3,14,0,19
SANTA ROSA DEL SARA,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,1,0,3,1,5
TARIJA,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,0,2,0,0,2
TRINIDAD,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,0,2,4,0,6
YACUIBA,sospecha diagnostica,dengue hemorragico,2013-03-01,0,0,1,1,0,0,2
CARAPARI,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,1,0,0,1
CUATRO CAÑADAS,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,0,1,0,1
LA PAZ,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,0,4,0,4
LAGUNILLAS,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,1,0,0,1
ROBORE,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,1,0,0,1
SAN JAVIER(STC),sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,2,1,0,3
SAN RAMON BENI,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-04-01,1,0,0,6,7,4,18
SANTA ROSA DEL SARA,sospecha diagnostica,dengue hemorragico,2013-04-01,0,1,4,2,6,0,13
VILLA VACA GUZMAN (MUYUPAMPA),sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,0,1,0,0,1
YACUIBA,sospecha diagnostica,dengue hemorragico,2013-04-01,0,0,1,0,0,0,1
CAMIRI,sospecha diagnostica,dengue hemorragico,2013-05-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-05-01,0,0,1,3,1,0,5
SANTA ROSA DEL SARA,sospecha diagnostica,dengue hemorragico,2013-05-01,0,0,0,1,3,0,4
YACUIBA,sospecha diagnostica,dengue hemorragico,2013-05-01,0,0,0,0,1,0,1
PUERTO SUAREZ,sospecha diagnostica,dengue hemorragico,2013-06-01,0,0,1,1,0,0,2
SAN JULIAN,sospecha diagnostica,dengue hemorragico,2013-06-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-06-01,1,2,0,7,14,7,31
SANTA ROSA DEL SARA,sospecha diagnostica,dengue hemorragico,2013-06-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-07-01,0,0,1,3,7,1,12
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-08-01,0,0,2,2,2,0,6
LA PAZ,sospecha diagnostica,dengue hemorragico,2013-09-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-09-01,0,1,0,1,2,1,5
VILLA TUNARI,sospecha diagnostica,dengue hemorragico,2013-09-01,0,0,0,0,0,0,0
PUERTO SUAREZ,sospecha diagnostica,dengue hemorragico,2013-10-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-10-01,0,0,0,2,1,2,5
VILLA TUNARI,sospecha diagnostica,dengue hemorragico,2013-10-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-11-01,0,0,1,6,3,0,10
ASCENCION DE GUARAYOS,sospecha diagnostica,dengue hemorragico,2013-12-01,1,4,1,2,0,0,8
SANTA ANA,sospecha diagnostica,dengue hemorragico,2013-12-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,dengue hemorragico,2013-12-01,1,3,0,0,3,0,7
