municipality,group,variable,month,Cantidad,TOTAL
ACHACACHI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,7,7
AIQUILE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,10,10
ALALAY,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
ALTO BENI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,3,3
ANCORAIMES,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,6,6
APOLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,9,9
ARANI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,10,10
ARBIETO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,2,2
ARQUE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,87,87
ATOCHA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,12,12
BELEN DE ANDAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
BETANZOS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,8,8
BOLPEBRA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,2,2
BUENA VISTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,7,7
CABEZAS,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,20,20
"CAIZA ""D""",salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,2,2
CAJUATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,14,14
CALACOTO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
CALAMARCA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,2,2
CAMARGO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,3,3
CAMIRI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,33,33
CAPINOTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,13,13
CARACOLLO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,9,9
CARANAVI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,20,20
CARIPUYO,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
CARMEN RIVERO TORREZ,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,15,15
CHALLAPATA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,10,10
CHAQUI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
CHARAGUA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,18,18
CHAYANTA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
CHIMORE,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,7,7
CHUMA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,2,2
CLIZA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,21,21
COBIJA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,42,42
COCHABAMBA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,316,316
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,35,35
COLLANA,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,1,1
COLOMI,salud sexual y reproductiva,embarazo en adolescente (< de 20 anos),2014-01-01,17,17
