,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ANCORAIMES,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,0,0,1,0,0,0,1,1
ANZALDO,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
ARQUE,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
AYATA,estado nutricional,desnutricion grave (g),2010-01-01,1,0,0,0,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,0,1,0,0,0,1,0,1
AZURDUY,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,0,1,0,0,0,1,0,1
BATALLAS,estado nutricional,desnutricion grave (g),2010-01-01,1,0,0,0,0,0,0,0,1,0,1
BERMEJO,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,0,0,0,0,1,0,1
BETANZOS,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
BOLPEBRA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,0,1,0,0,1,1,2
BUENA VISTA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
CABEZAS,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,0,0,1,0,0,0,1,1
CAMIRI,estado nutricional,desnutricion grave (g),2010-01-01,0,1,0,0,0,1,0,0,0,2,2
CAPINOTA,estado nutricional,desnutricion grave (g),2010-01-01,3,0,0,0,1,0,0,0,4,0,4
CARANAVI,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,1,1,0,0,0,2,1,3
CARIPUYO,estado nutricional,desnutricion grave (g),2010-01-01,0,1,0,0,3,0,0,0,3,1,4
CARMEN RIVERO TORREZ,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,0,0,0,0,1,0,1
CHAQUI,estado nutricional,desnutricion grave (g),2010-01-01,0,1,0,0,0,0,0,0,0,1,1
CHIMORE,estado nutricional,desnutricion grave (g),2010-01-01,0,1,1,0,0,0,0,0,1,1,2
CHUMA,estado nutricional,desnutricion grave (g),2010-01-01,0,1,0,0,0,0,0,0,0,1,1
COBIJA,estado nutricional,desnutricion grave (g),2010-01-01,2,1,0,0,0,0,0,0,2,1,3
COCAPATA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,estado nutricional,desnutricion grave (g),2010-01-01,9,3,5,10,0,5,0,0,14,18,32
COLCAPIRHUA,estado nutricional,desnutricion grave (g),2010-01-01,0,1,1,1,0,0,0,0,1,2,3
COLQUECHACA,estado nutricional,desnutricion grave (g),2010-01-01,1,0,1,0,0,0,0,0,2,0,2
COLQUIRI,estado nutricional,desnutricion grave (g),2010-01-01,1,0,0,0,0,0,0,0,1,0,1
CONCEPCION,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,0,0,0,0,1,0,1
COPACABANA,estado nutricional,desnutricion grave (g),2010-01-01,0,2,1,0,0,0,0,0,1,2,3
COTOCA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,1,0,0,0,0,1,1,2
CUEVO,estado nutricional,desnutricion grave (g),2010-01-01,1,1,0,0,0,0,0,0,1,1,2
CULPINA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,estado nutricional,desnutricion grave (g),2010-01-01,5,2,0,0,0,1,0,0,5,3,8
EL VILLAR,estado nutricional,desnutricion grave (g),2010-01-01,1,0,0,0,0,0,0,0,1,0,1
ESCOMA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,0,0,1,0,0,0,1,1
GUANAY,estado nutricional,desnutricion grave (g),2010-01-01,1,1,0,0,1,0,0,0,2,1,3
GUAYARAMERIN,estado nutricional,desnutricion grave (g),2010-01-01,2,1,0,0,1,0,0,0,3,1,4
HUACARETA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
HUANUNI,estado nutricional,desnutricion grave (g),2010-01-01,0,1,0,0,0,0,0,0,0,1,1
INQUISIVI,estado nutricional,desnutricion grave (g),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
LA GUARDIA,estado nutricional,desnutricion grave (g),2010-01-01,0,0,1,0,1,0,0,0,2,0,2
LA PAZ,estado nutricional,desnutricion grave (g),2010-01-01,12,6,5,1,3,1,0,0,20,8,28
