,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,obesidad (o),2010-01-01,1,0,0,0,2,0,0,0,3,0,3
AIQUILE,estado nutricional,obesidad (o),2010-01-01,5,15,2,5,2,13,6,0,15,33,48
ALALAY,estado nutricional,obesidad (o),2010-01-01,0,0,0,1,0,0,0,0,0,1,1
ALCALA,estado nutricional,obesidad (o),2010-01-01,0,1,0,0,0,0,0,0,0,1,1
ALTO BENI,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,3,0,3,0,3
ANCORAIMES,estado nutricional,obesidad (o),2010-01-01,0,0,0,1,0,2,0,0,0,3,3
APOLO,estado nutricional,obesidad (o),2010-01-01,1,2,0,1,1,0,2,0,4,3,7
ARAMPAMPA,estado nutricional,obesidad (o),2010-01-01,2,0,0,0,0,0,0,0,2,0,2
ARBIETO,estado nutricional,obesidad (o),2010-01-01,2,0,2,1,0,0,0,0,4,1,5
ARQUE,estado nutricional,obesidad (o),2010-01-01,2,0,1,4,0,1,0,0,3,5,8
ATOCHA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,2,0,2,0,2
AUCAPATA,estado nutricional,obesidad (o),2010-01-01,3,0,0,0,0,0,0,0,3,0,3
AYO AYO,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,obesidad (o),2010-01-01,1,0,0,0,0,0,0,0,1,0,1
AZURDUY,estado nutricional,obesidad (o),2010-01-01,0,1,1,0,0,0,0,0,1,1,2
BELLA FLOR,estado nutricional,obesidad (o),2010-01-01,0,1,1,0,0,0,0,0,1,1,2
BERMEJO,estado nutricional,obesidad (o),2010-01-01,0,0,1,0,0,0,3,0,4,0,4
BETANZOS,estado nutricional,obesidad (o),2010-01-01,1,1,0,0,0,0,5,0,6,1,7
BOLIVAR,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,1,0,1,0,1
CABEZAS,estado nutricional,obesidad (o),2010-01-01,1,1,0,0,0,0,0,0,1,1,2
CAIROMA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,2,0,2,0,2
CAJUATA,estado nutricional,obesidad (o),2010-01-01,2,0,0,1,0,0,2,0,4,1,5
CALACOTO,estado nutricional,obesidad (o),2010-01-01,0,0,1,0,0,0,0,0,1,0,1
CALAMARCA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,1,0,1,0,1
CAMARGO,estado nutricional,obesidad (o),2010-01-01,0,1,0,0,1,0,0,0,1,1,2
CAMIRI,estado nutricional,obesidad (o),2010-01-01,2,6,2,2,4,1,2,0,10,9,19
CAPINOTA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,1,0,0,0,1,1
CAQUIAVIRI,estado nutricional,obesidad (o),2010-01-01,1,0,0,0,0,0,2,0,3,0,3
CARACOLLO,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,49,0,49,0,49
CARANAVI,estado nutricional,obesidad (o),2010-01-01,8,6,6,3,6,4,0,0,20,13,33
CARAPARI,estado nutricional,obesidad (o),2010-01-01,3,0,2,2,2,1,0,0,7,3,10
CARIPUYO,estado nutricional,obesidad (o),2010-01-01,3,0,0,0,0,0,0,0,3,0,3
CARMEN RIVERO TORREZ,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,1,0,2,0,3,0,3
CHALLAPATA,estado nutricional,obesidad (o),2010-01-01,1,1,0,1,0,0,3,0,4,2,6
CHARAGUA,estado nutricional,obesidad (o),2010-01-01,2,1,0,0,0,1,0,0,2,2,4
CHAYANTA,estado nutricional,obesidad (o),2010-01-01,1,1,0,0,1,0,0,0,2,1,3
CHIMORE,estado nutricional,obesidad (o),2010-01-01,0,0,1,1,0,2,22,0,23,3,26
CHIPAYA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,0,0,3,0,3,0,3
CHUMA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,2,2,2,0,4,2,6
CKOCHAS,estado nutricional,obesidad (o),2010-01-01,1,1,0,0,0,1,0,0,1,2,3
CLIZA,estado nutricional,obesidad (o),2010-01-01,2,4,1,0,3,1,0,0,6,5,11
COBIJA,estado nutricional,obesidad (o),2010-01-01,0,2,0,0,1,0,24,0,25,2,27
COCHABAMBA,estado nutricional,obesidad (o),2010-01-01,8,13,2,9,6,6,105,0,121,28,149
COLCAPIRHUA,estado nutricional,obesidad (o),2010-01-01,0,0,0,0,1,0,0,0,1,0,1
