,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,nutricion normal (n),2010-01-01,36,44,33,42,67,49,0,0,136,135,271
ACHACACHI,estado nutricional,nutricion normal (n),2010-01-01,128,107,64,53,68,61,0,0,260,221,481
ACHOCALLA,estado nutricional,nutricion normal (n),2010-01-01,51,35,29,22,19,23,0,0,99,80,179
AIQUILE,estado nutricional,nutricion normal (n),2010-01-01,175,130,106,93,161,148,161,0,603,371,974
ALALAY,estado nutricional,nutricion normal (n),2010-01-01,11,15,5,7,1,2,0,0,17,24,41
ALCALA,estado nutricional,nutricion normal (n),2010-01-01,23,13,19,17,63,67,0,0,105,97,202
ALTO BENI,estado nutricional,nutricion normal (n),2010-01-01,36,54,45,39,43,22,16,0,140,115,255
ANCORAIMES,estado nutricional,nutricion normal (n),2010-01-01,21,21,6,6,9,5,0,0,36,32,68
ANDAMARCA,estado nutricional,nutricion normal (n),2010-01-01,7,8,7,9,22,18,5,0,41,35,76
ANTEQUERA,estado nutricional,nutricion normal (n),2010-01-01,7,4,2,1,16,4,2,0,27,9,36
ANZALDO,estado nutricional,nutricion normal (n),2010-01-01,74,58,35,38,20,23,0,0,129,119,248
APOLO,estado nutricional,nutricion normal (n),2010-01-01,21,15,7,6,12,11,62,0,102,32,134
ARAMPAMPA,estado nutricional,nutricion normal (n),2010-01-01,19,14,10,14,17,14,0,0,46,42,88
ARANI,estado nutricional,nutricion normal (n),2010-01-01,110,89,75,42,54,56,98,0,337,187,524
ARBIETO,estado nutricional,nutricion normal (n),2010-01-01,75,74,39,53,92,110,13,0,219,237,456
ARQUE,estado nutricional,nutricion normal (n),2010-01-01,41,37,28,36,29,29,41,0,139,102,241
ATOCHA,estado nutricional,nutricion normal (n),2010-01-01,86,87,51,50,48,55,61,0,246,192,438
AUCAPATA,estado nutricional,nutricion normal (n),2010-01-01,6,12,3,5,7,3,11,0,27,20,47
AYATA,estado nutricional,nutricion normal (n),2010-01-01,6,5,0,3,0,0,17,0,23,8,31
AYO AYO,estado nutricional,nutricion normal (n),2010-01-01,10,4,2,3,0,0,2,0,14,7,21
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,nutricion normal (n),2010-01-01,180,178,135,114,94,96,22,0,431,388,819
AZURDUY,estado nutricional,nutricion normal (n),2010-01-01,41,58,51,44,142,123,0,0,234,225,459
BATALLAS,estado nutricional,nutricion normal (n),2010-01-01,13,17,5,6,5,1,24,0,47,24,71
BAURES,estado nutricional,nutricion normal (n),2010-01-01,37,35,14,13,17,22,0,0,68,70,138
BELEN DE ANDAMARCA,estado nutricional,nutricion normal (n),2010-01-01,3,9,6,3,7,7,2,0,18,19,37
BELEN DE URMIRI,estado nutricional,nutricion normal (n),2010-01-01,11,12,7,7,7,6,0,0,25,25,50
BELLA FLOR,estado nutricional,nutricion normal (n),2010-01-01,9,25,15,3,34,37,8,0,66,65,131
BERMEJO,estado nutricional,nutricion normal (n),2010-01-01,165,135,75,62,55,57,39,0,334,254,588
BETANZOS,estado nutricional,nutricion normal (n),2010-01-01,75,84,70,54,97,77,20,0,262,215,477
BOLIVAR,estado nutricional,nutricion normal (n),2010-01-01,22,30,21,21,13,14,10,0,66,65,131
BOLPEBRA,estado nutricional,nutricion normal (n),2010-01-01,3,0,4,3,4,6,6,0,17,9,26
BOYUIBE,estado nutricional,nutricion normal (n),2010-01-01,29,23,22,25,62,61,0,0,113,109,222
BUENA VISTA,estado nutricional,nutricion normal (n),2010-01-01,78,49,56,55,70,73,3,0,207,177,384
CABEZAS,estado nutricional,nutricion normal (n),2010-01-01,90,83,64,71,76,50,2,0,232,204,436
CAIROMA,estado nutricional,nutricion normal (n),2010-01-01,20,16,14,12,13,11,31,0,78,39,117
"CAIZA ""D""",estado nutricional,nutricion normal (n),2010-01-01,10,12,4,2,1,2,0,0,15,16,31
CAJUATA,estado nutricional,nutricion normal (n),2010-01-01,9,9,5,3,1,4,17,0,32,16,48
CALACOTO,estado nutricional,nutricion normal (n),2010-01-01,6,4,7,4,4,1,4,0,21,9,30
CALAMARCA,estado nutricional,nutricion normal (n),2010-01-01,12,12,2,4,7,6,4,0,25,22,47
CAMARGO,estado nutricional,nutricion normal (n),2010-01-01,43,43,37,35,83,94,1,0,164,172,336
CAMATAQUI (C. VILLA ABECIA),estado nutricional,nutricion normal (n),2010-01-01,23,9,17,16,34,37,0,0,74,62,136
CAMIRI,estado nutricional,nutricion normal (n),2010-01-01,81,84,47,54,94,99,21,0,243,237,480
