,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,sobrepeso (s),2010-01-01,2,3,0,1,0,0,0,0,2,4,6
ACHACACHI,estado nutricional,sobrepeso (s),2010-01-01,4,5,4,4,3,2,0,0,11,11,22
ACHOCALLA,estado nutricional,sobrepeso (s),2010-01-01,3,5,0,1,0,0,2,0,5,6,11
AIQUILE,estado nutricional,sobrepeso (s),2010-01-01,16,16,12,16,17,26,53,0,98,58,156
ALALAY,estado nutricional,sobrepeso (s),2010-01-01,1,1,0,0,2,0,0,0,3,1,4
ALCALA,estado nutricional,sobrepeso (s),2010-01-01,2,4,3,5,9,14,0,0,14,23,37
ALTO BENI,estado nutricional,sobrepeso (s),2010-01-01,5,3,2,0,4,5,5,0,16,8,24
ANCORAIMES,estado nutricional,sobrepeso (s),2010-01-01,5,3,3,1,2,7,0,0,10,11,21
ANDAMARCA,estado nutricional,sobrepeso (s),2010-01-01,1,0,0,0,1,1,0,0,2,1,3
ANTEQUERA,estado nutricional,sobrepeso (s),2010-01-01,1,0,0,0,0,2,0,0,1,2,3
ANZALDO,estado nutricional,sobrepeso (s),2010-01-01,1,0,0,0,1,0,0,0,2,0,2
APOLO,estado nutricional,sobrepeso (s),2010-01-01,4,8,2,1,4,4,20,0,30,13,43
ARAMPAMPA,estado nutricional,sobrepeso (s),2010-01-01,0,5,1,1,5,2,0,0,6,8,14
ARANI,estado nutricional,sobrepeso (s),2010-01-01,3,2,0,0,0,1,10,0,13,3,16
ARBIETO,estado nutricional,sobrepeso (s),2010-01-01,1,2,2,1,2,0,0,0,5,3,8
ARQUE,estado nutricional,sobrepeso (s),2010-01-01,9,14,5,6,4,5,9,0,27,25,52
ATOCHA,estado nutricional,sobrepeso (s),2010-01-01,4,0,3,1,1,2,3,0,11,3,14
AUCAPATA,estado nutricional,sobrepeso (s),2010-01-01,1,0,0,0,0,1,0,0,1,1,2
AYATA,estado nutricional,sobrepeso (s),2010-01-01,0,0,0,1,0,0,1,0,1,1,2
AYO AYO,estado nutricional,sobrepeso (s),2010-01-01,2,0,0,0,0,0,4,0,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,sobrepeso (s),2010-01-01,5,8,4,2,1,1,1,0,11,11,22
AZURDUY,estado nutricional,sobrepeso (s),2010-01-01,3,7,3,1,2,4,0,0,8,12,20
BATALLAS,estado nutricional,sobrepeso (s),2010-01-01,1,3,0,1,1,1,7,0,9,5,14
BAURES,estado nutricional,sobrepeso (s),2010-01-01,4,0,1,0,1,0,0,0,6,0,6
BELEN DE ANDAMARCA,estado nutricional,sobrepeso (s),2010-01-01,0,0,0,0,1,0,0,0,1,0,1
BELLA FLOR,estado nutricional,sobrepeso (s),2010-01-01,2,2,5,4,11,7,0,0,18,13,31
BERMEJO,estado nutricional,sobrepeso (s),2010-01-01,33,36,8,8,8,7,16,0,65,51,116
BETANZOS,estado nutricional,sobrepeso (s),2010-01-01,10,6,1,3,8,5,10,0,29,14,43
BOLIVAR,estado nutricional,sobrepeso (s),2010-01-01,1,4,0,1,0,0,0,0,1,5,6
BOLPEBRA,estado nutricional,sobrepeso (s),2010-01-01,2,3,0,2,0,0,0,0,2,5,7
BOYUIBE,estado nutricional,sobrepeso (s),2010-01-01,1,1,0,0,0,1,0,0,1,2,3
BUENA VISTA,estado nutricional,sobrepeso (s),2010-01-01,3,6,1,1,4,2,0,0,8,9,17
CABEZAS,estado nutricional,sobrepeso (s),2010-01-01,6,6,2,1,0,0,0,0,8,7,15
CAIROMA,estado nutricional,sobrepeso (s),2010-01-01,3,2,1,3,2,1,13,0,19,6,25
CAJUATA,estado nutricional,sobrepeso (s),2010-01-01,2,2,1,2,0,0,0,0,3,4,7
CALACOTO,estado nutricional,sobrepeso (s),2010-01-01,2,4,5,5,4,0,0,0,11,9,20
CALAMARCA,estado nutricional,sobrepeso (s),2010-01-01,3,4,1,3,3,1,1,0,8,8,16
CAMARGO,estado nutricional,sobrepeso (s),2010-01-01,11,11,5,7,7,7,1,0,24,25,49
CAMATAQUI (C. VILLA ABECIA),estado nutricional,sobrepeso (s),2010-01-01,4,3,1,3,1,4,0,0,6,10,16
CAMIRI,estado nutricional,sobrepeso (s),2010-01-01,19,15,2,7,14,3,12,0,47,25,72
CAPINOTA,estado nutricional,sobrepeso (s),2010-01-01,3,3,2,2,2,1,0,0,7,6,13
CAQUIAVIRI,estado nutricional,sobrepeso (s),2010-01-01,1,2,0,2,2,0,2,0,5,4,9
