municipality,group,variable,month,Cantidad,TOTAL-M
CHALLAPATA,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
CLIZA,intoxicaciones,otras intoxicaciones,2007-01-01,2,2
COLOMI,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
EL ALTO,intoxicaciones,otras intoxicaciones,2007-01-01,7,7
HUANUNI,intoxicaciones,otras intoxicaciones,2007-01-01,5,5
LA PAZ,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
LURIBAY,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
MECAPACA,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
MOJOCOYA,intoxicaciones,otras intoxicaciones,2007-01-01,1,1
ORURO,intoxicaciones,otras intoxicaciones,2007-01-01,6,6
SACABA,intoxicaciones,otras intoxicaciones,2007-01-01,2,2
TARIJA,intoxicaciones,otras intoxicaciones,2007-01-01,7,7
YACUIBA,intoxicaciones,otras intoxicaciones,2007-01-01,4,4
EL ALTO,intoxicaciones,otras intoxicaciones,2007-02-01,5,5
INCAHUASI,intoxicaciones,otras intoxicaciones,2007-02-01,3,3
LA PAZ,intoxicaciones,otras intoxicaciones,2007-02-01,1,1
ORURO,intoxicaciones,otras intoxicaciones,2007-02-01,11,11
PALOS BLANCOS,intoxicaciones,otras intoxicaciones,2007-02-01,1,1
PUNATA,intoxicaciones,otras intoxicaciones,2007-02-01,1,1
QUILLACOLLO,intoxicaciones,otras intoxicaciones,2007-02-01,1,1
SORATA,intoxicaciones,otras intoxicaciones,2007-02-01,1,1
TARIJA,intoxicaciones,otras intoxicaciones,2007-02-01,4,4
UNCIA,intoxicaciones,otras intoxicaciones,2007-02-01,2,2
ACHACACHI,intoxicaciones,otras intoxicaciones,2007-03-01,10,10
COCHABAMBA,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
EL ALTO,intoxicaciones,otras intoxicaciones,2007-03-01,28,28
LA PAZ,intoxicaciones,otras intoxicaciones,2007-03-01,19,19
MORO MORO,intoxicaciones,otras intoxicaciones,2007-03-01,2,2
ORURO,intoxicaciones,otras intoxicaciones,2007-03-01,10,10
PUNATA,intoxicaciones,otras intoxicaciones,2007-03-01,2,2
QUILLACOLLO,intoxicaciones,otras intoxicaciones,2007-03-01,4,4
SACABA,intoxicaciones,otras intoxicaciones,2007-03-01,4,4
SAN IGNACIO,intoxicaciones,otras intoxicaciones,2007-03-01,2,2
SAN IGNACIO DE VELASCO,intoxicaciones,otras intoxicaciones,2007-03-01,3,3
SUCRE,intoxicaciones,otras intoxicaciones,2007-03-01,3,3
TARIJA,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
UNCIA,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
VILLA TUNARI,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
VILLAZON,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
YACUIBA,intoxicaciones,otras intoxicaciones,2007-03-01,1,1
ACHACACHI,intoxicaciones,otras intoxicaciones,2007-04-01,5,5
AIQUILE,intoxicaciones,otras intoxicaciones,2007-04-01,2,2
CARAPARI,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
CHALLAPATA,intoxicaciones,otras intoxicaciones,2007-04-01,4,4
CLIZA,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
COCHABAMBA,intoxicaciones,otras intoxicaciones,2007-04-01,17,17
COPACABANA,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
EL ALTO,intoxicaciones,otras intoxicaciones,2007-04-01,20,20
FERNANDEZ ALONSO,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
LA GUARDIA,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
LA PAZ,intoxicaciones,otras intoxicaciones,2007-04-01,15,15
MINEROS,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
OMEREQUE,intoxicaciones,otras intoxicaciones,2007-04-01,1,1
