,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,
ACACIO,talla para la edad (t/e),talla baja (tb),2009-01-01,18,21,28,12,40,59,86,92,178
ACHACACHI,talla para la edad (t/e),talla baja (tb),2009-01-01,24,14,23,18,32,37,79,69,148
ACHOCALLA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,3,1,6,1,9,4,13
AIQUILE,talla para la edad (t/e),talla baja (tb),2009-01-01,22,19,31,31,42,50,95,100,195
ALALAY,talla para la edad (t/e),talla baja (tb),2009-01-01,3,4,5,3,13,8,21,15,36
ALCALA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,11,2,28,28,40,32,72
ANCORAIMES,talla para la edad (t/e),talla baja (tb),2009-01-01,12,11,15,10,20,23,47,44,91
ANDAMARCA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,2,6,10,20,18,29,30,59
ANTEQUERA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,0,1,2,0,3,5,5,10
ANZALDO,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,2,2,1,3,3,7,10
APOLO,talla para la edad (t/e),talla baja (tb),2009-01-01,4,1,7,10,15,16,26,27,53
ARAMPAMPA,talla para la edad (t/e),talla baja (tb),2009-01-01,8,6,14,9,11,28,33,43,76
ARANI,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,5,0,7,7,13,8,21
ARBIETO,talla para la edad (t/e),talla baja (tb),2009-01-01,8,7,14,13,28,27,50,47,97
ARQUE,talla para la edad (t/e),talla baja (tb),2009-01-01,21,18,34,25,27,22,82,65,147
ASCENCION DE GUARAYOS,talla para la edad (t/e),talla baja (tb),2009-01-01,3,3,1,3,1,1,5,7,12
ATOCHA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,7,7,4,10,9,19,20,39
AUCAPATA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,4,5,6,10,11,16,27
AYATA,talla para la edad (t/e),talla baja (tb),2009-01-01,10,7,6,12,10,15,26,34,60
AYO AYO,talla para la edad (t/e),talla baja (tb),2009-01-01,6,4,6,4,7,14,19,22,41
AYOPAYA (V. DE INDEPENDENCIA),talla para la edad (t/e),talla baja (tb),2009-01-01,16,8,23,18,16,12,55,38,93
AZURDUY,talla para la edad (t/e),talla baja (tb),2009-01-01,8,7,19,20,58,65,85,92,177
BATALLAS,talla para la edad (t/e),talla baja (tb),2009-01-01,8,8,5,4,9,12,22,24,46
BAURES,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,2,2,1,1,5,3,8
BELEN DE ANDAMARCA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,1,1,1,1,2
BELEN DE URMIRI,talla para la edad (t/e),talla baja (tb),2009-01-01,3,1,0,1,4,3,7,5,12
BELLA FLOR,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,2,1,1,1,3,2,5
BERMEJO,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,2,2,2,4,6,6,12
BETANZOS,talla para la edad (t/e),talla baja (tb),2009-01-01,35,21,78,47,84,58,197,126,323
BOLIVAR,talla para la edad (t/e),talla baja (tb),2009-01-01,12,3,12,7,15,9,39,19,58
BOLPEBRA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,0,0,3,1,3,4
BOYUIBE,talla para la edad (t/e),talla baja (tb),2009-01-01,2,4,4,1,12,6,18,11,29
BUENA VISTA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,1,0,3,2,5,2,7
CABEZAS,talla para la edad (t/e),talla baja (tb),2009-01-01,6,1,3,0,2,0,11,1,12
CAIROMA,talla para la edad (t/e),talla baja (tb),2009-01-01,15,10,11,7,41,32,67,49,116
"CAIZA ""D""",talla para la edad (t/e),talla baja (tb),2009-01-01,2,3,5,4,13,10,20,17,37
CAJUATA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,5,11,10,12,8,24,23,47
CALACOTO,talla para la edad (t/e),talla baja (tb),2009-01-01,3,1,6,1,6,1,15,3,18
CALAMARCA,talla para la edad (t/e),talla baja (tb),2009-01-01,8,9,22,20,40,34,70,63,133
CAMARGO,talla para la edad (t/e),talla baja (tb),2009-01-01,16,13,22,25,61,70,99,108,207
CAMATAQUI (C. VILLA ABECIA),talla para la edad (t/e),talla baja (tb),2009-01-01,4,2,2,4,4,9,10,15,25
CAMIRI,talla para la edad (t/e),talla baja (tb),2009-01-01,12,10,15,8,17,21,44,39,83
CAPINOTA,talla para la edad (t/e),talla baja (tb),2009-01-01,6,2,20,18,19,19,45,39,84
CAQUIAVIRI,talla para la edad (t/e),talla baja (tb),2009-01-01,6,6,6,5,17,22,29,33,62
CARACOLLO,talla para la edad (t/e),talla baja (tb),2009-01-01,11,19,16,21,8,12,35,52,87
CARANAVI,talla para la edad (t/e),talla baja (tb),2009-01-01,15,2,13,14,19,14,47,30,77
CARANGAS,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,1,0,0,0,1,1
CARAPARI,talla para la edad (t/e),talla baja (tb),2009-01-01,5,4,6,11,5,14,16,29,45
CARIPUYO,talla para la edad (t/e),talla baja (tb),2009-01-01,20,18,27,23,65,53,112,94,206
CATACORA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,8,1,3,9,11,11,22
CHALLAPATA,talla para la edad (t/e),talla baja (tb),2009-01-01,21,17,34,35,39,29,94,81,175
CHAQUI,talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,10,8,5,7,18,15,33
CHARAGUA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,0,3,4,6,9,14,13,27
CHARAÑA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,3,0,0,1,0,1,3,4
CHAYANTA,talla para la edad (t/e),talla baja (tb),2009-01-01,16,14,27,32,42,40,85,86,171
CHIMORE,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,11,5,18,22,30,29,59
CHIPAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,1,0,4,7,5,8,13
CHOQUE COTA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,2,1,2,0,4,1,5
CHULUMANI (V. DE LA LIBERTAD),talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,0,1,0,1,1
CHUMA,talla para la edad (t/e),talla baja (tb),2009-01-01,7,9,20,16,28,26,55,51,106
CLIZA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,4,7,7,20,12,31,23,54
COBIJA,talla para la edad (t/e),talla baja (tb),2009-01-01,18,7,21,8,21,18,60,33,93
COIPASA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,0,1,0,1,1
COLCAPIRHUA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,7,13,6,11,9,26,22,48
"COLCHA ""K""",talla para la edad (t/e),talla baja (tb),2009-01-01,3,3,8,6,9,11,20,20,40
COLLANA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,2,0,1,2,4,4,7,11
COLOMI,talla para la edad (t/e),talla baja (tb),2009-01-01,6,5,17,15,16,23,39,43,82
COLQUECHACA,talla para la edad (t/e),talla baja (tb),2009-01-01,51,61,105,103,61,45,217,209,426
COLQUENCHA,talla para la edad (t/e),talla baja (tb),2009-01-01,6,2,4,10,16,13,26,25,51
COLQUIRI,talla para la edad (t/e),talla baja (tb),2009-01-01,19,13,23,22,46,50,88,85,173
COMANCHE,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,2,0,1,2,3,2,5
COMARAPA,talla para la edad (t/e),talla baja (tb),2009-01-01,37,31,22,24,43,32,102,87,189
COMBAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,0,0,1,2,2,2,4
CONCEPCION,talla para la edad (t/e),talla baja (tb),2009-01-01,8,1,6,3,13,2,27,6,33
COPACABANA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,6,2,7,10,13,13,26
CORO CORO,talla para la edad (t/e),talla baja (tb),2009-01-01,4,3,6,6,4,4,14,13,27
CORQUE,talla para la edad (t/e),talla baja (tb),2009-01-01,2,5,5,9,3,16,10,30,40
COTAGAITA,talla para la edad (t/e),talla baja (tb),2009-01-01,12,12,21,18,33,38,66,68,134
COTOCA,talla para la edad (t/e),talla baja (tb),2009-01-01,10,10,17,18,17,16,44,44,88
CUATRO CAÑADAS,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,1,2,1,2,2,4
CUEVO,talla para la edad (t/e),talla baja (tb),2009-01-01,6,5,5,2,24,14,35,21,56
CULPINA,talla para la edad (t/e),talla baja (tb),2009-01-01,26,9,31,26,62,59,119,94,213
CURAHUARA DE CARANGAS,talla para la edad (t/e),talla baja (tb),2009-01-01,6,9,19,4,9,11,34,24,58
CURVA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,3,8,4,13,13,24,20,44
DESAGUADERO,talla para la edad (t/e),talla baja (tb),2009-01-01,4,0,1,1,0,2,5,3,8
EL ALTO,talla para la edad (t/e),talla baja (tb),2009-01-01,398,255,408,270,313,253,1119,778,1897
EL CHORO,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,3,2,1,3,6,5,11
EL PUENTE(STC),talla para la edad (t/e),talla baja (tb),2009-01-01,2,4,6,8,16,12,24,24,48
EL PUENTE(TJA),talla para la edad (t/e),talla baja (tb),2009-01-01,4,9,8,6,19,20,31,35,66
EL TORNO,talla para la edad (t/e),talla baja (tb),2009-01-01,7,2,11,13,20,13,38,28,66
EL VILLAR,talla para la edad (t/e),talla baja (tb),2009-01-01,6,1,7,6,33,31,46,38,84
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2009-01-01,3,8,12,4,7,13,22,25,47
ENTRE RIOS,talla para la edad (t/e),talla baja (tb),2009-01-01,10,7,11,23,27,27,48,57,105
EUCALIPTUS,talla para la edad (t/e),talla baja (tb),2009-01-01,4,4,9,11,13,14,26,29,55
EUREKA (SANTOS MERCADO),talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,4,4,0,5,7,9,16
EXALTACION,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,1,1,1,2,3,3,6
FERNANDEZ ALONSO,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,1,2,11,8,13,12,25
FILADELFIA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,0,0,0,0,0,2,2
GENERAL SAAVEDRA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,2,7,3,10,9,21,14,35
GRAL. J.J. PEREZ (CHARAZANI),talla para la edad (t/e),talla baja (tb),2009-01-01,5,1,15,7,21,16,41,24,65
GUANAY,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,8,2,3,7,11,11,22
GUAQUI,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,5,7,5,2,11,11,22
GUAYARAMERIN,talla para la edad (t/e),talla baja (tb),2009-01-01,5,14,9,11,14,9,28,34,62
GUTIERREZ,talla para la edad (t/e),talla baja (tb),2009-01-01,22,11,30,11,61,51,113,73,186
HUACARETA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,3,12,7,17,26,34,36,70
HUACAYA (VILLA DE HUACAYA),talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,2,1,4,2,6,8
HUACHACALLA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,0,5,5,6,5,11
HUANUNI,talla para la edad (t/e),talla baja (tb),2009-01-01,29,22,22,26,22,17,73,65,138
HUARACAJE,talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,1,1,6,10,10,11,21
HUAYLLAMARCA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,3,2,2,4,5,6,11
ICHOCA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,5,2,0,2,2,7,7,14
ICLA,talla para la edad (t/e),talla baja (tb),2009-01-01,25,19,35,29,118,140,178,188,366
INCAHUASI,talla para la edad (t/e),talla baja (tb),2009-01-01,42,37,67,81,171,185,280,303,583
INGAVI (HUMAITA),talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,1,1,1,1,2,3
INQUISIVI,talla para la edad (t/e),talla baja (tb),2009-01-01,5,7,13,10,9,10,27,27,54
IRUPANA (VILLA DE LANZA),talla para la edad (t/e),talla baja (tb),2009-01-01,7,3,2,4,9,9,18,16,34
IXIAMAS,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,5,1,3,4,8,6,14
JESUS DE MACHACA,talla para la edad (t/e),talla baja (tb),2009-01-01,10,7,11,12,16,31,37,50,87
LA ASUNTA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,5,2,4,1,2,5,11,16
LA GUARDIA,talla para la edad (t/e),talla baja (tb),2009-01-01,16,19,9,26,18,31,43,76,119
LA PAZ,talla para la edad (t/e),talla baja (tb),2009-01-01,241,148,189,139,201,181,631,468,1099
LAGUNILLAS,talla para la edad (t/e),talla baja (tb),2009-01-01,5,3,12,10,25,22,42,35,77
LAJA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,6,8,9,6,8,19,23,42
LAS CARRERAS,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,4,6,9,11,13,18,31
LICOMA PAMPA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,3,1,10,5,13,6,19
LLALLAGUA,talla para la edad (t/e),talla baja (tb),2009-01-01,19,21,20,14,28,19,67,54,121
LLICA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,3,5,1,3,1,12,5,17
LURIBAY,talla para la edad (t/e),talla baja (tb),2009-01-01,5,2,16,6,6,8,27,16,43
MACHACAMARCA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,2,2,0,2,0,6,2,8
MACHARETI,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,7,2,6,5,14,7,21
MAGDALENA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,4,1,2,1,6,7
MAIRANA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,3,0,4,4,1,5,8,13
MALLA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,5,10,3,20,13,34,21,55
MAPIRI,talla para la edad (t/e),talla baja (tb),2009-01-01,11,13,16,22,18,14,45,49,94
