,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,2,0,11,12,1,1,2,1,1,0,3,3,1,3,3,3,13,15,37,38,75
ACHACACHI,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,7,3,32,24,7,12,1,4,0,2,7,12,3,6,3,8,31,23,91,94,185
ACHOCALLA,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,1,4,4,29,15,4,14,6,2,3,0,4,12,2,2,3,6,6,17,63,73,136
AIQUILE,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,7,10,32,38,5,4,0,1,5,5,14,16,8,13,11,18,20,27,103,133,236
ALALAY,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,0,5,6,0,3,0,1,0,0,2,3,0,0,2,0,2,1,12,14,26
ALCALA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,2,1,8,1,1,5,0,2,3,0,4,7,6,1,3,3,5,8,32,28,60
ALTO BENI,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,2,6,4,23,24,10,9,0,1,5,4,10,11,4,7,11,4,12,12,84,78,162
ANCORAIMES,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,2,0,0,6,9,2,4,1,0,2,2,2,2,0,3,1,1,8,12,23,35,58
ANDAMARCA,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,0,3,1,7,7,0,1,1,0,2,1,1,3,2,1,2,2,7,8,26,24,50
ANTEQUERA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,2,1,2,4,3,0,0,1,0,5,3,0,1,0,1,3,5,15,17,32
ANZALDO,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,1,1,2,4,9,0,1,0,3,1,2,5,2,1,0,4,2,9,18,27,40,67
APOLO,otras infecciones,enfermedad diarreica aguda,2024-01-01,4,1,20,12,35,30,9,3,3,7,2,4,5,6,3,10,3,4,7,13,91,90,181
ARAMPAMPA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,4,3,2,4,0,2,0,0,1,1,3,2,0,0,6,3,16,15,31
ARANI,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,2,3,5,18,17,2,3,1,1,0,1,3,6,1,5,1,0,4,18,36,58,94
ARBIETO,otras infecciones,enfermedad diarreica aguda,2024-01-01,6,2,8,11,39,52,3,9,3,5,2,2,9,20,2,8,4,6,11,16,87,131,218
ARQUE,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,0,6,2,21,10,1,1,0,0,1,0,6,12,4,4,3,3,6,13,49,45,94
ASCENCION DE GUARAYOS,otras infecciones,enfermedad diarreica aguda,2024-01-01,8,5,17,9,56,58,12,13,2,4,1,3,4,12,0,1,4,4,5,11,109,120,229
ATOCHA,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,2,3,5,68,42,18,15,9,6,3,6,26,31,12,34,19,15,27,29,186,185,371
AUCAPATA,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,2,1,10,7,2,1,0,0,1,0,4,3,1,1,1,0,2,2,24,16,40
AYATA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,2,0,11,4,0,1,1,0,0,0,3,3,2,0,4,0,5,11,28,19,47
AYO AYO,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,3,9,8,3,4,3,0,3,1,4,6,2,3,1,5,14,12,40,42,82
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,enfermedad diarreica aguda,2024-01-01,6,3,6,5,26,43,6,10,3,1,1,2,10,12,7,6,4,7,22,17,91,106,197
AZURDUY,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,2,4,5,30,24,4,3,0,0,1,0,6,12,1,4,2,2,7,15,58,67,125
BATALLAS,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,0,4,4,11,17,3,2,1,4,0,0,2,6,1,0,2,2,9,6,35,41,76
BAURES,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,2,8,2,3,1,3,0,5,4,8,11,0,1,6,6,7,6,41,33,74
BELEN DE ANDAMARCA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,3,4,1,1,0,0,1,1,1,3,1,0,1,1,3,8,11,18,29
BELEN DE URMIRI,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2,6,3,9
BELLA FLOR,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,4,1,12,15,4,6,6,5,0,1,11,12,5,5,1,4,2,1,45,50,95
BERMEJO,otras infecciones,enfermedad diarreica aguda,2024-01-01,8,5,12,18,60,64,27,29,13,12,7,8,37,60,18,19,25,24,29,54,236,293,529
BETANZOS,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,0,8,9,54,34,12,8,8,5,5,8,24,30,17,21,14,18,51,71,196,204,400
BOLIVAR,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,1,5,5,1,2,1,1,0,0,2,2,2,2,3,1,11,8,25,22,47
BOLPEBRA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,2,1,0,0,2,0,0,0,8,2,2,0,2,1,0,2,16,6,22
BOYUIBE,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,3,2,6,7,3,3,3,2,0,0,5,5,1,3,2,3,3,8,27,34,61
BUENA VISTA,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,0,1,2,16,7,6,7,2,6,1,2,4,6,2,5,1,8,6,6,42,49,91
CABEZAS,otras infecciones,enfermedad diarreica aguda,2024-01-01,7,3,6,12,41,38,20,26,8,16,9,8,46,43,12,16,19,12,28,23,196,197,393
CAIROMA,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,0,5,2,18,16,7,11,2,3,2,2,7,6,3,6,8,5,15,15,70,66,136
"CAIZA ""D""",otras infecciones,enfermedad diarreica aguda,2024-01-01,3,1,7,4,29,31,9,20,11,8,2,4,22,18,5,10,9,8,23,64,120,168,288
CAJUATA,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,1,8,4,28,28,9,10,4,3,6,3,14,13,4,9,3,3,12,16,90,90,180
CALACOTO,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,1,0,2,6,1,2,1,0,2,0,0,2,2,3,5,5,3,14,19,32,36,68
CALAMARCA,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,4,2,25,17,2,4,2,1,1,3,5,11,0,1,1,5,8,9,49,54,103
CAMARGO,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,1,11,4,49,36,21,14,8,14,3,6,12,22,7,18,14,22,20,46,147,183,330
CAMATAQUI (C. VILLA ABECIA),otras infecciones,enfermedad diarreica aguda,2024-01-01,0,3,1,0,16,7,2,2,1,1,1,1,3,6,3,4,6,7,11,11,44,42,86
CAMIRI,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,0,9,3,40,38,7,21,6,5,3,10,13,23,7,13,6,10,9,19,101,142,243
CAPINOTA,otras infecciones,enfermedad diarreica aguda,2024-01-01,4,2,22,22,65,55,13,9,9,10,10,3,11,23,4,10,5,9,23,35,166,178,344
CAQUIAVIRI,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,1,0,13,13,1,2,1,2,0,1,1,8,2,1,1,2,12,11,33,41,74
CARACOLLO,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,2,8,7,42,35,8,7,3,2,2,3,9,13,8,10,7,5,23,25,112,109,221
CARANAVI,otras infecciones,enfermedad diarreica aguda,2024-01-01,11,5,21,17,84,58,13,11,7,9,7,7,18,37,10,11,8,20,40,26,219,201,420
CARANGAS,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,1,1,1,0,4,5,9
CARAPARI,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,1,11,7,25,30,32,18,15,16,5,15,26,41,15,17,16,17,23,22,171,184,355
CARIPUYO,otras infecciones,enfermedad diarreica aguda,2024-01-01,2,0,0,3,8,4,2,1,0,2,1,1,0,1,2,2,1,1,9,6,25,21,46
CARMEN RIVERO TORREZ,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,1,1,0,5,2,2,4,0,4,0,3,6,8,4,6,2,1,5,9,25,38,63
CATACORA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,2,1,1,2,1,1,1,1,1,0,0,2,2,0,0,0,4,5,12,12,24
CHACARILLA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,1,6,1,0,0,0,0,0,0,0,2,0,0,0,1,4,3,10,8,18
CHALLAPATA,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,4,14,14,72,60,17,15,2,4,3,6,17,18,5,9,6,5,33,36,172,171,343
CHAQUI,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,1,4,3,4,1,0,1,0,2,0,0,0,1,1,1,13,11,23,21,44
CHARAGUA,otras infecciones,enfermedad diarreica aguda,2024-01-01,7,11,22,16,103,87,23,31,12,18,12,17,27,57,16,30,12,15,40,38,274,320,594
CHARAÑA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,2,0,3,5,2,0,1,0,1,0,1,1,2,2,2,4,5,5,19,17,36
CHAYANTA,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,0,6,9,26,34,15,12,6,10,0,3,12,22,7,9,4,13,23,36,100,148,248
CHIMORE,otras infecciones,enfermedad diarreica aguda,2024-01-01,7,5,25,11,53,50,13,13,8,11,10,6,13,30,8,6,4,15,17,14,158,161,319
CHIPAYA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,4,12,2,1,1,0,0,0,1,4,1,0,0,1,1,3,10,21,31
CHOQUE COTA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,5,0,4,0,0,1,0,0,0,0,0,0,1,1,3,6,13,8,21
CHUA COCANI,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,5
CHULUMANI (V. DE LA LIBERTAD),otras infecciones,enfermedad diarreica aguda,2024-01-01,2,2,2,5,19,21,5,6,4,2,5,4,12,23,12,6,8,2,8,9,77,80,157
CHUMA,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,0,1,1,14,11,2,4,1,1,2,2,5,7,2,2,2,10,8,18,37,56,93
CHUQUIHUTA AYLLU JUCUMANI,otras infecciones,enfermedad diarreica aguda,2024-01-01,1,1,6,4,13,21,9,7,2,2,1,2,13,12,4,10,5,2,5,5,59,66,125
CKOCHAS,otras infecciones,enfermedad diarreica aguda,2024-01-01,0,3,1,2,22,18,3,9,4,4,1,1,6,10,8,7,6,2,27,34,78,90,168
CLIZA,otras infecciones,enfermedad diarreica aguda,2024-01-01,9,10,13,6,38,36,7,14,5,5,1,3,9,16,6,9,1,6,10,22,99,127,226
COBIJA,otras infecciones,enfermedad diarreica aguda,2024-01-01,4,10,18,20,93,75,33,40,30,14,19,14,39,67,28,28,15,20,31,25,310,313,623
COCAPATA,otras infecciones,enfermedad diarreica aguda,2024-01-01,3,1,11,6,25,19,0,7,0,1,2,1,4,4,1,1,2,2,7,7,55,49,104
COCHABAMBA,otras infecciones,enfermedad diarreica aguda,2024-01-01,75,82,211,176,880,754,368,363,292,261,245,239,455,639,279,382,139,228,323,495,3267,3619,6886
