,group,variable,month,a. Menor de 6 meses,a. Menor de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
AIQUILE,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ALCALA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
ANZALDO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
ARANI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,4
ARBIETO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,2,4
ARQUE,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
ASCENCION DE GUARAYOS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,4,1,5
AZURDUY,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
BERMEJO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,1,1,0,0,1,1,3,1,0,0,0,0,1,3,7,10
BETANZOS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,3
BOYUIBE,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,4,2,6
BUENA VISTA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2
"CAIZA ""D""",otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2
CAJUATA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,4
CAMARGO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAMIRI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CAPINOTA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CARACOLLO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CARANAVI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,1,2,4,6
CARAPARI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,3,2,5
CARMEN RIVERO TORREZ,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHAQUI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
CHARAGUA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,4,1,5
CHAYANTA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHIMORE,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,0,2,0,1,2,1,3,1,0,2,0,0,1,0,7,7,14
CHULUMANI (V. DE LA LIBERTAD),otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CKOCHAS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CLIZA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,3,1,4
COBIJA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COCAPATA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
COCHABAMBA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,3,1,10,8,7,9,5,5,6,2,20,25,3,9,0,8,7,10,61,77,138
COLCAPIRHUA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,5,5
COLPA BELGICA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2
COMARAPA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CONCEPCION,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,3
COPACABANA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2
COROICO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COTAGAITA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3
COTOCA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,3,3,6
CUATRO CAÑADAS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
CUEVO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,4,1,5
CULPINA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
EL ALTO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
EL PUENTE(TJA),otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,4,5
EL TORNO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,2,0,0,0,6,1,7
ENTRE RIOS TRJ,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,1,0,1,0,0,0,0,2,1,0,0,1,6,0,1,2,1,1,0,4,11,10,21
ENTRE RIOS CBBA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,3,4,7
FERNANDEZ ALONSO,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,3
FILADELFIA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,1,0,1,2,0,0,0,1,3,2,0,0,0,0,0,0,5,5,10
GUTIERREZ,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,3
HUACARETA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
ICLA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
INGAVI (HUMAITA),otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,3,4
IXIAMAS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA GUARDIA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,4,0,1,0,0,2,9,11
LA PAZ,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
LAGUNILLAS,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,3,2,5
MACHARETI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,4
MAGDALENA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MAIRANA,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,4,2,6
MAPIRI,otras infecciones,n de personas con envenenamiento por aracnidos,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
