,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
ACHACACHI,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,3,1,2,0,0,0,6,1,7
AIQUILE,estado nutricional,desnutricion moderada (m),2012-01-01,0,1,0,1,0,0,0,0,0,2,2
ANCORAIMES,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,1,0,0,1,0,0,1,1,2
ANDAMARCA,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
APOLO,estado nutricional,desnutricion moderada (m),2012-01-01,2,1,2,0,1,1,0,0,5,2,7
ARAMPAMPA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,2,0,1,0,0,0,3,0,3
ARANI,estado nutricional,desnutricion moderada (m),2012-01-01,0,2,0,0,0,0,0,0,0,2,2
ARBIETO,estado nutricional,desnutricion moderada (m),2012-01-01,1,1,0,1,1,1,0,0,2,3,5
ARQUE,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,4,2,1,0,0,0,5,2,7
ASCENCION DE GUARAYOS,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,0,0,1,1,0,0,1,1,2
ATOCHA,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,1,0,5,3,0,0,7,3,10
AUCAPATA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,0,0,1,0,0,0,1,0,1
AYATA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,2,0,0,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,1,1,0,0,2,1,3
AZURDUY,estado nutricional,desnutricion moderada (m),2012-01-01,0,1,0,1,0,0,0,0,0,2,2
BATALLAS,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
BELEN DE ANDAMARCA,estado nutricional,desnutricion moderada (m),2012-01-01,0,1,0,0,0,0,0,0,0,1,1
BERMEJO,estado nutricional,desnutricion moderada (m),2012-01-01,0,1,0,0,0,0,0,0,0,1,1
BOLIVAR,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,1,0,1,1,0,0,3,1,4
CABEZAS,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
CAIROMA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,0,1,0,0,0,0,0,1,1
CALAMARCA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,1,0,0,0,0,0,1,0,1
CAMARGO,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,1,0,0,0,2,0,2
CAPINOTA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,0,0,1,0,0,0,1,0,1
CAQUIAVIRI,estado nutricional,desnutricion moderada (m),2012-01-01,1,1,1,0,0,0,0,0,2,1,3
CARACOLLO,estado nutricional,desnutricion moderada (m),2012-01-01,0,2,1,0,0,0,0,0,1,2,3
CARANAVI,estado nutricional,desnutricion moderada (m),2012-01-01,2,4,5,3,1,4,0,0,8,11,19
CARIPUYO,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,0,2,0,1,0,0,0,3,3
CHAQUI,estado nutricional,desnutricion moderada (m),2012-01-01,0,1,0,0,0,0,0,0,0,1,1
CHARAGUA,estado nutricional,desnutricion moderada (m),2012-01-01,2,0,0,1,0,0,0,0,2,1,3
CHAYANTA,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,2,0,0,1,0,0,3,1,4
CHIMORE,estado nutricional,desnutricion moderada (m),2012-01-01,1,1,0,0,0,1,0,0,1,2,3
CHUMA,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,1,0,0,0,0,1,1,2
CKOCHAS,estado nutricional,desnutricion moderada (m),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
CLIZA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,1,0,0,1,0,0,1,1,2
COBIJA,estado nutricional,desnutricion moderada (m),2012-01-01,2,2,1,0,0,1,0,0,3,3,6
COCAPATA,estado nutricional,desnutricion moderada (m),2012-01-01,7,2,4,4,3,1,0,0,14,7,21
COCHABAMBA,estado nutricional,desnutricion moderada (m),2012-01-01,9,15,12,23,7,5,0,0,28,43,71
COLCAPIRHUA,estado nutricional,desnutricion moderada (m),2012-01-01,1,2,0,0,1,0,0,0,2,2,4
COLLANA,estado nutricional,desnutricion moderada (m),2012-01-01,0,0,1,1,0,0,0,0,1,1,2
