,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,IMC,IMC,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MUJER EMBARAZADA,____,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,estado nutricional,sobrepeso (s),2012-01-01,9,20,7,5,6,6,4,0,26,31,57
ACHOCALLA,estado nutricional,sobrepeso (s),2012-01-01,0,0,0,0,0,0,1,0,1,0,1
AIQUILE,estado nutricional,sobrepeso (s),2012-01-01,2,1,2,1,2,0,5,0,11,2,13
ALALAY,estado nutricional,sobrepeso (s),2012-01-01,0,1,0,2,3,0,2,0,5,3,8
ALCALA,estado nutricional,sobrepeso (s),2012-01-01,3,7,1,2,8,8,0,0,12,17,29
ALTO BENI,estado nutricional,sobrepeso (s),2012-01-01,10,5,9,6,0,3,5,0,24,14,38
ANCORAIMES,estado nutricional,sobrepeso (s),2012-01-01,6,4,0,6,5,1,1,0,12,11,23
ANDAMARCA,estado nutricional,sobrepeso (s),2012-01-01,0,0,0,0,0,0,1,0,1,0,1
ANTEQUERA,estado nutricional,sobrepeso (s),2012-01-01,4,0,1,0,4,0,2,0,11,0,11
APOLO,estado nutricional,sobrepeso (s),2012-01-01,8,4,4,4,7,4,11,0,30,12,42
ARAMPAMPA,estado nutricional,sobrepeso (s),2012-01-01,2,1,1,0,0,0,1,0,4,1,5
ARANI,estado nutricional,sobrepeso (s),2012-01-01,2,1,0,0,0,0,9,0,11,1,12
ARBIETO,estado nutricional,sobrepeso (s),2012-01-01,2,5,0,0,2,1,2,0,6,6,12
ARQUE,estado nutricional,sobrepeso (s),2012-01-01,9,2,3,2,5,6,5,0,22,10,32
ASCENCION DE GUARAYOS,estado nutricional,sobrepeso (s),2012-01-01,4,9,2,3,4,0,0,0,10,12,22
ATOCHA,estado nutricional,sobrepeso (s),2012-01-01,6,4,6,2,6,1,11,0,29,7,36
AUCAPATA,estado nutricional,sobrepeso (s),2012-01-01,1,1,0,2,0,0,0,0,1,3,4
AYATA,estado nutricional,sobrepeso (s),2012-01-01,5,0,0,2,1,0,1,0,7,2,9
AYO AYO,estado nutricional,sobrepeso (s),2012-01-01,1,4,0,1,0,0,5,0,6,5,11
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,sobrepeso (s),2012-01-01,8,6,1,3,2,2,10,0,21,11,32
AZURDUY,estado nutricional,sobrepeso (s),2012-01-01,4,3,2,3,0,1,0,0,6,7,13
BATALLAS,estado nutricional,sobrepeso (s),2012-01-01,8,10,3,4,1,0,8,0,20,14,34
BAURES,estado nutricional,sobrepeso (s),2012-01-01,3,5,1,3,2,1,0,0,6,9,15
BELEN DE URMIRI,estado nutricional,sobrepeso (s),2012-01-01,1,0,0,0,0,0,0,0,1,0,1
BERMEJO,estado nutricional,sobrepeso (s),2012-01-01,7,4,6,2,2,3,9,0,24,9,33
BETANZOS,estado nutricional,sobrepeso (s),2012-01-01,1,1,0,0,0,1,6,0,7,2,9
BOLIVAR,estado nutricional,sobrepeso (s),2012-01-01,0,0,1,0,2,0,1,0,4,0,4
BOLPEBRA,estado nutricional,sobrepeso (s),2012-01-01,0,1,0,0,0,0,0,0,0,1,1
BUENA VISTA,estado nutricional,sobrepeso (s),2012-01-01,5,0,2,0,0,1,0,0,7,1,8
CABEZAS,estado nutricional,sobrepeso (s),2012-01-01,9,4,3,1,0,0,0,0,12,5,17
CAIROMA,estado nutricional,sobrepeso (s),2012-01-01,4,5,2,0,1,1,6,0,13,6,19
"CAIZA ""D""",estado nutricional,sobrepeso (s),2012-01-01,0,1,0,0,0,0,0,0,0,1,1
CAJUATA,estado nutricional,sobrepeso (s),2012-01-01,5,2,1,0,0,0,0,0,6,2,8
CALACOTO,estado nutricional,sobrepeso (s),2012-01-01,2,2,0,1,1,1,2,0,5,4,9
CALAMARCA,estado nutricional,sobrepeso (s),2012-01-01,1,1,0,0,1,0,3,0,5,1,6
CAMARGO,estado nutricional,sobrepeso (s),2012-01-01,4,2,0,1,2,2,20,0,26,5,31
CAMATAQUI (C. VILLA ABECIA),estado nutricional,sobrepeso (s),2012-01-01,0,6,2,2,0,2,5,0,7,10,17
CAMIRI,estado nutricional,sobrepeso (s),2012-01-01,1,2,4,1,7,6,16,0,28,9,37
CAPINOTA,estado nutricional,sobrepeso (s),2012-01-01,1,3,2,1,3,3,15,0,21,7,28
CAQUIAVIRI,estado nutricional,sobrepeso (s),2012-01-01,0,4,0,1,1,3,1,0,2,8,10
CARACOLLO,estado nutricional,sobrepeso (s),2012-01-01,10,6,3,5,7,3,3,0,23,14,37
CARANAVI,estado nutricional,sobrepeso (s),2012-01-01,46,37,30,28,23,37,15,0,114,102,216
