,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
BERMEJO,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2
CAMARGO,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CAMIRI,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
COBIJA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,4,2,2,2,0,0,1,0,0,0,7,4,11
COCHABAMBA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,7,2,7,6,4,3,1,4,1,0,20,15,35
COLCAPIRHUA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,8,6,22,9,11,6,3,3,1,1,45,25,70
GUAYARAMERIN,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,1,0,1,0,1,1,2,1,0,0,5,2,7
HUARACAJE,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA ASUNTA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,inmunoprevenibles,hepatitis viral,2011-01-01,0,2,9,4,19,11,17,15,2,3,0,0,47,35,82
MONTEAGUDO,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
MONTERO,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,6,2,0,0,1,0,0,0,0,0,7,2,9
OKINAWA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,inmunoprevenibles,hepatitis viral,2011-01-01,0,3,7,3,5,1,5,1,0,0,0,0,17,8,25
PADCAYA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PADILLA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,inmunoprevenibles,hepatitis viral,2011-01-01,1,0,2,1,0,0,1,0,0,0,0,0,4,1,5
PUERTO SUAREZ,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,2,0,0,3,0,0,0,1,0,0,2,4,6
PUNATA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
REYES,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
RIBERALTA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SACABA,inmunoprevenibles,hepatitis viral,2011-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
