municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
ASCENCION DE GUARAYOS,sospecha diagnostica,dengue clasico,2012-01-01,2,8,4,8,13,0,35
BAURES,sospecha diagnostica,dengue clasico,2012-01-01,0,0,2,2,3,0,7
BERMEJO,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,9,0,10
BOYUIBE,sospecha diagnostica,dengue clasico,2012-01-01,1,1,0,3,4,0,9
BUENA VISTA,sospecha diagnostica,dengue clasico,2012-01-01,0,3,6,16,22,4,51
CABEZAS,sospecha diagnostica,dengue clasico,2012-01-01,0,0,1,0,3,0,4
CAMIRI,sospecha diagnostica,dengue clasico,2012-01-01,0,1,0,5,8,0,14
CARANAVI,sospecha diagnostica,dengue clasico,2012-01-01,0,2,0,5,6,1,14
CARAPARI,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,0,0,1
COBIJA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,2,5,9,3,19
COCHABAMBA,sospecha diagnostica,dengue clasico,2012-01-01,2,3,7,61,240,10,323
COLOMI,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,2,3,0,5
COLPA BELGICA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,0,0,1
COMARAPA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,0,1,0,1
CONCEPCION,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,0,0,1
COTOCA,sospecha diagnostica,dengue clasico,2012-01-01,4,16,9,17,38,6,90
CUATRO CAÑADAS,sospecha diagnostica,dengue clasico,2012-01-01,0,2,2,8,7,3,22
EL ALTO,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,0,2,0,2
EL PUENTE(STC),sospecha diagnostica,dengue clasico,2012-01-01,0,2,1,2,13,0,18
EL TORNO,sospecha diagnostica,dengue clasico,2012-01-01,1,4,4,16,19,2,46
ENTRE RIOS CBBA,sospecha diagnostica,dengue clasico,2012-01-01,0,1,1,5,8,0,15
FERNANDEZ ALONSO,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,0,1,1,2
GENERAL SAAVEDRA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,1,0,2,0,3
GUANAY,sospecha diagnostica,dengue clasico,2012-01-01,2,5,12,21,41,3,84
GUAYARAMERIN,sospecha diagnostica,dengue clasico,2012-01-01,0,3,5,16,28,0,52
IXIAMAS,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,10,3,14
LA ASUNTA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,1,2,0,3
LA GUARDIA,sospecha diagnostica,dengue clasico,2012-01-01,2,8,1,6,5,0,22
LA PAZ,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,0,2,0,2
MAGDALENA,sospecha diagnostica,dengue clasico,2012-01-01,4,1,2,7,9,0,23
MAIRANA,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,3,4,0,7
MAPIRI,sospecha diagnostica,dengue clasico,2012-01-01,0,1,0,4,6,0,11
MINEROS,sospecha diagnostica,dengue clasico,2012-01-01,0,0,0,0,1,0,1
MONTEAGUDO,sospecha diagnostica,dengue clasico,2012-01-01,0,1,0,1,4,2,8
