municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
COBIJA,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,1,0,0,1
LA PAZ,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,0,0,1,1
SAN JULIAN,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,0,0,0,0
TRINIDAD,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,1,5,0,6
YACUIBA,sospecha diagnostica,leptospirosis,2012-01-01,0,0,0,0,0,1,1
CAMIRI,sospecha diagnostica,leptospirosis,2012-02-01,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,leptospirosis,2012-02-01,0,0,1,0,1,0,2
MONTEAGUDO,sospecha diagnostica,leptospirosis,2012-02-01,0,0,0,0,2,0,2
TRINIDAD,sospecha diagnostica,leptospirosis,2012-02-01,0,0,0,2,2,0,4
YACUIBA,sospecha diagnostica,leptospirosis,2012-02-01,0,0,0,0,1,0,1
YAPACANI,sospecha diagnostica,leptospirosis,2012-03-01,0,0,0,1,0,0,1
SUCRE,sospecha diagnostica,leptospirosis,2012-04-01,0,0,0,0,1,0,1
TRINIDAD,sospecha diagnostica,leptospirosis,2012-04-01,0,0,0,0,1,2,3
YAPACANI,sospecha diagnostica,leptospirosis,2012-04-01,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,leptospirosis,2012-05-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-05-01,0,0,0,1,0,0,1
TRINIDAD,sospecha diagnostica,leptospirosis,2012-06-01,0,1,0,0,2,0,3
TRINIDAD,sospecha diagnostica,leptospirosis,2012-07-01,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-08-01,0,0,0,0,2,0,2
CARAPARI,sospecha diagnostica,leptospirosis,2012-09-01,1,1,0,1,0,0,3
MACHARETI,sospecha diagnostica,leptospirosis,2012-09-01,0,0,1,0,3,0,4
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-09-01,0,0,0,0,2,0,2
CARAPARI,sospecha diagnostica,leptospirosis,2012-10-01,0,0,2,2,3,1,8
SAN RAMON BENI,sospecha diagnostica,leptospirosis,2012-10-01,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-10-01,0,0,0,0,1,0,1
TRINIDAD,sospecha diagnostica,leptospirosis,2012-10-01,1,4,0,0,2,0,7
CARAPARI,sospecha diagnostica,leptospirosis,2012-11-01,0,1,1,3,5,0,10
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-11-01,0,0,0,0,2,0,2
TARIJA,sospecha diagnostica,leptospirosis,2012-11-01,0,0,0,1,0,0,1
TRINIDAD,sospecha diagnostica,leptospirosis,2012-11-01,1,0,0,2,0,1,4
VILLA VACA GUZMAN (MUYUPAMPA),sospecha diagnostica,leptospirosis,2012-11-01,0,1,0,5,3,4,13
CARAPARI,sospecha diagnostica,leptospirosis,2012-12-01,0,1,1,1,3,0,6
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,leptospirosis,2012-12-01,0,0,0,0,2,0,2
TRINIDAD,sospecha diagnostica,leptospirosis,2012-12-01,0,1,0,0,0,0,1
