,group,variable,month,< 7 dias,< 7 dias,7 a 28 dias,7 a 28 dias,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-01-01,109.0,122.0,1.0,2.0,110.0,124.0,234.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-02-01,103.0,111.0,1.0,1.0,104.0,112.0,216.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-03-01,107.0,118.0,2.0,2.0,109.0,120.0,229.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-04-01,128.0,91.0,0.0,0.0,128.0,91.0,219.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-05-01,95.0,98.0,3.0,0.0,98.0,98.0,196.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-06-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-07-01,1.0,4.0,1.0,0.0,2.0,4.0,6.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-09-01,2.0,1.0,0.0,1.0,2.0,2.0,4.0
MACHARETI,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-10-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
SANTA CRUZ DE LA SIERRA,sospecha de enfermedades del metabolismo,fibrosis quistica,2024-10-01,0.0,1.0,1.0,2.0,1.0,3.0,4.0
