,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,enfermedad diarreica aguda,2008-01-01,8,4,25,26,1,0,0,0,3,0,0,0,37,30,67
ACHACACHI,otras infecciones,enfermedad diarreica aguda,2008-01-01,11,12,23,18,4,3,2,1,4,9,12,6,56,49,105
ACHOCALLA,otras infecciones,enfermedad diarreica aguda,2008-01-01,3,5,11,8,0,1,0,1,0,2,1,2,15,19,34
AIQUILE,otras infecciones,enfermedad diarreica aguda,2008-01-01,24,28,69,51,3,1,1,1,6,10,6,6,109,97,206
ALALAY,otras infecciones,enfermedad diarreica aguda,2008-01-01,9,5,16,11,1,0,0,1,1,1,0,1,27,19,46
ALCALA,otras infecciones,enfermedad diarreica aguda,2008-01-01,5,4,12,21,3,2,3,3,2,7,0,5,25,42,67
ANCORAIMES,otras infecciones,enfermedad diarreica aguda,2008-01-01,6,2,23,4,0,0,0,0,1,1,1,1,31,8,39
ANDAMARCA,otras infecciones,enfermedad diarreica aguda,2008-01-01,10,4,13,15,1,1,2,1,8,8,1,0,35,29,64
ANTEQUERA,otras infecciones,enfermedad diarreica aguda,2008-01-01,3,2,7,10,3,6,0,2,2,2,2,2,17,24,41
ANZALDO,otras infecciones,enfermedad diarreica aguda,2008-01-01,5,4,11,12,0,1,0,1,4,1,1,0,21,19,40
APOLO,otras infecciones,enfermedad diarreica aguda,2008-01-01,29,33,42,38,28,21,19,13,25,15,6,5,149,125,274
ARAMPAMPA,otras infecciones,enfermedad diarreica aguda,2008-01-01,6,5,18,18,0,0,2,0,1,2,0,1,27,26,53
ARANI,otras infecciones,enfermedad diarreica aguda,2008-01-01,5,7,9,9,4,0,1,0,0,3,1,1,20,20,40
ARBIETO,otras infecciones,enfermedad diarreica aguda,2008-01-01,3,5,17,14,1,1,0,3,2,8,2,3,25,34,59
ARQUE,otras infecciones,enfermedad diarreica aguda,2008-01-01,11,12,36,23,0,0,0,0,16,5,2,2,65,42,107
ASCENCION DE GUARAYOS,otras infecciones,enfermedad diarreica aguda,2008-01-01,54,28,64,78,2,3,0,0,24,12,4,2,148,123,271
ATOCHA,otras infecciones,enfermedad diarreica aguda,2008-01-01,9,6,62,52,14,25,10,23,51,56,5,6,151,168,319
AUCAPATA,otras infecciones,enfermedad diarreica aguda,2008-01-01,3,3,9,10,2,1,3,0,5,4,2,0,24,18,42
AYATA,otras infecciones,enfermedad diarreica aguda,2008-01-01,17,13,33,24,1,2,0,0,3,3,1,2,55,44,99
AYO AYO,otras infecciones,enfermedad diarreica aguda,2008-01-01,5,4,10,4,4,0,0,0,1,2,1,2,21,12,33
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,enfermedad diarreica aguda,2008-01-01,27,16,55,53,1,0,2,2,11,8,7,0,103,79,182
AZURDUY,otras infecciones,enfermedad diarreica aguda,2008-01-01,31,26,98,81,4,1,6,3,18,21,1,4,158,136,294
