municipality,group,variable,month,Cantidad,TOTAL-M
ACACIO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
ACHACACHI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,3,3
AIQUILE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,11,11
ALALAY,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,5,5
APOLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,9,9
ARQUE,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
ASCENCION DE GUARAYOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,35,35
ATOCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,16,16
BATALLAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,23,23
BERMEJO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,56,56
BETANZOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,18,18
BUENA VISTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,4,4
CABEZAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
CAIROMA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
CAJUATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
CALAMARCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
CAMARGO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,7,7
CAMIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,23,23
CAPINOTA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,12,12
CARACOLLO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,11,11
CARANAVI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,27,27
CARMEN RIVERO TORREZ,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
CHALLAPATA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,37,37
CHAQUI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,3,3
CHARAGUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,11,11
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
CLIZA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,13,13
COBIJA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,11,11
COCHABAMBA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,347,347
COLCAPIRHUA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,9,9
COLLANA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,5,5
COLOMI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,61,61
COLPA BELGICA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,8,8
COLQUECHACA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,6,6
COLQUENCHA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
COLQUIRI,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
COMARAPA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
CONCEPCION,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,1,1
COPACABANA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,5,5
COTAGAITA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,2,2
COTOCA,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,27,27
CURAHUARA DE CARANGAS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,3,3
EL ALTO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,573,573
EL PUENTE(TJA),salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,3,3
EL TORNO,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,25,25
ENTRE RIOS,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),2006-01-01,7,7
