municipality,group,variable,month,Cantidad,TOTAL-M
ACHACACHI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
ATOCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
CABEZAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,2,2
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,3,3
COTOCA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
CURAHUARA DE CARANGAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,20,20
LA PAZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,2,2
LAGUNILLAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,5,5
MINEROS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
MONTERO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,2,2
ORURO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,14,14
POTOSI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,10,10
PUERTO SUAREZ,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,2,2
RIBERALTA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,5,5
SACABA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,10,10
SAN CARLOS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,4,4
SAN MATIAS,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,3,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,10,10
SIPE SIPE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,3,3
SUCRE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,6,6
TARIJA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,4,4
TOMINA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,3,3
TUPIZA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
URUBICHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,2,2
VILLAZON,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,1,1
WARNES,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-01-01,4,4
ACHACACHI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,1,1
AIQUILE,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,3,3
APOLO,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,8,8
ATOCHA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,3,3
CARANAVI,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,3,3
CHALLAPATA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,3,3
CHARAGUA,salud sexual y reproductiva,preeclampsia severa/eclampsia,2006-02-01,2,2
