municipality,group,variable,month,Cantidad,TOTAL-M
APOLO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
ATOCHA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
BATALLAS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
BETANZOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
"CAIZA ""D""",salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
CAMARGO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
CARANAVI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
CHALLAPATA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,9,9
CHAYANTA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
COBIJA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,3,3
COCHABAMBA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,7,7
COLOMI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
COPACABANA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,5,5
CULPINA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
EL ALTO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,7,7
EL PUENTE(TJA),salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
ENTRE RIOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
HUANUNI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,7,7
LLALLAGUA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,4,4
MINEROS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
MONTEAGUDO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,4,4
MONTERO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,8,8
MOROCHATA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
ORURO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,7,7
PUERTO SUAREZ,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,3,3
SACABAMBA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
SAN CARLOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
SAN IGNACIO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
SAN JULIAN,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
SAN MATIAS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,6,6
SIPE SIPE,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
SUCRE,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,15,15
TAPACARI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
TARIJA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,4,4
UNCIA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
VALLEGRANDE,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
VILLA TUNARI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
VILLAZON,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
WARNES,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
YUNCHARA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,2,2
ZUDAÑEZ,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-01-01,1,1
ACHACACHI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
ANCORAIMES,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
ANZALDO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
APOLO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
BETANZOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
BUENA VISTA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
CALAMARCA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
CAMARGO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
CAMIRI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
CARANAVI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
CHALLAPATA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
COBIJA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,3,3
COCHABAMBA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,10,10
COPACABANA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
CORQUE,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
COTAGAITA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
EL ALTO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
GENERAL SAAVEDRA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
GUAYARAMERIN,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
HUANUNI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,3,3
ICLA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
LA PAZ,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
LLALLAGUA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,3,3
MINEROS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,3,3
MONTEAGUDO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
MOROCHATA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,3,3
ORURO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,9,9
PADCAYA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
POTOSI,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
PUERTO ACOSTA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
PUERTO SUAREZ,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
QUILLACOLLO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
SACABA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,7,7
SAIPINA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
SAN CARLOS,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,4,4
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,4,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,9,9
SUCRE,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,12,12
TARIJA,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,6,6
TORO TORO,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,1,1
TRINIDAD,salud sexual y reproductiva,hemorragia del parto o puerperio,2006-02-01,2,2
