,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,1,0,1
CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,2,0,2
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,1,0,1
PUNATA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,1,0,1
QUILLACOLLO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,0,1,1
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,8,0,8
SAN JOSE DE CHIQUITOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,5,0,5
SAN LORENZO(TJA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,9,1,10
SOPACHUY,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,0,1,1
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,1,0,1
YACUIBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-01-01,0,1,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,1,0,1
BERMEJO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,1,0,1
CARANAVI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,39,0,39
EL TORNO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,4,0,4
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,3,0,3
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,22,0,22
SAN LORENZO(TJA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,3,0,3
SAN PEDRO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,5,0,5
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,4,2,6
TARIJA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,12,0,12
VILLA TUNARI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,10,0,10
VILLAZON,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-02-01,1,0,1
CARANAVI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,2,0,2
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,2,0,2
CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,1,0,1
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,10,0,10
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,1,1,2
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,31,0,31
SAN CARLOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,21,0,21
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,2,3,5
TOLATA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,1,0,1
VACAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-03-01,0,1,1
CAIROMA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,0,1,1
CAMARGO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,8,2,10
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
EL TORNO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
IRUPANA (VILLA DE LANZA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
PUCARANI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
QUILLACOLLO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,60,0,60
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,115,0,115
ROBORE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
SAN LUCAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,1,0,1
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-04-01,3,0,3
ASCENCION DE GUARAYOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,8,0,8
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
IRUPANA (VILLA DE LANZA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,5,0,5
PUERTO SUAREZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,42,0,42
SAN CARLOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
SAN JOSE DE CHIQUITOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,3,0,3
SAN MIGUEL DE VELASCO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,3,0,3
SHINAOTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,1,0,1
VILA VILA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-05-01,2,0,2
CKOCHAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,2,0,2
CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,2,0,2
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,2,0,2
MINEROS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,0,1,1
ORURO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,0,2,2
PUERTO GONZALO MORENO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,0,1,1
PUNATA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,20,0,20
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
SAN LUCAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,0,1,1
SAN PEDRO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,1,2
TARIJA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,14,0,14
TARVITA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
TRINIDAD,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
VILLAZON,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-06-01,1,0,1
BERMEJO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
CAMARGO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,3,21,24
CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
LA GUARDIA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,2,3
MONTERO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
PUERTO SUAREZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,23,0,23
SAN ANDRES DE MACHACA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
SOPACHUY,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,0,1,1
SUCRE,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
TARIJA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
TIPUANI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,1,2
VILLA SERRANO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-07-01,1,0,1
CAMARGO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,0,2,2
CARANAVI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,5,0,5
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,5,0,5
COLCAPIRHUA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
CONCEPCION,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,5,1,6
GUAYARAMERIN,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
LA GUARDIA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,1,2
LA PAZ,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,5,0,5
MONTERO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,2,3
POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
RIBERALTA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,21,12,33
SAN LORENZO(TJA),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
SAN LUCAS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,0,1,1
VILA VILA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-08-01,1,1,2
BETANZOS,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,1,0,1
CAMARGO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,0,1,1
COCHABAMBA,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,3,0,3
EL ALTO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,6,0,6
EL PUENTE(STC),salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,1,0,1
MONTERO,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,1,0,1
POTOSI,salud sexual y reproductiva,gestantes y puerperas con sepsis,2016-09-01,1,0,1
