,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,
AUCAPATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
BUENA VISTA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,5,6
CAMIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,10,11,21
CAQUIAVIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
CHARAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,3,5
COCHABAMBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,16,9,25
COLCAPIRHUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,13,14,27
CONCEPCION,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,1,2
EL ALTO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,4,2,6
EL TORNO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,5,6
HUANUNI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
LA GUARDIA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,3,4,7
LA PAZ,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,17,28,45
LAGUNILLAS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
LLALLAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,3,6,9
LURIBAY,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
MINEROS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,6,8,14
MONTERO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,5,11,16
ORURO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,2,4
PAILON,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,2,2
POTOSI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,6,16,22
PUERTO SUAREZ,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
PUNATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,1,3
ROBORE,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
SACABA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,6,6,12
SAMAIPATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,4,1,5
SAN IGNACIO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,2,4
SAN IGNACIO DE VELASCO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,5,7
SAN JOSE DE CHIQUITOS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
SAN JULIAN,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,6,0,6
SAN MATIAS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
SAN PEDRO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
SANTA ANA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,112,178,290
SANTA ROSA DEL SARA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,10,1,11
SUCRE,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,51,54,105
TARIJA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,14,12,26
TIAWANACU,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
TRINIDAD,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,31,16,47
VILLA SERRANO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,2,2
VILLA TUNARI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,1,0,1
VILLAZON,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
WARNES,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,3,3
YACUIBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,2,4,6
YOTALA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-01-01,0,1,1
BERMEJO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
CAJUATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,0,1
CAMIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,21,20,41
CHARAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,2,2
COBIJA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,2,2
COCHABAMBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,15,17
COLCAPIRHUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,5,6,11
COLPA BELGICA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,3,4
CONCEPCION,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,1,2
EL ALTO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,8,4,12
EL TORNO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,5,7,12
IRUPANA (VILLA DE LANZA),intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
LA GUARDIA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,3,3,6
LA PAZ,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,13,29,42
LLALLAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,14,26,40
MAIRANA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,0,1
MONTERO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,5,4,9
ORURO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,3,4
PAILON,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,0,2
POTOSI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,13,15,28
PUCARANI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,0,1
PUERTO GONZALO MORENO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
PUERTO SUAREZ,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,2,3
PUNATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
QUILLACOLLO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,2,2
RIBERALTA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,3,7,10
SACABA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,6,6,12
SAMAIPATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,4,5
SAN IGNACIO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,4,4,8
SAN IGNACIO DE VELASCO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,4,6
SAN MATIAS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,3,3
SAN PEDRO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,106,165,271
SANTA ROSA DEL SARA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,2,2
SUCRE,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,33,24,57
TARIJA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,17,18,35
TIPUANI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
TRINIDAD,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,20,21,41
UYUNI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,1,2
VALLEGRANDE,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,1,2
VIACHA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,1,1
VILLA SERRANO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,3,0,3
VILLA TUNARI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,0,2,2
VILLA VACA GUZMAN (MUYUPAMPA),intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,0,2
VILLAZON,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,1,3
WARNES,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,2,3
YACUIBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,11,12,23
YAPACANI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,1,1,2
YOTALA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-02-01,2,1,3
BERMEJO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,1,1
BUENA VISTA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,3,4
"CAIZA ""D""",intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,1,2
CAMIRI,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,27,33,60
CHALLAPATA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,0,1
CHARAGUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,1,1
COCHABAMBA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,16,15,31
COLCAPIRHUA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,7,5,12
COLPA BELGICA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,3,3
CONCEPCION,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,2,2
COROICO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,1,2
CUATRO CAÑADAS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,1,1
EL ALTO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,11,9,20
EL TORNO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,4,2,6
GENERAL SAAVEDRA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,1,1
GUAYARAMERIN,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,2,3
LA ASUNTA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,1,0,1
LA GUARDIA,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,4,1,5
LA PAZ,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,25,44,69
MINEROS,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,0,2,2
MONTERO,intoxicaciones,enf. transmitidas por alimentos (e.t.a.),2015-03-01,4,5,9
