,group,variable,month,a. < de 6 meses,a. < de 6 meses,b. 6 m a menor de 1 año,b. 6 m a menor de 1 año,c. 1 - 4 años,c. 1 - 4 años,d. 5 - 9 años,d. 5 - 9 años,e. 10 - 14 años,e. 10 - 14 años,f. 15 - 19 años,f. 15 - 19 años,g. 20 - 39 años,g. 20 - 39 años,h. 40 - 49 años,h. 40 - 49 años,i. 50 - 59 años,i. 50 - 59 años,j. 60 años y más,j. 60 años y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,,,,,,,,,,,
ACHACACHI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AIQUILE,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
APOLO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
ARBIETO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
AZURDUY,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2
BATALLAS,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,3
BERMEJO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
"CAIZA ""D""",inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3
CAPINOTA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CHALLAPATA,inmunoprevenibles,parotiditis,2020-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHUA COCANI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CKOCHAS,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2
COCHABAMBA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,3,3,2,0,0,0,1,0,1,0,0,0,0,0,0,3,7,10
"COLCHA ""K""",inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
COLQUECHACA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
COPACABANA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COROICO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTAGAITA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COTOCA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,2,1,0,0,2,0,0,0,2,4,0,0,1,0,0,1,7,6,13
EL TORNO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUACARETA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,1,1,4,1,0,1,1,10,8,0,0,0,0,0,0,14,14,28
LLALLAGUA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LURIBAY,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MACHARETI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
MECAPACA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
MONTERO,inmunoprevenibles,parotiditis,2020-01-01,0,0,1,2,4,4,2,5,1,1,0,1,0,1,0,1,0,0,0,0,8,15,23
OKINAWA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
ORURO,inmunoprevenibles,parotiditis,2020-01-01,0,1,0,0,3,2,1,2,0,1,1,4,1,5,0,0,0,1,1,1,7,17,24
PADCAYA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PALOS BLANCOS,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POROMA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
POTOSI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,1,2,0,0,1,0,0,0,2,0,1,0,0,0,0,3,5,8
PUERTO GONZALO MORENO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUNA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
PUNATA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
QUILLACOLLO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,5,1,6
RIBERALTA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
SACABA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAMAIPATA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN LORENZO(TJA),inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,4,2,1,0,0,0,0,5,2,2,2,2,1,0,0,12,10,22
SANTIAGO DE HUARI,inmunoprevenibles,parotiditis,2020-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTIVAÑES,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SANTUARIO DE QUILLACAS,inmunoprevenibles,parotiditis,2020-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SENA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SIPE SIPE,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
SORACACHI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2
SORATA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SUCRE,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6
TARIJA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,3
TARVITA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
TIAHUANACU,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TIQUIPAYA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
TIRAQUE (CBBA),inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
TRINIDAD,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TUPIZA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,5
UNCIA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
UYUNI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,3
VIACHA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
VILLA CHARCAS,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLA MONTES,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
VILLA TUNARI,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
VILLAZON,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3
VINTO,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,5
WARNES,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
YACUIBA,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,3,4
ZUDAÑEZ,inmunoprevenibles,parotiditis,2020-01-01,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,4
ARANI,inmunoprevenibles,parotiditis,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
