,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
CARACOLLO,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,2,0,1,2,0,0,0,0,3,2,5
POTOSI,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,1,0,1,0,1,0,0,0,0,0,3,0,3
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-01-01,0,0,0,0,1,2,0,0,0,0,1,2,3
CLIZA,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,0,0,2,0,0,0,0,0,2,0,2
MONTERO,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,1,0,2,0,0,0,0,0,3,0,3
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,0,0,3,0,2,0,0,0,5,0,5
VILLAZON,salud sexual y reproductiva,sepsis obstetrica,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
CLIZA,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,1,0,1,0,0,0,0,0,2,2
CUCHUMUELA (V. G. VILLARROEL),salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,1,0,1,0,0,0,0,0,2,0,2
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
QUILLACOLLO,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
