,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
ACHOCALLA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,3,0,0,0,0,0,3,0,3
AYO AYO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,1,0,0,0,0,0,2,0,2
BERMEJO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CAIROMA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
CALAMARCA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CAMARGO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,1,0,0,0,0,0,2,0,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,10,0,2,1,0,0,12,1,13
COLQUIRI,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
COROICO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CUEVO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,2,0,22,0,4,0,0,0,28,0,28
EL TORNO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
GUANAY,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
GUTIERREZ,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
HUACARETA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,1,1,0,0,2,1,3
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,5,0,30,0,3,0,0,0,38,0,38
