,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,,,
COCHABAMBA,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,1,0,4,0,0,0,0,0,5,0,5
LA PAZ,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,1,0,3,0,1,0,0,0,5,0,5
MINEROS,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,2,0,0,0,0,0,0,0,2,0,2
RIBERALTA,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,12,0,0,0,0,0,0,0,12,0,12
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,1,0,5,0,0,0,0,0,6,0,6
SUCRE,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,2,0,1,0,0,0,0,0,3,0,3
VILLA TUNARI,salud sexual y reproductiva,eclampsia,2024-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,4,0,0,0,0,0,4,0,4
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,6,0,0,0,0,0,6,0,6
MONTERO,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,2,0,0,0,0,0,2,0,2
ORURO,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,2,0,0,0,0,0,2,0,2
QUILLACOLLO,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,2,0,1,0,0,0,0,0,3,0,3
SUCRE,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,1,0,1,0,0,0,2,0,2
WARNES,salud sexual y reproductiva,eclampsia,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2024-03-01,0,0,0,0,3,0,0,0,0,0,3,0,3
LA PAZ,salud sexual y reproductiva,eclampsia,2024-03-01,0,0,1,0,1,0,0,0,0,0,2,0,2
