municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-01-01,0,1,0,0,0,0,1
ORURO,sospecha diagnostica,sarampion / rubeola,2009-01-01,0,1,0,2,0,0,3
VILLAZON,sospecha diagnostica,sarampion / rubeola,2009-01-01,0,1,1,0,0,0,2
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,0,1,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,0,3,5,1,0,9
ORURO,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,1,1,0,0,0,2
SUCRE,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,0,0,0,1,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,0,1,0,0,0,1
VILLAZON,sospecha diagnostica,sarampion / rubeola,2009-02-01,0,1,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,0,0,1,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,0,1,1,0,0,2
ORURO,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,0,0,1,0,0,1
POTOSI,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,0,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,0,0,0,1,0,1
VILLAZON,sospecha diagnostica,sarampion / rubeola,2009-03-01,0,2,3,4,0,0,9
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,1,1,0,0,0,2
LA PAZ,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,1,0,0,0,0,1
MACHACAMARCA,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,2,0,0,0,0,2
PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,0,1,0,0,0,1
SACABA,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,0,0,0,2,0,2
UYUNI,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,0,2,0,0,0,2
VALLEGRANDE,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,0,0,1,0,0,1
VILLAZON,sospecha diagnostica,sarampion / rubeola,2009-04-01,0,2,1,1,0,0,4
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-05-01,0,0,1,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-05-01,0,1,0,0,0,0,1
PORTACHUELO,sospecha diagnostica,sarampion / rubeola,2009-05-01,1,2,0,0,0,0,3
SUCRE,sospecha diagnostica,sarampion / rubeola,2009-05-01,1,0,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-06-01,0,2,0,0,0,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-06-01,0,2,0,0,0,0,2
TARIJA,sospecha diagnostica,sarampion / rubeola,2009-06-01,0,1,0,0,0,0,1
ORURO,sospecha diagnostica,sarampion / rubeola,2009-07-01,0,0,1,0,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2009-07-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2009-07-01,0,0,0,0,0,0,0
SUCRE,sospecha diagnostica,sarampion / rubeola,2009-07-01,0,0,1,0,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2009-07-01,0,0,0,1,0,0,1
BERMEJO,sospecha diagnostica,sarampion / rubeola,2009-08-01,0,0,0,0,1,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-08-01,0,1,0,1,0,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-08-01,0,2,2,0,0,0,4
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2009-08-01,2,0,0,0,0,0,2
WARNES,sospecha diagnostica,sarampion / rubeola,2009-08-01,1,0,0,0,0,0,1
COCHABAMBA,sospecha diagnostica,sarampion / rubeola,2009-09-01,0,0,1,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-09-01,0,1,0,1,0,0,2
LA PAZ,sospecha diagnostica,sarampion / rubeola,2009-09-01,0,0,0,1,0,0,1
QUILLACOLLO,sospecha diagnostica,sarampion / rubeola,2009-09-01,0,1,0,0,0,0,1
SUCRE,sospecha diagnostica,sarampion / rubeola,2009-09-01,0,0,0,1,0,0,1
CURAHUARA DE CARANGAS,sospecha diagnostica,sarampion / rubeola,2009-10-01,0,0,0,0,1,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-10-01,0,0,1,0,0,0,1
LA PAZ,sospecha diagnostica,sarampion / rubeola,2009-10-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2009-10-01,2,0,0,0,0,0,2
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-11-01,0,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,sarampion / rubeola,2009-11-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,sospecha diagnostica,sarampion / rubeola,2009-11-01,0,1,0,0,0,0,1
TARIJA,sospecha diagnostica,sarampion / rubeola,2009-11-01,1,0,0,0,0,0,1
UYUNI,sospecha diagnostica,sarampion / rubeola,2009-11-01,0,0,1,0,0,0,1
EL ALTO,sospecha diagnostica,sarampion / rubeola,2009-12-01,0,1,0,0,0,0,1
LA PAZ,sospecha diagnostica,sarampion / rubeola,2009-12-01,0,1,0,0,0,0,1
