municipality,group,variable,month,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
ACHACACHI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,2,0,1,3,2,8
AIQUILE,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,1,2,0,1,4
ANDAMARCA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,0,0,1,0,2
ARANI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,2,5,0,7
ARBIETO,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,1,0,1,0,3
ATOCHA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,0,1,0,1
AYO AYO,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,1,0,0,0,1
BATALLAS,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,1,0,1,2
BERMEJO,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,4,5,3,0,13
CABEZAS,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,1,0,0,0,1
CAJUATA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,0,1,0,1
CALAMARCA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,3,0,1,1,0,5
CAMIRI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,2,8,4,2,2,18
CAPINOTA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,2,2,2,4,2,12
CARANAVI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,2,1,2,0,5
CARAPARI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,1,1,1,3
CARMEN RIVERO TORREZ,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,0,1,1,2
CHALLAPATA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,1,1,0,2
CHIMORE,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,1,0,1,0,3
CLIZA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,4,3,12,1,21
COBIJA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,2,1,0,3
COCHABAMBA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,3,45,72,103,145,31,399
COLCAPIRHUA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,2,3,17,23,0,45
COLLANA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,1,0,0,0,0,1
COLOMI,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,1,2,0,2,5
COLQUENCHA,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,1,0,0,1
COMANCHE,sospecha diagnostica,no de personas mordidas por animal,2009-01-01,0,0,0,1,1,0,2
