,group,variable,month,Dentro,Dentro,Fuera,Fuera,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,
COBIJA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
LAJA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-01-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-01-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
SAN IGNACIO DE VELASCO,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-01-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
APOLO,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
LA PAZ,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-02-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-02-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
POCOATA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-03-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
SAN PEDRO DE BUENA VISTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-03-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SUCRE,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-03-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VILLA RIVERO,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-03-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CABEZAS,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-04-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COLOMI,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-05-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-05-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
VIACHA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
EL ALTO,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-06-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-06-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TARACO,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-06-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
LLALLAGUA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-07-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-07-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-08-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
OCURI,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-08-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-08-01,2.0,0.0,0.0,0.0,2.0,0.0,2.0
SUCRE,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-08-01,1.0,3.0,0.0,0.0,1.0,3.0,4.0
COCHABAMBA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-09-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
CARANAVI,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
LA PAZ,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-10-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
POJO (CBBA),mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-10-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
SACABA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-10-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
RIBERALTA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SAMAIPATA,mortalidad,muerte menor de 5 anos por desnutricion aguda gra,2013-12-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
