municipality,group,variable,month,< de 2 años-H,< de 2 años-M,2 a 4 años-H,2 a 4 años-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,desnutricion aguda,desnutricion leve (l),2007-01-01,2,12,12,15,14,27,41
AIQUILE,desnutricion aguda,desnutricion leve (l),2007-01-01,16,18,18,11,34,29,63
ALALAY,desnutricion aguda,desnutricion leve (l),2007-01-01,7,6,9,7,16,13,29
ALCALA,desnutricion aguda,desnutricion leve (l),2007-01-01,15,17,31,24,46,41,87
ANDAMARCA,desnutricion aguda,desnutricion leve (l),2007-01-01,3,1,2,2,5,3,8
ANZALDO,desnutricion aguda,desnutricion leve (l),2007-01-01,5,4,17,18,22,22,44
ARAMPAMPA,desnutricion aguda,desnutricion leve (l),2007-01-01,32,15,15,23,47,38,85
ARANI,desnutricion aguda,desnutricion leve (l),2007-01-01,12,12,11,19,23,31,54
ARBIETO,desnutricion aguda,desnutricion leve (l),2007-01-01,11,6,18,15,29,21,50
ARQUE,desnutricion aguda,desnutricion leve (l),2007-01-01,45,28,30,38,75,66,141
ATOCHA,desnutricion aguda,desnutricion leve (l),2007-01-01,23,26,21,25,44,51,95
AYOPAYA (V. DE INDEPENDENCIA),desnutricion aguda,desnutricion leve (l),2007-01-01,26,22,37,40,63,62,125
AZURDUY,desnutricion aguda,desnutricion leve (l),2007-01-01,45,33,65,67,110,100,210
BAURES,desnutricion aguda,desnutricion leve (l),2007-01-01,10,8,5,10,15,18,33
BELEN DE ANDAMARCA,desnutricion aguda,desnutricion leve (l),2007-01-01,3,0,3,0,6,0,6
BELEN DE URMIRI,desnutricion aguda,desnutricion leve (l),2007-01-01,2,1,2,4,4,5,9
BELLA FLOR,desnutricion aguda,desnutricion leve (l),2007-01-01,5,6,6,11,11,17,28
BERMEJO,desnutricion aguda,desnutricion leve (l),2007-01-01,7,4,8,5,15,9,24
BETANZOS,desnutricion aguda,desnutricion leve (l),2007-01-01,47,52,100,76,147,128,275
BOLIVAR,desnutricion aguda,desnutricion leve (l),2007-01-01,19,21,20,26,39,47,86
BOLPEBRA,desnutricion aguda,desnutricion leve (l),2007-01-01,2,1,6,4,8,5,13
BOYUIBE,desnutricion aguda,desnutricion leve (l),2007-01-01,2,0,12,4,14,4,18
BUENA VISTA,desnutricion aguda,desnutricion leve (l),2007-01-01,4,6,9,11,13,17,30
CABEZAS,desnutricion aguda,desnutricion leve (l),2007-01-01,23,33,36,12,59,45,104
"CAIZA ""D""",desnutricion aguda,desnutricion leve (l),2007-01-01,9,13,16,14,25,27,52
CAJUATA,desnutricion aguda,desnutricion leve (l),2007-01-01,18,14,8,6,26,20,46
CAMARGO,desnutricion aguda,desnutricion leve (l),2007-01-01,48,56,69,69,117,125,242
CAMATAQUI (C. VILLA ABECIA),desnutricion aguda,desnutricion leve (l),2007-01-01,8,7,11,20,19,27,46
CAMIRI,desnutricion aguda,desnutricion leve (l),2007-01-01,56,60,46,49,102,109,211
CAPINOTA,desnutricion aguda,desnutricion leve (l),2007-01-01,26,31,44,50,70,81,151
CARACOLLO,desnutricion aguda,desnutricion leve (l),2007-01-01,9,9,6,16,15,25,40
CARAPARI,desnutricion aguda,desnutricion leve (l),2007-01-01,16,14,10,16,26,30,56
CARIPUYO,desnutricion aguda,desnutricion leve (l),2007-01-01,33,29,49,64,82,93,175
