municipality,group,variable,month,< de 1 año-H,< de 1 año-M,1 a 4 años-H,1 a 4 años-M,5 a 14 años-H,5 a 14 años-M,15 a 59 años-H,15 a 59 años-M,60 y más-H,60 y más-M,TOTAL-H,TOTAL-M,TOTAL
ACACIO,otras infecciones,neumonia,2007-01-01,1,4,0,1,1,1,1,0,0,0,3,6,9
ACHACACHI,otras infecciones,neumonia,2007-01-01,18,6,21,8,2,0,6,2,3,2,50,18,68
ACHOCALLA,otras infecciones,neumonia,2007-01-01,3,3,7,5,2,1,2,0,0,0,14,9,23
AIQUILE,otras infecciones,neumonia,2007-01-01,6,4,12,7,3,0,0,0,0,0,21,11,32
ALCALA,otras infecciones,neumonia,2007-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ANCORAIMES,otras infecciones,neumonia,2007-01-01,7,2,2,0,0,0,0,0,1,0,10,2,12
ANDAMARCA,otras infecciones,neumonia,2007-01-01,4,0,1,2,0,0,0,1,0,0,5,3,8
ANTEQUERA,otras infecciones,neumonia,2007-01-01,4,1,4,2,1,0,3,3,0,1,12,7,19
ANZALDO,otras infecciones,neumonia,2007-01-01,3,2,3,1,1,0,0,0,4,0,11,3,14
ARAMPAMPA,otras infecciones,neumonia,2007-01-01,1,1,6,5,0,0,0,0,0,0,7,6,13
ARANI,otras infecciones,neumonia,2007-01-01,1,0,3,2,1,0,0,0,2,0,7,2,9
ARBIETO,otras infecciones,neumonia,2007-01-01,0,1,0,1,1,1,1,1,2,2,4,6,10
ARQUE,otras infecciones,neumonia,2007-01-01,5,3,10,7,3,2,6,6,1,3,25,21,46
ASCENCION DE GUARAYOS,otras infecciones,neumonia,2007-01-01,8,8,14,11,0,1,0,0,0,0,22,20,42
ATOCHA,otras infecciones,neumonia,2007-01-01,0,0,1,0,0,0,0,1,0,1,1,2,3
AUCAPATA,otras infecciones,neumonia,2007-01-01,2,3,2,0,1,1,0,0,0,0,5,4,9
AYATA,otras infecciones,neumonia,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
AYO AYO,otras infecciones,neumonia,2007-01-01,4,0,1,0,0,0,0,0,0,0,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,neumonia,2007-01-01,0,0,2,0,0,0,0,0,0,0,2,0,2
AZURDUY,otras infecciones,neumonia,2007-01-01,1,4,0,3,0,0,0,0,0,0,1,7,8
BATALLAS,otras infecciones,neumonia,2007-01-01,8,0,6,2,0,0,0,0,0,0,14,2,16
BAURES,otras infecciones,neumonia,2007-01-01,0,0,0,0,0,0,1,0,0,0,1,0,1
BELEN DE ANDAMARCA,otras infecciones,neumonia,2007-01-01,1,0,0,0,0,0,0,0,0,1,1,1,2
BELEN DE URMIRI,otras infecciones,neumonia,2007-01-01,1,0,0,0,0,1,0,0,0,0,1,1,2
BELLA FLOR,otras infecciones,neumonia,2007-01-01,8,8,8,10,3,1,0,1,0,0,19,20,39
BERMEJO,otras infecciones,neumonia,2007-01-01,27,16,16,7,12,15,4,2,3,4,62,44,106
BETANZOS,otras infecciones,neumonia,2007-01-01,9,6,15,8,0,0,4,5,2,1,30,20,50
BOLPEBRA,otras infecciones,neumonia,2007-01-01,0,0,0,1,0,1,0,0,0,0,0,2,2
BUENA VISTA,otras infecciones,neumonia,2007-01-01,7,5,8,7,2,1,2,0,5,4,24,17,41
CABEZAS,otras infecciones,neumonia,2007-01-01,5,4,2,3,0,0,4,2,0,0,11,9,20
CAIROMA,otras infecciones,neumonia,2007-01-01,9,15,13,14,3,2,0,2,0,0,25,33,58
"CAIZA ""D""",otras infecciones,neumonia,2007-01-01,2,4,3,0,0,1,2,1,1,1,8,7,15
CAJUATA,otras infecciones,neumonia,2007-01-01,6,2,4,1,6,1,8,2,2,0,26,6,32
CALACOTO,otras infecciones,neumonia,2007-01-01,1,0,1,0,1,0,0,0,0,0,3,0,3
CALAMARCA,otras infecciones,neumonia,2007-01-01,9,2,3,0,0,0,0,0,0,0,12,2,14
CAMARGO,otras infecciones,neumonia,2007-01-01,13,2,11,6,0,0,2,1,2,1,28,10,38
