,group,variable,month,TOTALES,TOTALES,TOTALES
,,,,DENTRO,FUERA,TOTAL
municipality,,,,,,
OCURI,mortalidad materna,muerte materna confirmada,2024-01-01,0,1,1
CHARAGUA,mortalidad materna,muerte materna confirmada,2024-02-01,0,1,1
CKOCHAS,mortalidad materna,muerte materna confirmada,2024-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-02-01,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2024-02-01,2,0,2
TRINIDAD,mortalidad materna,muerte materna confirmada,2024-02-01,1,0,1
CHALLAPATA,mortalidad materna,muerte materna confirmada,2024-03-01,0,1,1
TRINIDAD,mortalidad materna,muerte materna confirmada,2024-03-01,0,1,1
ORURO,mortalidad materna,muerte materna confirmada,2024-04-01,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2024-04-01,1,0,1
COTOCA,mortalidad materna,muerte materna confirmada,2024-05-01,0,1,1
CARMEN RIVERO TORREZ,mortalidad materna,muerte materna confirmada,2024-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-06-01,1,0,1
GUAYARAMERIN,mortalidad materna,muerte materna confirmada,2024-07-01,1,0,1
MAIRANA,mortalidad materna,muerte materna confirmada,2024-07-01,1,0,1
SAN LUCAS,mortalidad materna,muerte materna confirmada,2024-07-01,0,1,1
SAN MIGUEL DE VELASCO,mortalidad materna,muerte materna confirmada,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-08-01,0,1,1
LA GUARDIA,mortalidad materna,muerte materna confirmada,2024-09-01,1,0,1
MONTEAGUDO,mortalidad materna,muerte materna confirmada,2024-09-01,1,0,1
PAILON,mortalidad materna,muerte materna confirmada,2024-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-10-01,1,0,1
RIBERALTA,mortalidad materna,muerte materna confirmada,2024-11-01,0,1,1
SAN IGNACIO,mortalidad materna,muerte materna confirmada,2024-11-01,0,1,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna confirmada,2024-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2024-11-01,1,0,1
TRINIDAD,mortalidad materna,muerte materna confirmada,2024-11-01,1,0,1
SAN ANTONIO DE LOMERIO,mortalidad materna,muerte materna confirmada,2024-12-01,1,0,1
