,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
AIQUILE,otras infecciones,malaria sospechosos,2013-01-01,0,0,1,0,0,0,1,0,1,0,0,0,3,0,3
AYATA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
AZURDUY,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
BAURES,otras infecciones,malaria sospechosos,2013-01-01,0,0,2,1,0,1,15,2,5,5,0,0,22,9,31
BELLA FLOR,otras infecciones,malaria sospechosos,2013-01-01,0,1,0,2,2,4,7,5,7,7,1,0,17,19,36
BERMEJO,otras infecciones,malaria sospechosos,2013-01-01,1,0,1,1,3,1,3,4,12,3,0,1,20,10,30
CAMARGO,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
CARANAVI,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,0,4,9,4,0,8,9,17
CARAPARI,otras infecciones,malaria sospechosos,2013-01-01,0,0,1,0,0,0,0,0,0,2,0,0,1,2,3
COBIJA,otras infecciones,malaria sospechosos,2013-01-01,0,0,1,0,3,2,5,9,12,9,4,1,25,21,46
COCHABAMBA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,1,0,6,1,0,0,7,1,8
CULPINA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,0,2,1,0,0,2,1,3
EL ALTO,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL TORNO,otras infecciones,malaria sospechosos,2013-01-01,0,0,3,3,1,0,4,2,7,9,3,4,18,18,36
ENTRE RIOS TRJ,otras infecciones,malaria sospechosos,2013-01-01,0,1,7,4,9,8,11,25,12,32,5,5,44,75,119
EUREKA (SANTOS MERCADO),otras infecciones,malaria sospechosos,2013-01-01,0,1,6,8,4,8,14,8,35,14,3,1,62,40,102
FILADELFIA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,6,2,3,1,4,0,0,3,13,16
GRAL. J.J. PEREZ (CHARAZANI),otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,1,0,0,1,1,0,2,1,3
GUANAY,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,0,4,0,2,0,6,0,6
GUAYARAMERIN,otras infecciones,malaria sospechosos,2013-01-01,27,27,185,167,180,157,433,390,602,588,93,58,1520,1387,2907
HUACARETA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,1,1,0,0,2,1,0,0,3,2,5
ICLA,otras infecciones,malaria sospechosos,2013-01-01,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6
INGAVI (HUMAITA),otras infecciones,malaria sospechosos,2013-01-01,0,0,1,1,5,5,11,7,12,11,5,0,34,24,58
