,group,variable,month,< de 1 año,< de 1 año,1 a 4 años,1 a 4 años,5 a 9 años,5 a 9 años,10 a 20 años,10 a 20 años,21 a 59 años,21 a 59 años,60 y más,60 y más,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL-M,TOTAL-F,TOTAL
municipality,,,,,,,,,,,,,,,,,,
ACACIO,otras infecciones,enfermedad diarreica aguda,2013-01-01,9,5,10,19,2,1,0,0,2,2,0,0,23,27,50
ACHACACHI,otras infecciones,enfermedad diarreica aguda,2013-01-01,8,3,12,5,1,0,0,1,4,10,6,5,31,24,55
ACHOCALLA,otras infecciones,enfermedad diarreica aguda,2013-01-01,7,4,20,16,2,1,0,1,0,0,3,1,32,23,55
AIQUILE,otras infecciones,enfermedad diarreica aguda,2013-01-01,46,30,65,85,2,4,2,0,1,7,1,2,117,128,245
ALALAY,otras infecciones,enfermedad diarreica aguda,2013-01-01,1,2,3,1,0,0,0,1,1,1,0,0,5,5,10
ALCALA,otras infecciones,enfermedad diarreica aguda,2013-01-01,9,6,18,13,0,2,5,4,6,9,2,9,40,43,83
ALTO BENI,otras infecciones,enfermedad diarreica aguda,2013-01-01,19,13,53,33,1,2,2,2,5,2,7,1,87,53,140
ANCORAIMES,otras infecciones,enfermedad diarreica aguda,2013-01-01,2,5,12,5,0,2,1,0,2,2,1,6,18,20,38
ANDAMARCA,otras infecciones,enfermedad diarreica aguda,2013-01-01,5,8,11,15,2,0,1,4,10,6,3,6,32,39,71
ANTEQUERA,otras infecciones,enfermedad diarreica aguda,2013-01-01,3,3,8,7,1,2,1,0,1,0,1,2,15,14,29
ANZALDO,otras infecciones,enfermedad diarreica aguda,2013-01-01,6,2,19,20,1,2,0,0,1,0,2,4,29,28,57
APOLO,otras infecciones,enfermedad diarreica aguda,2013-01-01,15,18,38,27,3,0,2,1,4,4,1,3,63,53,116
ARAMPAMPA,otras infecciones,enfermedad diarreica aguda,2013-01-01,3,1,6,9,0,0,0,0,2,0,0,2,11,12,23
ARANI,otras infecciones,enfermedad diarreica aguda,2013-01-01,12,6,22,16,0,0,2,3,0,1,1,2,37,28,65
ARBIETO,otras infecciones,enfermedad diarreica aguda,2013-01-01,11,12,20,20,1,2,1,0,5,3,0,1,38,38,76
ARQUE,otras infecciones,enfermedad diarreica aguda,2013-01-01,21,11,36,28,1,1,3,4,1,4,2,1,64,49,113
ASCENCION DE GUARAYOS,otras infecciones,enfermedad diarreica aguda,2013-01-01,20,24,55,38,1,0,0,0,1,1,0,0,77,63,140
ATOCHA,otras infecciones,enfermedad diarreica aguda,2013-01-01,8,6,33,55,7,23,12,19,39,47,10,13,109,163,272
AUCAPATA,otras infecciones,enfermedad diarreica aguda,2013-01-01,4,5,11,5,0,0,1,2,3,3,1,0,20,15,35
AYATA,otras infecciones,enfermedad diarreica aguda,2013-01-01,4,7,18,21,0,1,1,0,1,1,2,1,26,31,57
AYO AYO,otras infecciones,enfermedad diarreica aguda,2013-01-01,4,3,8,10,0,0,1,0,2,0,1,3,16,16,32
AYOPAYA (V. DE INDEPENDENCIA),otras infecciones,enfermedad diarreica aguda,2013-01-01,22,26,70,64,4,1,1,1,3,6,1,0,101,98,199
